EntrezID	Length	MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1
67702	2434	2943
263764	5799	26
619289	2000	1
100042065	359	0
73426	531	0
26921	5974	6042
100047133	858	1
16178	1343	12
16177	5035	394
107527	1950	108
17082	6967	13
16182	4781	92
16174	2487	6
110895	3822	0
226999	3493	19
211798	3152	35
381339	1096	3
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	507
93690	3860	0
73122	5538	679
98404	3457	402
14200	1563	908
666642	647	750
17974	2775	1592
100861934	1421	2
78896	888	3414
67883	1263	181
100503192	585	481
22019	4649	2444
433294	1086	0
75623	1265	659
72050	2324	1412
246229	3571	179
22592	4010	656
100861960	766	0
403183	3181	0
70676	2976	624
75066	906	1
12825	5564	1349
12832	6615	5409
73674	2612	981
433297	641	5159
53945	3380	83
100042453	717	3
212225	3483	0
227058	12318	110
100101919	12384	10
227059	4961	1936
442837	542	0
56363	3339	44
442821	2552	0
20324	3055	4060
109019	2838	3147
100045066	3051	0
17912	5042	1603
20849	2981	3
100042634	432	0
20846	5356	532
14660	7488	11098
17936	5088	1947
227094	3394	120
98682	5591	1148
16329	1776	324
227095	1704	351
67080	834	51
17700	2682	0
69397	627	0
227099	3032	106
227102	1846	120
72085	2283	117
70396	2362	232
627872	12272	32
98267	3278	858
329152	11336	90
78016	3807	5
98488	3005	277
241062	10579	232
329154	6140	1281
81898	6192	18573
67876	1733	5825
15510	2332	5398
15528	768	1138
19070	2826	1208
74013	3677	245
212679	2882	235
75388	1258	0
227120	6555	562
626009	1369	235
329159	1906	0
71066	1408	0
212712	5286	22
329160	3728	4
407809	3304	0
75323	2052	8
73467	3008	65
68736	1442	190
68115	1325	261
67198	4045	1238
51960	2733	167
68549	5416	115
11761	4382	537
71724	4360	3
71872	4973	2
213043	4776	0
66882	2833	7308
12747	3088	8421
70225	1630	241
65102	2105	259
18393	3371	691
100504455	2126	4
213056	8695	194
66495	532	477
100504501	936	40
108812	1579	3
12633	7814	1726
12370	2777	527
70827	6240	3938
227154	2318	138
73463	2131	1
381259	1972	502
227157	3087	14
74018	7038	1259
271697	1477	19
14369	4809	9624
381260	3595	0
22218	1215	1809
55989	1976	14863
100217459	53	12
100217421	63	7
12168	3507	1518
100504533	314	125
72750	5532	1838
70375	3650	39
57750	3376	286
241066	2604	63
100504573	431	762
269198	12108	1182
77951	1501	328
329165	5974	1091
77300	9117	1160
100043027	207	342
100042533	791	7
12487	4317	1
100504618	845	0
12477	1931	4
54167	3254	1
77341	892	0
72823	8392	477
18187	8122	869
74992	895	4
227195	13529	1899
100380944	1802	30
100504668	1301	11
227197	2927	1391
55949	1933	12512
100217464	113	51
241070	1606	23
73884	12621	280
23792	6879	24
241073	2427	0
76668	1711	0
75619	3205	486
74426	1756	4
433315	1432	2
93691	1344	340
12912	8421	959
67099	2666	170
69941	713	51
227210	2927	1373
14367	6914	3220
241075	8562	763
70861	1353	0
667276	1020	21
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	2
15926	2438	617
18711	11255	670
213527	2414	1
12969	622	0
17756	5520	2950
100038569	1663	0
329178	13533	21
66646	2630	563
68691	4760	2428
11363	1892	2056
100862127	515	8
17901	1111	0
14768	4461	997
227231	4704	0
13869	4257	5
100502712	2069	0
22779	9424	489
66722	2270	0
320460	4655	0
12021	5448	138
74591	8323	89
108147	2611	1471
14268	8312	1566
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	3
381269	2493	578
111175	1186	303
271711	2815	7
22596	2556	1201
381270	4187	26
54380	6715	700
319695	4573	0
19981	588	221
16008	1330	6145
16011	5854	87765
21958	427	0
69449	571	0
723792	1560	64
78718	551	5
109198	1801	2
21961	9966	6490
435626	2336	93
100862357	817	0
12765	3043	1
227288	1125	0
100316687	67	0
76709	1597	4717
227289	990	0
227290	1820	4434
56695	3501	523
69660	2309	3097
241112	2101	20
18173	2304	28
227292	2776	1330
387219	85	1
22349	3117	17
319651	7196	1858
58184	3266	797
18802	3121	96
77264	7472	1705
66821	1829	250
57751	1475	600
269209	5235	206
67534	4253	972
104086	1890	129
241113	2832	3
22420	2068	761
22409	1962	2204
12570	2704	4
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	6
75570	860	66
22626	2059	124
69171	2738	800
227298	2557	947
68818	1299	305
74104	2934	385
245860	3764	1019
52231	2764	233
74577	3451	256
20872	2885	797
22145	2053	9211
381272	767	3
56812	3203	1001
19275	3535	21
19711	710	0
13437	1946	909
13346	2150	400
100503248	676	1
11790	11933	1453
69080	1528	745
100862164	449	0
241118	2650	38
74241	3235	2341
319998	2185	318
98733	5770	1268
16322	1463	72
71728	4458	534
20536	4441	1127
100862333	771	0
620079	2188	0
13838	6328	2683
18505	3868	2
100039210	1208	0
433323	3998	10
23874	2132	1085
68393	1206	1
74205	3950	3296
195434	3981	1001
57814	2463	236
20254	2485	0
100862182	832	0
252903	2876	103
69368	4714	511
100038695	1791	0
69163	1424	156
100862198	480	0
20720	2055	355
241128	2862	0
26554	2764	4364
72208	394	0
210293	7303	91
241134	4919	0
16367	9163	1449
100503073	3039	6
76867	3757	1195
100503095	2833	1
12829	7808	35
12828	8609	32
75734	1866	998
66261	1503	1
100044526	654	24
15463	3137	1638
80721	2974	25
71386	992	0
20297	802	10
71227	1670	0
77629	6512	0
98496	2667	39
227325	3632	0
100628595	77	0
14897	9632	5556
66153	900	6
71781	2349	2
100503433	891	0
381287	1760	2
621875	1334	2
100040135	1348	2
665378	1621	14
620078	1971	5
100040213	891	1
100039794	1073	56
665338	891	0
109032	1971	141
434484	2417	236
100503502	852	0
100503045	659	0
20684	2158	170
319997	1936	3
12283	3800	2707
64294	2024	6160
71141	1148	6
227326	2550	1
70060	1602	1
72792	3331	99
70247	3256	3828
15559	2072	6
78795	5258	462
100861644	653	1
227327	2595	32
383538	483	0
17975	8257	34824
100303740	116	39
80828	68	0
319336	1266	16
14767	1218	0
71863	1721	0
19231	1192	33697
18582	1092	260
26895	2231	209
18159	1042	176
208718	3171	345
11650	2113	0
76768	2337	1
11648	1680	2
13599	2698	22
69453	1999	5
11447	2910	0
11449	1921	0
26987	4928	1345
98363	1805	56
227331	5743	1094
100040591	1349	17
73234	462	5
53972	3384	30
319977	1676	1
620454	1602	343
23956	2018	2
16331	4938	25
77040	3180	637
100217415	248	1
20215	1718	4
100503175	947	0
227333	5694	1581
227334	5316	330
394430	3242	0
394434	3216	0
394432	3294	1
394435	2293	223
94284	3302	159
394433	3208	0
22236	3206	0
15504	1017	16
394436	3229	1
100040766	7526	6
381280	8439	103
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	26
100503197	2622	4
320982	3967	3145
78650	476	0
73475	603	0
98402	3673	1204
77331	591	0
347722	9581	978
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	0
12778	2579	4031
108679	1843	1835
433332	1207	0
12835	10841	1026
171531	4484	100
623503	261	0
19329	1950	29
16978	5743	2409
329207	3851	17
51801	3022	268
67921	1363	743
665783	892	289
50880	2207	220
227357	5442	13
100503326	684	0
70788	3020	8
227358	2815	43
67444	1368	735
67086	547	0
55927	1335	234
18627	5837	1450
74019	3500	148
65247	6072	289
13345	1312	12
208727	3960	1206
67273	1220	1130
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	555
260301	704	1
14733	3552	1994
100504295	543	0
387167	66	0
241158	3243	4
67446	1491	157
108657	3039	1039
100037260	1689	2
23830	2877	206
64095	4396	72
208760	1088	0
16560	8257	796
11611	1517	0
71874	2362	185
381284	7348	5
208777	4474	349
69821	3315	376
269224	5119	280
66385	3653	704
404545	3217	5
110611	6238	24982
18000	3335	5043
227377	3912	268
59041	3254	2271
51800	1432	810
67026	2160	579
66615	2964	1230
21915	1310	738
66262	4539	1284
98314	3058	110
381334	2846	25
100041596	1185	1
666009	570	7
619597	4059	0
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	300
20452	5677	21
75381	761	0
100504401	921	401
73454	356	0
75159	583	0
227394	2394	0
329217	3849	0
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	1
52392	2738	470
227399	5565	1045
252876	2041	66
18484	4103	3032
78603	1178	2
69030	1687	2
70866	2328	0
100504494	800	130
241175	5120	0
100504525	886	0
23836	3722	3
320311	8529	153
100504568	1284	1
27392	6777	1082
227446	5406	997
100042023	231	266
21934	5022	721
635504	465	5
227449	6661	1943
626049	545	1
98432	6104	1088
12043	7749	903
320761	1243	0
70750	5582	815
20479	3272	1533
20724	2565	5249
71869	1735	8
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	1122
116872	1887	2
18788	2047	7
241197	3490	443
20725	3289	58
241201	3353	0
227485	3054	20
319901	5763	859
636808	3915	0
634762	729	0
22099	3040	916
67949	1894	1427
76707	7899	2473
68204	597	10
81879	9270	502
14633	6708	128
16324	4255	402
100502628	748	0
64143	2277	845
226351	2830	867
226352	7746	352
19258	4707	639
66343	3301	34
226356	2511	0
319229	1924	1
170706	1017	45
13167	745	1559
73103	1089	48
68428	3177	296
226359	2000	9
17167	1985	6
13798	2554	2
98452	1580	0
72999	2524	918
70829	7256	680
15564	2019	2
66942	2249	411
100502702	453	0
269109	4630	0
74117	2746	3930
74150	2597	1697
71111	2690	2
72585	2047	0
210356	7593	138
107895	3104	296
667090	484	903
72160	2517	1
266645	2303	2
100502745	464	4
72949	3514	912
22625	3936	0
226407	4251	1343
226409	4154	261
226412	4812	1608
387147	70	0
67812	4093	2780
226413	6166	10
17219	2901	1429
226414	2509	1216
12767	1814	726
210417	6253	4
100042740	613	185
13137	1324	40
13136	2527	176
22789	2034	0
12269	1883	1
12270	754	1
18640	9621	984
226418	3843	666
212439	2909	53
64435	1911	1
100502856	1065	0
18703	3849	16
69169	1491	4
93672	1116	317
58181	824	0
329244	1023	26
16153	1306	15
17164	2567	7693
226419	2072	473
16865	2290	890
54354	3405	604
56489	3203	803
14270	8040	989
108900	2105	57
26361	4148	1
13034	2120	1
226421	2523	186
320718	3640	261
212933	3540	263
98396	4660	6593
226422	1189	81
98415	6096	1642
212980	3426	258
13714	3671	1185
213006	4853	318
18557	3046	458
723818	97	0
213409	958	0
213417	4269	8
74137	3132	533
68875	3410	465
213452	6385	1139
213464	3632	451
74626	1742	59
21367	9535	2194
269116	10379	38
100038653	1879	0
16980	3346	534
17248	3490	938
240752	7929	603
108954	5588	4658
240753	7457	408
100502933	3112	1
68338	1842	0
280287	496	0
19701	1423	12
214253	2279	88
20668	3531	1081
20643	492	432
70579	4395	6858
667118	5007	2763
240754	2371	32
381290	8292	1352
269120	2074	111
116847	3602	10516
100502984	884	0
14264	2859	2306
100502999	532	16
12227	3083	43603
667414	432	6
71884	1711	4
12654	1689	8912
53311	1829	933
11539	5786	283
17928	1480	3
68507	6067	57
57439	3169	1904
240755	1770	0
72017	1626	652
72674	2024	2001
100861791	590	0
240756	3196	402
98710	1960	463
100503055	641	2
71001	1457	0
75605	6300	3887
20980	3386	6
329251	6185	552
67196	1079	44
329252	3623	3756
13924	6089	487
100038590	915	0
320139	3264	13
68724	1702	1053
171469	2253	14
13710	2000	2322
215615	2301	1272
21854	917	509
93689	3942	3287
77552	1190	383
226432	6236	2398
215690	12767	994
13007	1770	39167
27280	1467	1930
21952	1114	8
16763	2992	456
21956	1194	32
18772	4486	6944
226438	8996	0
66241	1750	760
12292	6260	3
329253	508	0
16565	9119	115
76422	2922	29
67313	3013	1472
100042513	584	0
383563	1960	0
67886	7823	2703
320054	2097	3
67997	2228	146
381293	8770	109
71084	1846	0
226442	5275	1330
100503460	489	4
100503474	1199	3
667686	385	73
26424	3857	11
320138	3023	0
735252	87	0
723890	80	0
19264	5664	12
338375	1887	0
59125	3366	2077
545363	1930	0
16876	5750	1
69549	571	27
75546	410	0
329260	8314	531
170788	4702	0
71209	1111	0
226470	8362	968
12316	9866	249
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	6
545366	1602	5
12628	4365	73
240776	3957	6
75910	551	0
226472	591	0
214498	2678	1126
26878	4578	6
69367	3730	275
20822	8721	649
56207	1851	640
19735	3009	3648
100861894	494	0
246709	1497	1
50778	1330	16
624910	459	0
64214	1859	0
215378	3172	265
100043240	3910	17
791353	1179	0
100503781	490	0
18783	2846	516
320019	1098	0
19225	4150	1526
100043257	532	3800
100043261	345	3
20028	1247	0
75584	610	0
226499	3242	737
108989	7550	4396
96875	4278	7
545370	18316	3399
402734	2640	0
73176	1674	0
117198	5037	8338
66875	3668	534
98685	2665	245
19821	3028	1925
100503012	373	264
63913	3939	8775
66967	6604	2329
69399	9754	3790
66637	1133	247
269132	4056	1760
19731	3887	1791
100861876	505	13
71281	1566	1
67771	1897	2509
100503084	519	1
17970	2596	8
226517	6069	2480
226518	4523	4
16782	5164	22430
226519	7622	15081
626058	2827	1
71836	2045	2
13211	4613	9528
74091	1403	26
67792	5804	5
329271	3337	1
19734	2335	1176
24014	4758	44
240816	3640	0
240817	1654	1
433365	2527	0
240819	1415	0
14645	2782	2829
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	2
15939	3270	6525
15064	2509	424
58244	2459	1673
207792	4611	627
100503411	2791	1
19775	7651	1647
433367	1751	7
72482	1942	948
16872	1853	0
100861926	688	0
104009	3361	1202
74081	13307	1329
208263	4439	2858
240832	8112	5560
329274	3687	0
214575	3443	1
170484	3108	10
77352	3297	7
20652	4785	689
11352	10714	3901
30935	3268	515
100503836	636	0
215015	4238	1822
78255	7133	1608
72713	2190	23
73435	898	1
226525	10046	858
69953	1194	310
226527	1289	19
89867	4651	40
100504090	420	43
240843	4101	6
11899	7224	14
735253	109	0
23850	8585	149
72025	2475	1
26374	5056	430
100217414	118	7
21960	5395	13
67647	5391	4105
75255	887	44
329278	5812	39
64659	1970	477
12301	2115	1395
29809	9489	1747
100316784	109	0
620246	1086	2
620750	465	2
381305	11011	3422
11905	2162	3
240869	3883	119
14455	2554	5745
100628588	91	0
100217446	65	56
226539	3581	199
70454	4327	327
226541	4037	303
73844	3723	21
100502590	954	0
11758	2334	2737
22164	1609	2
240873	2064	10
14103	1935	4
226551	6308	4866
75368	1164	1
67292	3301	130
103967	7523	99
72753	919	1
474332	7928	13
723821	110	0
387210	110	0
71449	2791	372
53330	2532	242
17926	2080	17
100038657	741	0
226562	10444	7603
226564	1787	7
14261	2326	212
55990	3336	841
226565	1870	1
14262	2010	5
78258	2956	0
18933	7448	513
98376	2509	220
240879	1053	0
16579	3907	797
240880	4069	391
381306	2912	129
69962	1457	39
20339	2912	1045
20343	2321	0
20344	3438	4687
100503816	1241	93
14067	7406	16
116914	3546	898
74895	1896	129
66352	4035	647
171567	3011	390
11931	2422	402
56429	1636	199
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	2
108735	5526	1938
226591	4395	975
240888	1943	273
74106	3306	849
70456	854	650
271639	5209	8
68481	2356	1465
100503268	612	0
226594	2670	331
100503283	1514	2
433375	2125	880
12503	4604	1
18986	13123	497
240892	4025	1
59290	2293	0
98558	1546	2
100039795	8260	418
100503318	2514	10
27878	2145	583
71592	7372	1772
226601	1744	0
226604	3012	7
240894	3065	2
100503962	936	8
226610	4986	194
80914	1338	929
68944	4474	839
100862084	376	0
56752	2833	1637
66447	635	334
240899	1137	1
100503977	287	1
20183	2363	6
110648	3338	3
18514	9027	4705
66977	2405	143
19737	1809	186
100862094	1412	161
19736	2941	252
78465	1440	2
15490	4574	545
67303	1135	3
18214	8290	345
107652	2283	3276
16589	2024	209
545378	399	1
622708	1691	0
26904	1433	1
665574	3833	289
76925	713	1
70729	3684	91
320078	3095	68
226641	7463	1847
80915	1374	226
435653	1284	1
98752	1727	0
14130	1547	3
246256	1250	0
14131	1353	0
75472	1034	16
66052	1179	1864
17528	1993	224
66425	1575	95
12355	1414	3
641376	2920	474
11807	521	1
14127	658	4
226646	1606	2569
240913	3673	3935
57370	1998	833
19044	1821	543
30941	2185	503
66155	964	332
100862110	308	0
100504072	1662	3
21945	2733	665
27045	1374	289
18637	622	596
68874	1555	79
71740	3504	78
226652	4488	7
22278	1822	364
226654	551	6
16456	2482	6341
56009	1273	57
16429	1140	0
18106	3758	0
17085	2449	0
75345	3977	0
12506	1142	0
100041098	195	443
27218	2688	0
12523	6253	1
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	207
18071	2487	1
59287	2855	1749
12847	4629	5853
100504176	730	0
19298	3131	1032
98193	3743	2008
18611	2477	695
12372	1874	17
27222	3485	4
98660	6227	162
140559	2234	956
16524	3270	3
16513	5407	2
67556	7569	771
100862199	620	1
98365	1145	5
93842	4249	824
21346	1382	8230
71870	1822	20
71319	941	10
240916	1879	10
74748	2040	3
677296	1914	0
68440	1417	24
100040320	811	2
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	1083
94332	4159	120
383619	2541	7
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	22
15951	2296	31
100504287	1468	27
666028	634	0
100040462	1908	22
381308	1651	13
15950	3793	96
26388	1796	51
226695	1613	25
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	6
23893	3745	18
24012	2487	2
14194	1632	1464
98256	2498	0
13603	1721	30
12663	6117	713
75820	3817	0
26909	5506	87
319455	3894	5
545389	6930	835
723921	99	0
76816	2619	206
15365	1510	15
23797	4735	1175
30928	5106	834
75589	698	0
69428	749	1
11566	2553	2376
631584	2790	9
545391	1663	1
78825	4214	757
791357	1199	15
75164	651	1
666295	875	7785
320110	427	19
66359	448	451
51810	3670	17358
68226	2539	53
269152	7406	377
69726	3769	196
15278	2448	213
226744	4545	1805
109232	1922	451
226747	8831	3877
100503705	1428	0
226751	8656	2793
67426	4076	244
19165	2084	233
277333	3581	24
320404	5101	1612
381310	6557	50
11545	3827	1930
72568	3377	178
27217	2294	1
170760	3471	1944
100504581	591	0
15078	1076	573
208768	3189	4048
100504598	177	4
320202	2462	0
100862334	599	0
69051	1599	299
13590	1604	11
208795	3239	1681
13849	1665	2680
619326	1898	1
67459	3060	490
98417	3268	864
226757	7047	5699
329307	2505	3
72978	2727	6
403180	1819	1
240960	13996	6
98386	3552	1592
433384	1343	0
13800	4288	631
27058	1388	492
625823	921	0
13244	2005	2998
67330	686	1
67948	4913	1463
209456	4370	5320
12334	3185	2755
170725	3705	5
433386	2055	0
96935	2035	9
53791	3199	75
68897	5030	378
71678	3456	839
108909	3293	713
338366	6678	2793
21339	2386	437
78772	2736	71
73363	967	10
63953	2712	428
73590	778	0
74971	1722	0
15284	2149	17
66112	2161	4
67247	1883	935
100316821	82	0
226777	2853	443
226778	4565	1239
98732	6988	1389
100217449	113	0
381314	3540	1549
387189	67	0
387211	112	0
23827	2182	480
107508	4850	3702
319562	3406	1
100039138	2761	0
226781	5836	1
114668	709	0
226791	1577	130
21808	4725	519
67223	1213	808
110957	3212	117
74717	1645	3
69308	823	3
67769	4565	383
100862400	1119	32
26381	5580	11
320272	2212	0
22283	15891	1
226823	3703	1395
16526	3959	73
100042424	516	510
100039307	642	1
108000	11130	208
19250	10746	9776
226830	1605	2011
19130	4139	38
100504619	832	0
320119	3995	617
52477	3349	818
226841	4190	512
226844	4087	2864
100125339	1649	3
75558	428	0
68972	1258	154
381318	2973	49
381319	712	34
619288	2234	170
11910	1977	64523
100504360	568	25
100861628	406	0
66208	658	273
66950	4204	417
226849	3082	737
100504379	2421	1
76843	4202	817
77065	3252	978
226856	7246	4741
18005	3197	267
98736	4362	54
22782	5230	1773
74023	3720	1
22033	2102	615
100628582	81	1
100042625	720	675
214742	1597	438
100038712	2612	28
16510	7143	1293
226861	2835	311
320952	2041	1
73455	404	0
214791	3401	830
100503471	624	278
329324	1731	0
215193	5548	491
54139	4125	2918
319266	3834	277
215243	2121	0
15483	1446	15
14373	843	0
100503531	873	0
16780	4055	15859
215303	2453	47
387201	68	1
74942	578	0
18845	11036	415
100628615	64	0
12490	2621	595
320400	2491	3
320977	5195	28
723963	81	0
387224	88	0
17221	1213	11
12946	1662	752
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	4
70337	1540	0
213783	7415	689
270685	4332	281
83397	6247	4204
381990	3227	1883
66084	1849	94
73419	2290	65
100504234	2151	11
13982	4319	106
64009	18115	1282
68632	2777	68
22353	1527	0
67141	1807	89
108853	2621	101
56533	8191	1
100041224	522	0
18390	2639	0
320495	8240	1
215748	3448	2170
77777	1819	39
237253	3403	11
18537	1917	1128
320642	1253	7
69912	1290	181
407824	2188	53
16798	7215	3735
23924	1775	2032
215751	1557	1355
100503695	916	13
67418	2896	1726
237256	4093	21
100628581	94	0
68652	4278	3460
338362	4284	337
70097	7183	3348
791352	3151	0
320825	2495	212
620417	2980	0
78808	9074	1307
215772	5218	1
67844	2054	100
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	408
71865	5114	6160
13853	1079	25
22288	12382	7206
320273	1182	26
74732	2396	642
66125	734	501
22634	5260	1191
100862331	414	0
75122	1053	0
353258	1769	1203
215789	8913	1035
66848	3954	562
56535	2405	345
66757	1453	132
66253	1054	298
15273	9768	2147
100504211	3928	11
215798	6505	1283
100039571	514	217
66201	1325	438
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1723
378431	4457	11
380629	3667	1595
73112	810	569
19707	2618	1150
100045792	2900	2
215814	1166	67
215819	7638	5804
56016	1910	307
215821	8216	2
237300	2355	0
73968	2928	0
64058	1901	8521
21929	4595	1910
100504265	6220	0
94222	2066	0
15979	2099	942
237310	2468	3
237313	2088	24
76157	2629	15
18634	1894	265
26408	5393	949
17761	3895	1892
73811	629	1
621697	592	1748
72567	5454	4951
71804	2307	372
29863	4127	133
52906	5094	377
100038717	3304	0
100504283	1667	1
17863	3777	74
56422	4893	1508
73990	1016	6
237320	2243	8
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	31910
114671	1771	1
319887	2292	1
379043	1274	1
667281	952	0
606736	4515	1
56554	1271	5
100038752	4548	0
353169	3762	69
237336	2875	695
100504411	1274	0
100038582	2198	0
21412	1239	2
14051	4099	2
20042	518	385
100529074	105	49
100529075	68	48
76306	2837	241
26464	1811	1
22361	2416	46
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1343
100862153	747	0
59012	3083	4215
14219	2403	11663
18605	3224	1142
209558	2815	115
70208	4946	768
11846	1477	58
432442	3123	388
13822	4464	4597
100504474	674	0
73803	865	0
215866	1543	1
77220	4115	1283
100040851	1193	0
268288	3554	2
237339	3411	481
667572	1206	0
73910	3616	271
16773	9713	62
100040961	485	50
19272	6177	3941
210757	3981	0
100504516	4347	0
114676	1545	78
67719	1319	0
67412	3948	0
212448	5644	2
52665	3180	132
68031	4404	561
72780	2397	0
100504540	2648	0
66311	1512	41
73681	2359	240
100504586	3440	92
66847	696	74
211329	5338	415
15214	2532	74
69692	718	221
21987	1267	144
100041294	710	187
268291	2860	545
432450	3745	83
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	10
72580	2364	225
414093	7840	28
66521	1082	223
692132	1185	2
270711	3714	2
103511	1786	70
215900	1082	7
212898	4225	616
22110	2696	1115
72480	3900	157
319638	2716	355
12813	3130	2
14302	4805	369
100041585	3201	6525
319415	3098	0
15182	2004	2188
17118	4186	3026
215919	1054	0
16775	6046	2112
66337	730	38
71924	2929	40
327743	1418	4
14360	3692	757
100504626	1313	5
103213	2867	412
327744	1664	68
19714	10666	1755
100504659	947	1
213332	781	15
75299	2400	0
72045	2285	3
100041085	1782	4
215928	5981	1
215929	2679	1
72472	6556	389
67239	1890	341
67371	1020	449
19850	104	0
11702	3206	1842
78334	5807	784
70840	2243	0
70503	3000	153
327747	1529	29
71713	3366	1020
83767	2550	110
100504721	508	15
140741	1092	0
103199	3263	403
633979	5640	7
268294	2831	195
171580	3563	612
20598	1602	512
73075	1070	55
53599	2830	9399
75973	2749	11
70538	617	0
629461	2137	14
100628609	55	0
103268	2392	138
140742	3339	460
213402	4865	35
624784	2896	531
56484	2889	1761
