EntrezID	Length	MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1
17936	5088	2980
227094	3394	78
98682	5591	1565
16329	1776	242
227095	1704	577
67080	834	298
17700	2682	2
69397	627	0
227099	3032	65
227102	1846	67
72085	2283	148
70396	2362	123
627872	12272	48
98267	3278	516
329152	11336	253
78016	3807	3
98488	3005	228
241062	10579	229
329154	6140	637
81898	6192	10459
67876	1733	3907
15510	2332	2045
15528	768	393
19070	2826	1377
74013	3677	83
212679	2882	125
75388	1258	0
227120	6555	916
626009	1369	90
329159	1906	0
71066	1408	0
212712	5286	2
329160	3728	0
407809	3304	0
75323	2052	4
73467	3008	55
68736	1442	202
68115	1325	169
67198	4045	1741
51960	2733	180
68549	5416	23
11761	4382	298
71724	4360	3
71872	4973	2
213043	4776	0
66882	2833	4673
12747	3088	4822
70225	1630	235
65102	2105	151
18393	3371	393
100504455	2126	0
213056	8695	181
66495	532	454
100504501	936	62
108812	1579	0
12633	7814	2614
12370	2777	266
70827	6240	3270
227154	2318	197
73463	2131	1
381259	1972	291
227157	3087	11
74018	7038	1583
271697	1477	56
14369	4809	5579
381260	3595	7
22218	1215	1438
55989	1976	12093
100217459	53	7
100217421	63	1
12168	3507	1222
100504533	314	121
72750	5532	861
70375	3650	16
57750	3376	122
241066	2604	109
100504573	431	452
269198	12108	1790
77951	1501	276
329165	5974	933
77300	9117	1085
100043027	207	241
100042533	791	9
12487	4317	2
100504618	845	0
12477	1931	0
54167	3254	1
77341	892	0
72823	8392	184
18187	8122	791
74992	895	1
227195	13529	1596
100380944	1802	31
100504668	1301	10
227197	2927	1324
55949	1933	5143
100217464	113	20
241070	1606	3
73884	12621	28
23792	6879	12
241073	2427	0
76668	1711	0
75619	3205	293
74426	1756	2
433315	1432	1
93691	1344	458
12912	8421	840
67099	2666	232
69941	713	19
227210	2927	721
14367	6914	1239
241075	8562	583
70861	1353	0
667276	1020	5
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	5
15926	2438	1311
18711	11255	642
213527	2414	0
12969	622	0
17756	5520	2701
100038569	1663	0
329178	13533	2
66646	2630	617
68691	4760	1762
11363	1892	1073
100862127	515	1
17901	1111	0
14768	4461	1034
227231	4704	1
13869	4257	2
100502712	2069	0
22779	9424	296
66722	2270	1
320460	4655	0
12021	5448	21
74591	8323	21
108147	2611	750
14268	8312	681
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	4
381269	2493	250
111175	1186	122
271711	2815	16
22596	2556	976
381270	4187	23
54380	6715	632
319695	4573	1
19981	588	127
16008	1330	26047
16011	5854	39195
21958	427	0
69449	571	0
723792	1560	93
78718	551	5
109198	1801	1
21961	9966	35649
435626	2336	64
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	4903
227289	990	1
227290	1820	2925
56695	3501	841
69660	2309	3427
241112	2101	22
18173	2304	11
227292	2776	1198
387219	85	0
22349	3117	16
319651	7196	1461
58184	3266	426
18802	3121	78
77264	7472	1147
66821	1829	187
57751	1475	515
269209	5235	81
67534	4253	370
104086	1890	202
241113	2832	20
22420	2068	2222
22409	1962	1180
12570	2704	1
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	2
75570	860	76
22626	2059	50
69171	2738	481
227298	2557	554
68818	1299	328
74104	2934	248
245860	3764	1010
52231	2764	180
74577	3451	275
20872	2885	593
22145	2053	3718
381272	767	2
56812	3203	1316
19275	3535	39
19711	710	0
13437	1946	556
13346	2150	106
100503248	676	0
11790	11933	4325
69080	1528	1145
100862164	449	1
241118	2650	44
74241	3235	1484
319998	2185	217
98733	5770	888
16322	1463	134
71728	4458	297
20536	4441	1413
100862333	771	4
620079	2188	0
13838	6328	1366
18505	3868	0
100039210	1208	0
433323	3998	7
23874	2132	678
68393	1206	8
74205	3950	1154
195434	3981	492
57814	2463	87
20254	2485	0
100862182	832	0
252903	2876	45
69368	4714	453
100038695	1791	0
69163	1424	72
100862198	480	0
20720	2055	177
241128	2862	0
26554	2764	3821
72208	394	0
210293	7303	39
241134	4919	0
16367	9163	979
100503073	3039	2
76867	3757	1370
100503095	2833	1
12829	7808	95
12828	8609	156
75734	1866	1225
66261	1503	0
100044526	654	18
15463	3137	1450
80721	2974	56
71386	992	1
20297	802	2
71227	1670	0
77629	6512	0
98496	2667	93
227325	3632	0
100628595	77	0
14897	9632	6524
66153	900	14
71781	2349	16
100503433	891	0
381287	1760	0
621875	1334	5
100040135	1348	1
665378	1621	1
620078	1971	3
100040213	891	0
100039794	1073	54
665338	891	0
109032	1971	227
434484	2417	328
100503502	852	1
100503045	659	3
20684	2158	103
319997	1936	9
12283	3800	2944
64294	2024	7104
71141	1148	8
227326	2550	5
70060	1602	0
72792	3331	6
70247	3256	2982
15559	2072	3
78795	5258	465
100861644	653	2
227327	2595	14
383538	483	0
17975	8257	14438
100303740	116	21
80828	68	0
319336	1266	11
14767	1218	0
71863	1721	0
19231	1192	14660
18582	1092	287
26895	2231	131
18159	1042	51
208718	3171	242
11650	2113	1
76768	2337	1
11648	1680	0
13599	2698	4
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	1153
98363	1805	364
227331	5743	922
100040591	1349	42
73234	462	0
53972	3384	4
319977	1676	0
620454	1602	211
23956	2018	1
16331	4938	15
77040	3180	561
100217415	248	0
20215	1718	5
100503175	947	0
227333	5694	1155
227334	5316	429
394430	3242	0
394434	3216	0
394432	3294	1
394435	2293	798
94284	3302	642
394433	3208	0
22236	3206	2
15504	1017	7
394436	3229	1
100040766	7526	10
381280	8439	77
78605	3662	0
171382	3844	1
75396	870	0
14659	1957	6
100503197	2622	0
320982	3967	2930
78650	476	0
73475	603	1
98402	3673	3000
77331	591	0
347722	9581	662
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	1
12778	2579	11635
108679	1843	1555
433332	1207	0
12835	10841	1257
171531	4484	23
623503	261	0
19329	1950	28
16978	5743	2629
329207	3851	12
51801	3022	198
67921	1363	725
665783	892	175
50880	2207	180
227357	5442	21
100503326	684	0
70788	3020	2
227358	2815	18
67444	1368	752
67086	547	0
55927	1335	274
18627	5837	3677
74019	3500	193
65247	6072	245
13345	1312	23
208727	3960	956
67273	1220	907
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	644
260301	704	1
14733	3552	1154
100504295	543	0
387167	66	0
241158	3243	3
67446	1491	106
108657	3039	783
100037260	1689	1
23830	2877	150
64095	4396	23
208760	1088	0
16560	8257	128
11611	1517	0
71874	2362	0
381284	7348	4
208777	4474	348
69821	3315	347
269224	5119	127
66385	3653	661
404545	3217	0
110611	6238	20065
18000	3335	5355
227377	3912	254
59041	3254	1775
51800	1432	755
67026	2160	358
66615	2964	885
21915	1310	359
66262	4539	1047
98314	3058	84
381334	2846	14
100041596	1185	2
666009	570	2
619597	4059	0
241159	4511	1
18566	1930	0
74689	1565	0
67698	2107	356
20452	5677	36
75381	761	0
100504401	921	465
73454	356	0
75159	583	0
227394	2394	0
329217	3849	4
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	305
227399	5565	542
252876	2041	67
18484	4103	2116
78603	1178	3
69030	1687	5
70866	2328	0
100504494	800	78
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	236
100504568	1284	0
27392	6777	757
227446	5406	741
100042023	231	236
21934	5022	1891
635504	465	3
227449	6661	1261
626049	545	3
98432	6104	1134
12043	7749	378
320761	1243	0
70750	5582	607
20479	3272	1553
20724	2565	6026
71869	1735	12
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	1
116872	1887	0
18788	2047	2
241197	3490	67
20725	3289	21
241201	3353	0
227485	3054	1
319901	5763	837
636808	3915	0
634762	729	0
22099	3040	767
67949	1894	626
76707	7899	3524
68204	597	2
81879	9270	170
14633	6708	381
16324	4255	95
100502628	748	0
64143	2277	816
226351	2830	423
226352	7746	138
19258	4707	547
66343	3301	25
226356	2511	3
319229	1924	0
170706	1017	66
13167	745	4363
73103	1089	22
68428	3177	79
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	838
70829	7256	608
15564	2019	0
66942	2249	198
100502702	453	0
269109	4630	0
74117	2746	5123
74150	2597	1476
71111	2690	2
72585	2047	1
210356	7593	422
107895	3104	261
667090	484	504
72160	2517	1
266645	2303	5
100502745	464	9
72949	3514	633
22625	3936	1
226407	4251	1227
226409	4154	137
226412	4812	1316
387147	70	1
67812	4093	3835
226413	6166	63
17219	2901	173
226414	2509	949
12767	1814	195
210417	6253	1
100042740	613	121
13137	1324	11
13136	2527	72
22789	2034	0
12269	1883	0
12270	754	6
18640	9621	1000
226418	3843	469
212439	2909	37
64435	1911	0
100502856	1065	2
18703	3849	692
69169	1491	0
93672	1116	148
58181	824	0
329244	1023	29
16153	1306	12
17164	2567	7366
226419	2072	89
16865	2290	743
54354	3405	516
56489	3203	640
14270	8040	649
108900	2105	21
26361	4148	0
13034	2120	1
226421	2523	82
320718	3640	16
212933	3540	474
98396	4660	6203
226422	1189	229
98415	6096	1080
212980	3426	155
13714	3671	840
213006	4853	241
18557	3046	561
723818	97	0
213409	958	0
213417	4269	7
74137	3132	423
68875	3410	229
213452	6385	988
213464	3632	298
74626	1742	45
21367	9535	138
269116	10379	14
100038653	1879	0
16980	3346	495
17248	3490	990
240752	7929	628
108954	5588	4694
240753	7457	519
100502933	3112	1
68338	1842	0
280287	496	0
19701	1423	6
214253	2279	44
20668	3531	234
20643	492	270
70579	4395	6769
667118	5007	2519
240754	2371	228
381290	8292	7334
269120	2074	756
116847	3602	5994
100502984	884	14
14264	2859	11835
100502999	532	17
12227	3083	21260
667414	432	3
71884	1711	4
12654	1689	1007
53311	1829	233
11539	5786	114
17928	1480	1
68507	6067	47
57439	3169	1245
240755	1770	0
72017	1626	360
72674	2024	1998
100861791	590	0
240756	3196	365
98710	1960	221
100503055	641	3
71001	1457	0
75605	6300	1972
20980	3386	16
329251	6185	1547
67196	1079	24
329252	3623	2139
13924	6089	58
100038590	915	0
320139	3264	4
68724	1702	1254
171469	2253	1
13710	2000	1131
215615	2301	729
21854	917	436
93689	3942	9098
77552	1190	832
226432	6236	1876
215690	12767	766
13007	1770	96263
27280	1467	2077
21952	1114	6
16763	2992	74
21956	1194	14
18772	4486	6099
226438	8996	1
66241	1750	540
12292	6260	1
329253	508	0
16565	9119	898
76422	2922	48
67313	3013	1384
100042513	584	0
383563	1960	0
67886	7823	2920
320054	2097	4
67997	2228	203
381293	8770	32
71084	1846	0
226442	5275	2912
100503460	489	20
100503474	1199	14
667686	385	46
26424	3857	5
320138	3023	0
735252	87	0
723890	80	0
19264	5664	8
338375	1887	0
59125	3366	3572
545363	1930	0
16876	5750	1
69549	571	19
75546	410	0
329260	8314	427
170788	4702	1
71209	1111	0
226470	8362	830
12316	9866	55
14060	2378	0
50702	1732	1
624286	999	0
214403	2887	3
545366	1602	0
12628	4365	25
240776	3957	0
75910	551	0
226472	591	1
214498	2678	860
26878	4578	1
69367	3730	373
20822	8721	806
56207	1851	445
19735	3009	4929
100861894	494	0
246709	1497	1
50778	1330	14
624910	459	0
64214	1859	7
215378	3172	104
100043240	3910	10
791353	1179	0
100503781	490	0
18783	2846	374
320019	1098	2
19225	4150	1481
100043257	532	1747
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	1025
108989	7550	3518
96875	4278	10
545370	18316	3881
402734	2640	0
73176	1674	0
117198	5037	2410
66875	3668	337
98685	2665	203
19821	3028	1484
100503012	373	258
63913	3939	26428
66967	6604	2243
69399	9754	5802
66637	1133	237
269132	4056	3394
19731	3887	658
100861876	505	17
71281	1566	0
67771	1897	4702
100503084	519	0
17970	2596	1
226517	6069	1396
226518	4523	4
16782	5164	40850
226519	7622	19952
626058	2827	0
71836	2045	1
13211	4613	5727
74091	1403	20
67792	5804	4
329271	3337	2
19734	2335	371
24014	4758	18
240816	3640	10
240817	1654	3
433365	2527	0
240819	1415	0
14645	2782	5786
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	0
15939	3270	3154
15064	2509	441
58244	2459	1110
207792	4611	390
100503411	2791	3
19775	7651	1941
433367	1751	7
72482	1942	675
16872	1853	0
100861926	688	0
104009	3361	1098
74081	13307	1446
208263	4439	2088
240832	8112	7855
329274	3687	1
214575	3443	0
170484	3108	95
77352	3297	13
20652	4785	768
11352	10714	5416
30935	3268	588
100503836	636	0
215015	4238	1675
78255	7133	1087
72713	2190	84
73435	898	0
226525	10046	677
69953	1194	122
226527	1289	26
89867	4651	54
100504090	420	19
240843	4101	0
11899	7224	3
735253	109	0
23850	8585	2
72025	2475	0
26374	5056	478
100217414	118	3
21960	5395	3
67647	5391	6136
75255	887	77
329278	5812	84
64659	1970	410
12301	2115	953
29809	9489	1997
100316784	109	0
620246	1086	4
620750	465	0
381305	11011	1641
11905	2162	5
240869	3883	212
14455	2554	2836
100628588	91	0
100217446	65	25
226539	3581	216
70454	4327	468
226541	4037	467
73844	3723	0
100502590	954	0
11758	2334	1308
22164	1609	0
240873	2064	17
14103	1935	3
226551	6308	5837
75368	1164	0
67292	3301	143
103967	7523	45
72753	919	0
474332	7928	6
723821	110	0
387210	110	0
71449	2791	143
53330	2532	248
17926	2080	2
100038657	741	0
226562	10444	6396
226564	1787	6
14261	2326	92
55990	3336	1402
226565	1870	1
14262	2010	0
78258	2956	0
18933	7448	126
98376	2509	97
240879	1053	0
16579	3907	668
240880	4069	189
381306	2912	35
69962	1457	20
20339	2912	211
20343	2321	0
20344	3438	521
100503816	1241	7
14067	7406	5
116914	3546	342
74895	1896	27
66352	4035	471
171567	3011	414
11931	2422	141
56429	1636	51
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	1
108735	5526	1654
226591	4395	768
240888	1943	292
74106	3306	1310
70456	854	696
271639	5209	16
68481	2356	1121
100503268	612	0
226594	2670	330
100503283	1514	0
433375	2125	507
12503	4604	4
18986	13123	519
240892	4025	0
59290	2293	6
98558	1546	3
100039795	8260	22
100503318	2514	2
27878	2145	321
71592	7372	1436
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	0
226610	4986	23
80914	1338	685
68944	4474	1025
100862084	376	0
56752	2833	1833
66447	635	479
240899	1137	0
100503977	287	3
20183	2363	0
110648	3338	1
18514	9027	4930
66977	2405	24
19737	1809	328
100862094	1412	269
19736	2941	159
78465	1440	1
15490	4574	868
67303	1135	2
18214	8290	1064
107652	2283	1792
16589	2024	184
545378	399	0
622708	1691	1
26904	1433	1
665574	3833	232
76925	713	1
70729	3684	93
320078	3095	23
226641	7463	1584
80915	1374	193
435653	1284	0
98752	1727	0
14130	1547	3
246256	1250	0
14131	1353	0
75472	1034	7
66052	1179	2307
17528	1993	49
66425	1575	257
12355	1414	0
641376	2920	372
11807	521	0
14127	658	1
226646	1606	2428
240913	3673	4490
57370	1998	726
19044	1821	360
30941	2185	474
66155	964	257
100862110	308	0
100504072	1662	3
21945	2733	522
27045	1374	369
18637	622	315
68874	1555	31
71740	3504	8
226652	4488	1
22278	1822	215
226654	551	4
16456	2482	4787
56009	1273	23
16429	1140	0
18106	3758	0
17085	2449	0
75345	3977	2
12506	1142	0
100041098	195	345
27218	2688	0
12523	6253	2
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	157
18071	2487	1
59287	2855	1179
12847	4629	4852
100504176	730	0
19298	3131	1197
98193	3743	2285
18611	2477	895
12372	1874	14
27222	3485	1
98660	6227	26
140559	2234	527
16524	3270	0
16513	5407	0
67556	7569	408
100862199	620	0
98365	1145	1
93842	4249	75
21346	1382	5983
71870	1822	21
71319	941	9
240916	1879	53
74748	2040	0
677296	1914	0
68440	1417	34
100040320	811	1
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	125
94332	4159	23
383619	2541	5
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	17
15951	2296	9
100504287	1468	14
666028	634	0
100040462	1908	14
381308	1651	15
15950	3793	42
26388	1796	14
226695	1613	26
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	3
24012	2487	4
14194	1632	1239
98256	2498	0
13603	1721	28
12663	6117	501
75820	3817	0
26909	5506	6
319455	3894	3
545389	6930	812
723921	99	0
76816	2619	179
15365	1510	2
23797	4735	832
30928	5106	537
75589	698	0
69428	749	1
11566	2553	1979
631584	2790	3
545391	1663	0
78825	4214	487
791357	1199	11
75164	651	0
666295	875	4109
320110	427	17
66359	448	333
51810	3670	12956
68226	2539	48
269152	7406	63
69726	3769	100
15278	2448	129
226744	4545	2742
109232	1922	382
226747	8831	2835
100503705	1428	0
226751	8656	3412
67426	4076	527
19165	2084	176
277333	3581	63
320404	5101	4999
381310	6557	289
11545	3827	1259
72568	3377	71
27217	2294	0
170760	3471	1272
100504581	591	0
15078	1076	592
208768	3189	3226
100504598	177	2
320202	2462	3
100862334	599	0
69051	1599	133
13590	1604	9
208795	3239	2815
13849	1665	3492
619326	1898	0
67459	3060	356
98417	3268	808
226757	7047	5622
329307	2505	2
72978	2727	2
403180	1819	1
240960	13996	6
98386	3552	1048
433384	1343	0
13800	4288	1341
27058	1388	385
625823	921	0
13244	2005	3654
67330	686	0
67948	4913	1099
209456	4370	2897
12334	3185	4499
170725	3705	2
433386	2055	0
96935	2035	9
53791	3199	56
68897	5030	457
71678	3456	671
108909	3293	702
338366	6678	2415
21339	2386	361
78772	2736	65
73363	967	6
63953	2712	569
73590	778	0
74971	1722	0
15284	2149	16
66112	2161	10
67247	1883	771
100316821	82	0
226777	2853	180
226778	4565	2232
98732	6988	1312
100217449	113	0
381314	3540	1415
387189	67	0
387211	112	0
23827	2182	412
107508	4850	2213
319562	3406	1
100039138	2761	0
226781	5836	2
114668	709	1
226791	1577	57
21808	4725	698
67223	1213	234
110957	3212	103
74717	1645	1
69308	823	1
67769	4565	568
100862400	1119	26
26381	5580	15
320272	2212	0
22283	15891	0
226823	3703	1380
16526	3959	504
100042424	516	553
100039307	642	0
108000	11130	40
19250	10746	11477
226830	1605	1159
19130	4139	12
100504619	832	0
320119	3995	590
52477	3349	799
226841	4190	330
226844	4087	3613
100125339	1649	3
75558	428	3
68972	1258	184
381318	2973	12
381319	712	21
619288	2234	115
11910	1977	47165
100504360	568	37
100861628	406	0
66208	658	243
66950	4204	191
226849	3082	595
100504379	2421	0
76843	4202	183
77065	3252	422
226856	7246	4182
18005	3197	41
98736	4362	20
22782	5230	576
74023	3720	0
22033	2102	798
100628582	81	0
100042625	720	664
214742	1597	382
100038712	2612	30
16510	7143	1588
226861	2835	133
320952	2041	3
73455	404	1
214791	3401	1036
100503471	624	449
329324	1731	1
215193	5548	143
54139	4125	2649
319266	3834	274
215243	2121	1
15483	1446	14
14373	843	0
100503531	873	0
16780	4055	22558
215303	2453	78
387201	68	0
74942	578	0
18845	11036	541
100628615	64	1
12490	2621	232
320400	2491	6
320977	5195	10
723963	81	0
387224	88	0
17221	1213	20
12946	1662	776
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	7
70337	1540	1
213783	7415	339
270685	4332	53
83397	6247	1375
381990	3227	908
66084	1849	142
73419	2290	48
100504234	2151	2
13982	4319	115
64009	18115	1957
68632	2777	28
22353	1527	0
67141	1807	18
108853	2621	75
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	2
215748	3448	2703
77777	1819	8
237253	3403	11
18537	1917	1170
320642	1253	9
69912	1290	61
407824	2188	47
16798	7215	3005
23924	1775	970
215751	1557	1592
100503695	916	8
67418	2896	1402
237256	4093	49
100628581	94	0
68652	4278	3344
338362	4284	1063
70097	7183	2660
791352	3151	0
320825	2495	277
620417	2980	0
78808	9074	1133
215772	5218	0
67844	2054	124
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	301
71865	5114	4796
13853	1079	25
22288	12382	8383
320273	1182	13
74732	2396	708
66125	734	340
22634	5260	635
100862331	414	0
75122	1053	2
353258	1769	698
215789	8913	1429
66848	3954	1041
56535	2405	234
66757	1453	64
66253	1054	455
15273	9768	3378
100504211	3928	11
215798	6505	1218
100039571	514	113
66201	1325	394
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1649
378431	4457	21
380629	3667	1558
73112	810	1278
19707	2618	1082
100045792	2900	0
215814	1166	51
215819	7638	3292
56016	1910	511
215821	8216	5
237300	2355	0
73968	2928	0
64058	1901	21324
21929	4595	1582
100504265	6220	0
94222	2066	0
15979	2099	625
237310	2468	2
237313	2088	58
76157	2629	19
18634	1894	278
26408	5393	441
17761	3895	1875
73811	629	1
621697	592	987
72567	5454	3731
71804	2307	379
29863	4127	256
52906	5094	309
100038717	3304	0
100504283	1667	0
17863	3777	28
56422	4893	1442
73990	1016	1
237320	2243	4
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	61840
114671	1771	0
319887	2292	0
379043	1274	1
667281	952	0
606736	4515	0
56554	1271	1
100038752	4548	0
353169	3762	140
237336	2875	373
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	1
20042	518	193
100529074	105	20
100529075	68	17
76306	2837	345
26464	1811	1
22361	2416	38
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1813
100862153	747	1
59012	3083	3320
14219	2403	14231
18605	3224	2625
209558	2815	22
70208	4946	420
11846	1477	22
432442	3123	521
13822	4464	5017
100504474	674	0
73803	865	0
215866	1543	1
77220	4115	836
100040851	1193	1
268288	3554	1
237339	3411	613
667572	1206	0
73910	3616	287
16773	9713	131
100040961	485	46
19272	6177	2366
210757	3981	0
100504516	4347	0
114676	1545	90
67719	1319	1
67412	3948	0
212448	5644	1
52665	3180	109
68031	4404	527
72780	2397	1
100504540	2648	0
66311	1512	18
73681	2359	146
100504586	3440	240
66847	696	124
211329	5338	513
15214	2532	8
69692	718	113
21987	1267	128
100041294	710	152
268291	2860	324
432450	3745	11
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	3
72580	2364	182
414093	7840	31
66521	1082	214
692132	1185	0
270711	3714	0
103511	1786	144
215900	1082	0
212898	4225	988
22110	2696	1184
72480	3900	335
319638	2716	283
12813	3130	11
14302	4805	280
100041585	3201	3974
319415	3098	2
15182	2004	1572
17118	4186	3810
215919	1054	0
16775	6046	1283
66337	730	52
71924	2929	11
327743	1418	2
14360	3692	878
100504626	1313	8
103213	2867	648
327744	1664	97
19714	10666	2125
100504659	947	0
213332	781	25
75299	2400	5
72045	2285	6
100041085	1782	18
215928	5981	0
215929	2679	0
72472	6556	89
67239	1890	217
67371	1020	286
19850	104	0
11702	3206	1089
78334	5807	790
70840	2243	0
70503	3000	138
327747	1529	28
71713	3366	682
83767	2550	57
100504721	508	10
140741	1092	0
103199	3263	389
633979	5640	5
268294	2831	125
171580	3563	538
20598	1602	586
73075	1070	76
53599	2830	6001
75973	2749	44
70538	617	0
629461	2137	41
100628609	55	0
103268	2392	72
140742	3339	426
213402	4865	19
624784	2896	434
56484	2889	1263
215951	2513	180
666540	1120	0
54198	1377	2253
