EntrezID	Length	MCL1-DL_BC2CTUACXX_ATCACG_L002_R1
98404	3457	554
14200	1563	1134
666642	647	423
17974	2775	1763
100861934	1421	2
78896	888	1155
67883	1263	77
100503192	585	412
22019	4649	1522
433294	1086	0
75623	1265	232
72050	2324	828
246229	3571	168
22592	4010	657
100861960	766	0
403183	3181	0
70676	2976	865
75066	906	1
12825	5564	1713
12832	6615	4891
73674	2612	442
433297	641	8530
53945	3380	34
100042453	717	2
212225	3483	0
227058	12318	185
100101919	12384	6
227059	4961	1795
442837	542	0
56363	3339	12
442821	2552	1
20324	3055	5195
109019	2838	3718
100045066	3051	7
17912	5042	1767
20849	2981	23
100042634	432	0
20846	5356	731
14660	7488	6460
17936	5088	2602
227094	3394	115
98682	5591	1528
16329	1776	299
227095	1704	505
67080	834	269
17700	2682	0
69397	627	0
227099	3032	68
227102	1846	72
72085	2283	171
70396	2362	146
627872	12272	49
98267	3278	468
329152	11336	234
78016	3807	1
98488	3005	292
241062	10579	231
329154	6140	582
81898	6192	10757
67876	1733	3331
15510	2332	1768
15528	768	336
19070	2826	1209
74013	3677	187
212679	2882	111
75388	1258	0
227120	6555	1013
626009	1369	80
329159	1906	0
71066	1408	0
212712	5286	9
329160	3728	1
407809	3304	0
75323	2052	4
73467	3008	62
68736	1442	188
68115	1325	171
67198	4045	1469
51960	2733	202
68549	5416	14
11761	4382	319
71724	4360	3
71872	4973	0
213043	4776	0
66882	2833	3815
12747	3088	6623
70225	1630	210
65102	2105	150
18393	3371	365
100504455	2126	2
213056	8695	186
66495	532	476
100504501	936	43
108812	1579	2
12633	7814	2111
12370	2777	290
70827	6240	2831
227154	2318	192
73463	2131	0
381259	1972	290
227157	3087	14
74018	7038	1132
271697	1477	32
14369	4809	6912
381260	3595	7
22218	1215	1238
55989	1976	9593
100217459	53	6
100217421	63	3
12168	3507	1058
100504533	314	90
72750	5532	749
70375	3650	16
57750	3376	110
241066	2604	106
100504573	431	416
269198	12108	1452
77951	1501	242
329165	5974	829
77300	9117	1018
100043027	207	187
100042533	791	13
12487	4317	1
100504618	845	0
12477	1931	1
54167	3254	0
77341	892	0
72823	8392	204
18187	8122	633
74992	895	3
227195	13529	1319
100380944	1802	28
100504668	1301	12
227197	2927	1202
55949	1933	4677
100217464	113	30
241070	1606	2
73884	12621	32
23792	6879	9
241073	2427	0
76668	1711	0
75619	3205	270
74426	1756	0
433315	1432	1
93691	1344	482
12912	8421	824
67099	2666	221
69941	713	16
227210	2927	558
14367	6914	1380
241075	8562	646
70861	1353	0
667276	1020	5
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	6
15926	2438	1420
18711	11255	626
213527	2414	0
12969	622	0
17756	5520	2198
100038569	1663	0
329178	13533	8
66646	2630	565
68691	4760	1312
11363	1892	823
100862127	515	7
17901	1111	0
14768	4461	993
227231	4704	0
13869	4257	3
100502712	2069	0
22779	9424	318
66722	2270	1
320460	4655	0
12021	5448	23
74591	8323	17
108147	2611	754
14268	8312	407
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	1
381269	2493	232
111175	1186	159
271711	2815	24
22596	2556	932
381270	4187	32
54380	6715	679
319695	4573	1
19981	588	131
16008	1330	24688
16011	5854	41658
21958	427	0
69449	571	1
723792	1560	79
78718	551	6
109198	1801	0
21961	9966	32593
435626	2336	60
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	4083
227289	990	1
227290	1820	2851
56695	3501	809
69660	2309	3095
241112	2101	20
18173	2304	8
227292	2776	1238
387219	85	0
22349	3117	12
319651	7196	912
58184	3266	479
18802	3121	67
77264	7472	1069
66821	1829	198
57751	1475	566
269209	5235	102
67534	4253	315
104086	1890	195
241113	2832	24
22420	2068	2350
22409	1962	952
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	1
16147	2444	2
75570	860	79
22626	2059	50
69171	2738	558
227298	2557	613
68818	1299	292
74104	2934	252
245860	3764	1080
52231	2764	218
74577	3451	278
20872	2885	608
22145	2053	3316
381272	767	1
56812	3203	1173
19275	3535	37
19711	710	0
13437	1946	561
13346	2150	100
100503248	676	0
11790	11933	4425
69080	1528	1125
100862164	449	1
241118	2650	60
74241	3235	1340
319998	2185	189
98733	5770	956
16322	1463	158
71728	4458	374
20536	4441	1645
100862333	771	0
620079	2188	0
13838	6328	1389
18505	3868	0
100039210	1208	0
433323	3998	8
23874	2132	591
68393	1206	11
74205	3950	1030
195434	3981	485
57814	2463	95
20254	2485	0
100862182	832	0
252903	2876	36
69368	4714	445
100038695	1791	0
69163	1424	98
100862198	480	0
20720	2055	150
241128	2862	0
26554	2764	3289
72208	394	0
210293	7303	36
241134	4919	0
16367	9163	1222
100503073	3039	4
76867	3757	1346
100503095	2833	0
12829	7808	67
12828	8609	109
75734	1866	1064
66261	1503	0
100044526	654	16
15463	3137	1210
80721	2974	67
71386	992	1
20297	802	0
71227	1670	3
77629	6512	0
98496	2667	87
227325	3632	0
100628595	77	0
14897	9632	6285
66153	900	13
71781	2349	20
100503433	891	0
381287	1760	2
621875	1334	2
100040135	1348	1
665378	1621	5
620078	1971	9
100040213	891	0
100039794	1073	65
665338	891	0
109032	1971	202
434484	2417	342
100503502	852	0
100503045	659	1
20684	2158	93
319997	1936	3
12283	3800	2599
64294	2024	6757
71141	1148	5
227326	2550	3
70060	1602	0
72792	3331	10
70247	3256	2457
15559	2072	1
78795	5258	408
100861644	653	0
227327	2595	19
383538	483	0
17975	8257	12555
100303740	116	19
80828	68	1
319336	1266	9
14767	1218	0
71863	1721	0
19231	1192	13623
18582	1092	332
26895	2231	138
18159	1042	73
208718	3171	234
11650	2113	0
76768	2337	1
11648	1680	0
13599	2698	6
69453	1999	1
11447	2910	0
11449	1921	0
26987	4928	1062
98363	1805	261
227331	5743	1047
100040591	1349	75
73234	462	2
53972	3384	0
319977	1676	0
620454	1602	175
23956	2018	0
16331	4938	25
77040	3180	640
100217415	248	3
20215	1718	3
100503175	947	0
227333	5694	1008
227334	5316	435
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	759
94284	3302	597
394433	3208	1
22236	3206	1
15504	1017	5
394436	3229	0
100040766	7526	6
381280	8439	84
78605	3662	0
171382	3844	1
75396	870	0
14659	1957	23
100503197	2622	0
320982	3967	3196
78650	476	0
73475	603	0
98402	3673	2640
77331	591	0
347722	9581	640
74403	3611	0
14472	2126	1
208372	1404	0
74918	3210	3
12778	2579	9656
108679	1843	1441
433332	1207	0
12835	10841	708
171531	4484	18
623503	261	0
19329	1950	32
16978	5743	2057
329207	3851	16
51801	3022	191
67921	1363	611
665783	892	157
50880	2207	158
227357	5442	9
100503326	684	0
70788	3020	1
227358	2815	16
67444	1368	726
67086	547	0
55927	1335	299
18627	5837	3608
74019	3500	197
65247	6072	329
13345	1312	33
208727	3960	938
67273	1220	837
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	593
260301	704	2
14733	3552	1140
100504295	543	1
387167	66	0
241158	3243	5
67446	1491	103
108657	3039	983
100037260	1689	0
23830	2877	171
64095	4396	24
208760	1088	0
16560	8257	100
11611	1517	0
71874	2362	1
381284	7348	2
208777	4474	434
69821	3315	447
269224	5119	105
66385	3653	718
404545	3217	0
110611	6238	17193
18000	3335	4667
227377	3912	202
59041	3254	1809
51800	1432	679
67026	2160	377
66615	2964	824
21915	1310	318
66262	4539	1026
98314	3058	91
381334	2846	17
100041596	1185	1
666009	570	2
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	368
20452	5677	36
75381	761	0
100504401	921	442
73454	356	0
75159	583	0
227394	2394	0
329217	3849	3
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	255
227399	5565	576
252876	2041	91
18484	4103	2065
78603	1178	4
69030	1687	2
70866	2328	0
100504494	800	72
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	321
100504568	1284	6
27392	6777	687
227446	5406	982
100042023	231	188
21934	5022	1929
635504	465	12
227449	6661	1188
626049	545	0
98432	6104	1128
12043	7749	378
320761	1243	0
70750	5582	464
20479	3272	1413
20724	2565	4206
71869	1735	9
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	0
116872	1887	0
18788	2047	1
241197	3490	47
20725	3289	13
241201	3353	0
227485	3054	0
319901	5763	777
636808	3915	0
634762	729	0
22099	3040	632
67949	1894	495
76707	7899	3085
68204	597	4
81879	9270	96
14633	6708	307
16324	4255	169
100502628	748	0
64143	2277	647
226351	2830	400
226352	7746	147
19258	4707	417
66343	3301	26
226356	2511	2
319229	1924	1
170706	1017	92
13167	745	3469
73103	1089	28
68428	3177	76
226359	2000	0
17167	1985	0
13798	2554	1
98452	1580	0
72999	2524	798
70829	7256	623
15564	2019	1
66942	2249	146
100502702	453	0
269109	4630	0
74117	2746	4396
74150	2597	1216
71111	2690	1
72585	2047	3
210356	7593	409
107895	3104	281
667090	484	493
72160	2517	0
266645	2303	1
100502745	464	5
72949	3514	639
22625	3936	0
226407	4251	1200
226409	4154	176
226412	4812	1298
387147	70	0
67812	4093	3084
226413	6166	63
17219	2901	156
226414	2509	884
12767	1814	302
210417	6253	1
100042740	613	118
13137	1324	9
13136	2527	69
22789	2034	0
12269	1883	0
12270	754	1
18640	9621	909
226418	3843	335
212439	2909	45
64435	1911	2
100502856	1065	1
18703	3849	603
69169	1491	0
93672	1116	94
58181	824	0
329244	1023	17
16153	1306	6
17164	2567	6286
226419	2072	102
16865	2290	769
54354	3405	381
56489	3203	801
14270	8040	714
108900	2105	29
26361	4148	0
13034	2120	2
226421	2523	116
320718	3640	31
212933	3540	544
98396	4660	5382
226422	1189	245
98415	6096	950
212980	3426	103
13714	3671	706
213006	4853	200
18557	3046	489
723818	97	0
213409	958	0
213417	4269	6
74137	3132	332
68875	3410	249
213452	6385	929
213464	3632	288
74626	1742	62
21367	9535	122
269116	10379	11
100038653	1879	0
16980	3346	459
17248	3490	967
240752	7929	670
108954	5588	2926
240753	7457	574
100502933	3112	0
68338	1842	1
280287	496	2
19701	1423	6
214253	2279	31
20668	3531	296
20643	492	260
70579	4395	5888
667118	5007	2235
240754	2371	197
381290	8292	5880
269120	2074	639
116847	3602	6666
100502984	884	12
14264	2859	9591
100502999	532	15
12227	3083	28792
667414	432	5
71884	1711	2
12654	1689	734
53311	1829	182
11539	5786	108
17928	1480	0
68507	6067	38
57439	3169	1174
240755	1770	0
72017	1626	282
72674	2024	1912
100861791	590	0
240756	3196	350
98710	1960	646
100503055	641	0
71001	1457	1
75605	6300	2070
20980	3386	21
329251	6185	1663
67196	1079	25
329252	3623	2178
13924	6089	58
100038590	915	2
320139	3264	9
68724	1702	1161
171469	2253	1
13710	2000	1203
215615	2301	741
21854	917	383
93689	3942	9286
77552	1190	887
226432	6236	1818
215690	12767	662
13007	1770	86626
27280	1467	1869
21952	1114	4
16763	2992	56
21956	1194	10
18772	4486	4987
226438	8996	0
66241	1750	572
12292	6260	0
329253	508	0
16565	9119	901
76422	2922	49
67313	3013	1220
100042513	584	0
383563	1960	0
67886	7823	2793
320054	2097	6
67997	2228	206
381293	8770	24
71084	1846	0
226442	5275	2516
100503460	489	16
100503474	1199	10
667686	385	62
26424	3857	8
320138	3023	0
735252	87	0
723890	80	0
19264	5664	2
338375	1887	0
59125	3366	3406
545363	1930	0
16876	5750	1
69549	571	30
75546	410	0
329260	8314	363
170788	4702	0
71209	1111	0
226470	8362	767
12316	9866	53
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	1
545366	1602	0
12628	4365	14
240776	3957	1
75910	551	0
226472	591	0
214498	2678	837
26878	4578	2
69367	3730	324
20822	8721	722
56207	1851	390
19735	3009	5032
100861894	494	0
246709	1497	1
50778	1330	8
624910	459	0
64214	1859	5
215378	3172	159
100043240	3910	3
791353	1179	0
100503781	490	0
18783	2846	315
320019	1098	1
19225	4150	2171
100043257	532	1815
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	1002
108989	7550	3252
96875	4278	15
545370	18316	3527
402734	2640	0
73176	1674	0
117198	5037	2258
66875	3668	374
98685	2665	276
19821	3028	1323
100503012	373	217
63913	3939	22436
66967	6604	1871
69399	9754	5174
66637	1133	227
269132	4056	3207
19731	3887	681
100861876	505	20
71281	1566	0
67771	1897	3915
100503084	519	0
17970	2596	4
226517	6069	1534
226518	4523	5
16782	5164	29923
226519	7622	17530
626058	2827	0
71836	2045	0
13211	4613	5155
74091	1403	7
67792	5804	2
329271	3337	0
19734	2335	629
24014	4758	20
240816	3640	20
240817	1654	4
433365	2527	0
240819	1415	1
14645	2782	5431
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	3
15939	3270	3391
15064	2509	483
58244	2459	1206
207792	4611	507
100503411	2791	0
19775	7651	1778
433367	1751	1
72482	1942	718
16872	1853	1
100861926	688	0
104009	3361	942
74081	13307	1440
208263	4439	2124
240832	8112	6522
329274	3687	0
214575	3443	0
170484	3108	98
77352	3297	11
20652	4785	590
11352	10714	3703
30935	3268	423
100503836	636	0
215015	4238	1601
78255	7133	1055
72713	2190	63
73435	898	0
226525	10046	602
69953	1194	130
226527	1289	16
89867	4651	52
100504090	420	18
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	6
72025	2475	0
26374	5056	365
100217414	118	0
21960	5395	9
67647	5391	4661
75255	887	67
329278	5812	73
64659	1970	420
12301	2115	732
29809	9489	1890
100316784	109	0
620246	1086	9
620750	465	0
381305	11011	1592
11905	2162	1
240869	3883	171
14455	2554	3368
100628588	91	0
100217446	65	30
226539	3581	190
70454	4327	439
226541	4037	466
73844	3723	2
100502590	954	0
11758	2334	1191
22164	1609	3
240873	2064	11
14103	1935	2
226551	6308	5838
75368	1164	0
67292	3301	180
103967	7523	37
72753	919	0
474332	7928	9
723821	110	0
387210	110	0
71449	2791	139
53330	2532	235
17926	2080	1
100038657	741	0
226562	10444	5940
226564	1787	7
14261	2326	84
55990	3336	1325
226565	1870	2
14262	2010	0
78258	2956	0
18933	7448	269
98376	2509	137
240879	1053	0
16579	3907	682
240880	4069	296
381306	2912	31
69962	1457	9
20339	2912	137
20343	2321	0
20344	3438	514
100503816	1241	10
14067	7406	4
116914	3546	314
74895	1896	45
66352	4035	484
171567	3011	392
11931	2422	111
56429	1636	46
433374	1588	0
16963	502	1
69476	357	0
75857	998	0
83993	2662	2
108735	5526	1547
226591	4395	680
240888	1943	273
74106	3306	1202
70456	854	651
271639	5209	13
68481	2356	1271
100503268	612	0
226594	2670	362
100503283	1514	0
433375	2125	474
12503	4604	1
18986	13123	464
240892	4025	0
59290	2293	7
98558	1546	0
100039795	8260	17
100503318	2514	6
27878	2145	338
71592	7372	1172
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	0
226610	4986	21
80914	1338	640
68944	4474	899
100862084	376	0
56752	2833	1583
66447	635	402
240899	1137	0
100503977	287	0
20183	2363	1
110648	3338	1
18514	9027	4695
66977	2405	12
19737	1809	301
100862094	1412	191
19736	2941	128
78465	1440	0
15490	4574	705
67303	1135	5
18214	8290	1067
107652	2283	1423
16589	2024	149
545378	399	0
622708	1691	2
26904	1433	0
665574	3833	212
76925	713	0
70729	3684	78
320078	3095	29
226641	7463	1287
80915	1374	149
435653	1284	1
98752	1727	0
14130	1547	1
246256	1250	0
14131	1353	1
75472	1034	18
66052	1179	2093
17528	1993	73
66425	1575	197
12355	1414	2
641376	2920	342
11807	521	0
14127	658	1
226646	1606	2315
240913	3673	2899
57370	1998	856
19044	1821	442
30941	2185	547
66155	964	253
100862110	308	0
100504072	1662	1
21945	2733	547
27045	1374	374
18637	622	267
68874	1555	56
71740	3504	2
226652	4488	0
22278	1822	331
226654	551	2
16456	2482	4583
56009	1273	37
16429	1140	0
18106	3758	0
17085	2449	0
75345	3977	0
12506	1142	0
100041098	195	315
27218	2688	0
12523	6253	2
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	155
18071	2487	2
59287	2855	1177
12847	4629	4226
100504176	730	1
19298	3131	1126
98193	3743	2316
18611	2477	879
12372	1874	9
27222	3485	1
98660	6227	47
140559	2234	587
16524	3270	1
16513	5407	0
67556	7569	379
100862199	620	0
98365	1145	1
93842	4249	110
21346	1382	4533
71870	1822	18
71319	941	14
240916	1879	60
74748	2040	0
677296	1914	0
68440	1417	37
100040320	811	6
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	118
94332	4159	22
383619	2541	4
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	16
15951	2296	6
100504287	1468	14
666028	634	0
100040462	1908	4
381308	1651	9
15950	3793	44
26388	1796	8
226695	1613	14
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	4
24012	2487	2
14194	1632	1109
98256	2498	0
13603	1721	18
12663	6117	441
75820	3817	0
26909	5506	5
319455	3894	3
545389	6930	724
723921	99	0
76816	2619	179
15365	1510	6
23797	4735	823
30928	5106	497
75589	698	0
69428	749	0
11566	2553	1753
631584	2790	5
545391	1663	0
78825	4214	446
791357	1199	10
75164	651	1
666295	875	3927
320110	427	11
66359	448	354
51810	3670	12026
68226	2539	63
269152	7406	61
69726	3769	104
15278	2448	116
226744	4545	3089
109232	1922	356
226747	8831	2550
100503705	1428	0
226751	8656	2744
67426	4076	657
19165	2084	162
277333	3581	61
320404	5101	4796
381310	6557	194
11545	3827	1242
72568	3377	85
27217	2294	0
170760	3471	1158
100504581	591	2
15078	1076	522
208768	3189	2971
100504598	177	1
320202	2462	2
100862334	599	0
69051	1599	134
13590	1604	14
208795	3239	2813
13849	1665	3256
619326	1898	0
67459	3060	306
98417	3268	692
226757	7047	4989
329307	2505	2
72978	2727	8
403180	1819	4
240960	13996	7
98386	3552	969
433384	1343	0
13800	4288	1074
27058	1388	377
625823	921	0
13244	2005	3158
67330	686	0
67948	4913	943
209456	4370	2683
12334	3185	3820
170725	3705	3
433386	2055	0
96935	2035	6
53791	3199	57
68897	5030	499
71678	3456	625
108909	3293	585
338366	6678	2336
21339	2386	383
78772	2736	58
73363	967	10
63953	2712	584
73590	778	0
74971	1722	0
15284	2149	26
66112	2161	6
67247	1883	682
100316821	82	0
226777	2853	198
226778	4565	2004
98732	6988	1328
100217449	113	1
381314	3540	1456
387189	67	1
387211	112	0
23827	2182	369
107508	4850	1853
319562	3406	1
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	75
21808	4725	665
67223	1213	210
110957	3212	112
74717	1645	3
69308	823	1
67769	4565	605
100862400	1119	18
26381	5580	16
320272	2212	0
22283	15891	0
226823	3703	1291
16526	3959	567
100042424	516	434
100039307	642	5
108000	11130	16
19250	10746	10340
226830	1605	1082
19130	4139	7
100504619	832	0
320119	3995	509
52477	3349	821
226841	4190	294
226844	4087	3122
100125339	1649	6
75558	428	1
68972	1258	184
381318	2973	11
381319	712	25
619288	2234	178
11910	1977	49188
100504360	568	45
100861628	406	0
66208	658	286
66950	4204	190
226849	3082	569
100504379	2421	0
76843	4202	147
77065	3252	422
226856	7246	3021
18005	3197	23
98736	4362	30
22782	5230	555
74023	3720	5
22033	2102	866
100628582	81	0
100042625	720	630
214742	1597	399
100038712	2612	28
16510	7143	1794
226861	2835	120
320952	2041	2
73455	404	0
214791	3401	1229
100503471	624	529
329324	1731	0
215193	5548	170
54139	4125	2290
319266	3834	220
215243	2121	1
15483	1446	8
14373	843	0
100503531	873	0
16780	4055	22525
215303	2453	82
387201	68	0
74942	578	0
18845	11036	516
100628615	64	0
12490	2621	233
320400	2491	3
320977	5195	11
723963	81	0
387224	88	0
17221	1213	11
12946	1662	697
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	11
70337	1540	0
213783	7415	357
270685	4332	43
83397	6247	1484
381990	3227	995
66084	1849	200
73419	2290	64
100504234	2151	1
13982	4319	106
64009	18115	1697
68632	2777	36
22353	1527	1
67141	1807	19
108853	2621	74
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	4
215748	3448	3028
77777	1819	6
237253	3403	17
18537	1917	973
320642	1253	6
69912	1290	55
407824	2188	34
16798	7215	2543
23924	1775	960
215751	1557	1389
100503695	916	8
67418	2896	1267
237256	4093	37
100628581	94	0
68652	4278	3117
338362	4284	771
70097	7183	2891
791352	3151	1
320825	2495	311
620417	2980	1
78808	9074	1178
215772	5218	2
67844	2054	164
382450	3785	1
14816	6990	0
78056	444	0
268281	9293	323
71865	5114	4308
13853	1079	18
22288	12382	7077
320273	1182	7
74732	2396	417
66125	734	374
22634	5260	640
100862331	414	0
75122	1053	2
353258	1769	547
215789	8913	1351
66848	3954	885
56535	2405	325
66757	1453	76
66253	1054	342
15273	9768	2492
100504211	3928	20
215798	6505	1186
100039571	514	97
66201	1325	401
69412	910	0
76743	1477	0
18101	1173	1
100504235	3401	0
17684	1969	2305
378431	4457	15
380629	3667	1466
73112	810	1046
19707	2618	984
100045792	2900	0
215814	1166	74
215819	7638	4440
56016	1910	484
215821	8216	2
237300	2355	0
73968	2928	0
64058	1901	18032
21929	4595	1675
100504265	6220	0
94222	2066	0
15979	2099	619
237310	2468	1
237313	2088	37
76157	2629	9
18634	1894	282
26408	5393	486
17761	3895	1694
73811	629	5
621697	592	929
72567	5454	3340
71804	2307	248
29863	4127	193
52906	5094	300
100038717	3304	0
100504283	1667	1
17863	3777	50
56422	4893	1375
73990	1016	2
237320	2243	2
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	57876
114671	1771	1
319887	2292	0
379043	1274	1
667281	952	0
606736	4515	0
56554	1271	2
100038752	4548	0
353169	3762	154
237336	2875	424
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	1
20042	518	166
100529074	105	10
100529075	68	22
76306	2837	300
26464	1811	1
22361	2416	44
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1625
100862153	747	0
59012	3083	2946
14219	2403	20653
18605	3224	2249
209558	2815	23
70208	4946	553
11846	1477	29
432442	3123	537
13822	4464	4039
100504474	674	0
73803	865	0
215866	1543	1
77220	4115	977
100040851	1193	3
268288	3554	0
237339	3411	602
667572	1206	0
73910	3616	312
16773	9713	111
100040961	485	37
19272	6177	2260
210757	3981	0
100504516	4347	0
114676	1545	96
67719	1319	0
67412	3948	1
212448	5644	0
52665	3180	100
68031	4404	519
72780	2397	1
100504540	2648	0
66311	1512	30
73681	2359	178
100504586	3440	268
66847	696	122
211329	5338	470
15214	2532	27
69692	718	113
21987	1267	104
100041294	710	159
268291	2860	337
432450	3745	15
76757	4514	2
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	5
72580	2364	215
414093	7840	28
66521	1082	182
692132	1185	1
270711	3714	2
103511	1786	164
215900	1082	1
212898	4225	933
22110	2696	1294
72480	3900	373
319638	2716	284
12813	3130	13
14302	4805	342
100041585	3201	3514
319415	3098	0
15182	2004	1399
17118	4186	2769
215919	1054	0
16775	6046	1486
66337	730	84
71924	2929	7
327743	1418	3
14360	3692	883
100504626	1313	2
103213	2867	551
327744	1664	98
19714	10666	1978
100504659	947	0
213332	781	32
75299	2400	3
72045	2285	4
100041085	1782	27
215928	5981	2
215929	2679	0
72472	6556	71
67239	1890	188
67371	1020	282
19850	104	1
11702	3206	994
78334	5807	953
70840	2243	0
70503	3000	122
327747	1529	17
71713	3366	825
83767	2550	67
100504721	508	8
140741	1092	0
103199	3263	355
633979	5640	6
268294	2831	140
171580	3563	622
20598	1602	558
73075	1070	65
53599	2830	5682
75973	2749	38
70538	617	0
629461	2137	34
100628609	55	0
103268	2392	69
140742	3339	507
213402	4865	15
624784	2896	400
56484	2889	1354
215951	2513	183
666540	1120	0
54198	1377	2028
21907	3233	0
14628	3009	530
140740	6032	2585
