EntrezID	Length	MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1
93690	3860	0
73122	5538	669
98404	3457	187
14200	1563	208
666642	647	828
17974	2775	658
100861934	1421	19
78896	888	12
67883	1263	129
100503192	585	677
22019	4649	3017
433294	1086	2
75623	1265	306
72050	2324	290
246229	3571	167
22592	4010	298
100861960	766	0
403183	3181	0
70676	2976	341
75066	906	1
12825	5564	446
12832	6615	50
73674	2612	441
433297	641	1517
53945	3380	61
100042453	717	7
212225	3483	0
227058	12318	2
100101919	12384	0
227059	4961	279
442837	542	0
56363	3339	0
442821	2552	0
20324	3055	345
109019	2838	2581
100045066	3051	24
17912	5042	534
20849	2981	0
100042634	432	5
20846	5356	657
14660	7488	1925
17936	5088	3491
227094	3394	21
98682	5591	3167
16329	1776	175
227095	1704	497
67080	834	6
17700	2682	0
69397	627	0
227099	3032	34
227102	1846	231
72085	2283	70
70396	2362	769
627872	12272	0
98267	3278	223
329152	11336	4
78016	3807	2
98488	3005	134
241062	10579	93
329154	6140	48
81898	6192	12309
67876	1733	4029
15510	2332	3715
15528	768	716
19070	2826	776
74013	3677	14
212679	2882	175
75388	1258	0
227120	6555	258
626009	1369	63
329159	1906	0
71066	1408	0
212712	5286	11
329160	3728	8
407809	3304	0
75323	2052	2
73467	3008	37
68736	1442	80
68115	1325	343
67198	4045	43
51960	2733	76
68549	5416	37
11761	4382	33
71724	4360	41
71872	4973	23
213043	4776	16
66882	2833	4842
12747	3088	2588
70225	1630	197
65102	2105	207
18393	3371	359
100504455	2126	3
213056	8695	345
66495	532	571
100504501	936	38
108812	1579	0
12633	7814	1581
12370	2777	479
70827	6240	2204
227154	2318	160
73463	2131	0
381259	1972	75
227157	3087	9
74018	7038	553
271697	1477	3
14369	4809	290
381260	3595	19
22218	1215	1623
55989	1976	3320
100217459	53	0
100217421	63	1
12168	3507	420
100504533	314	46
72750	5532	854
70375	3650	0
57750	3376	175
241066	2604	39
100504573	431	707
269198	12108	465
77951	1501	318
329165	5974	173
77300	9117	983
100043027	207	586
100042533	791	11
12487	4317	3
100504618	845	0
12477	1931	0
54167	3254	0
77341	892	0
72823	8392	525
18187	8122	284
74992	895	2
227195	13529	1294
100380944	1802	8
100504668	1301	7
227197	2927	1179
55949	1933	18038
100217464	113	15
241070	1606	0
73884	12621	13
23792	6879	1
241073	2427	3
76668	1711	3
75619	3205	367
74426	1756	1
433315	1432	0
93691	1344	364
12912	8421	668
67099	2666	78
69941	713	24
227210	2927	160
14367	6914	1776
241075	8562	104
70861	1353	0
667276	1020	19
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	0
15926	2438	431
18711	11255	334
213527	2414	0
12969	622	0
17756	5520	975
100038569	1663	1
329178	13533	25
66646	2630	717
68691	4760	225
11363	1892	3029
100862127	515	7
17901	1111	0
14768	4461	379
227231	4704	0
13869	4257	151
100502712	2069	0
22779	9424	205
66722	2270	0
320460	4655	0
12021	5448	30
74591	8323	0
108147	2611	623
14268	8312	50
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	1
381269	2493	26
111175	1186	207
271711	2815	0
22596	2556	434
381270	4187	2
54380	6715	267
319695	4573	0
19981	588	190
16008	1330	57
16011	5854	26327
21958	427	0
69449	571	0
723792	1560	157
78718	551	13
109198	1801	0
21961	9966	210
435626	2336	11
100862357	817	0
12765	3043	3
227288	1125	0
100316687	67	0
76709	1597	4016
227289	990	0
227290	1820	3757
56695	3501	323
69660	2309	5236
241112	2101	1
18173	2304	2
227292	2776	815
387219	85	0
22349	3117	5
319651	7196	562
58184	3266	409
18802	3121	13
77264	7472	449
66821	1829	274
57751	1475	367
269209	5235	44
67534	4253	726
104086	1890	0
241113	2832	0
22420	2068	1
22409	1962	3
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	2
75570	860	61
22626	2059	35
69171	2738	1550
227298	2557	1256
68818	1299	390
74104	2934	469
245860	3764	1172
52231	2764	217
74577	3451	64
20872	2885	546
22145	2053	2544
381272	767	1
56812	3203	1196
19275	3535	23
19711	710	0
13437	1946	1070
13346	2150	6
100503248	676	0
11790	11933	43
69080	1528	996
100862164	449	0
241118	2650	0
74241	3235	1153
319998	2185	41
98733	5770	54
16322	1463	11
71728	4458	617
20536	4441	228
100862333	771	0
620079	2188	0
13838	6328	160
18505	3868	0
100039210	1208	0
433323	3998	6
23874	2132	609
68393	1206	3
74205	3950	2568
195434	3981	472
57814	2463	12
20254	2485	0
100862182	832	4
252903	2876	116
69368	4714	686
100038695	1791	0
69163	1424	198
100862198	480	0
20720	2055	49
241128	2862	0
26554	2764	3445
72208	394	0
210293	7303	47
241134	4919	0
16367	9163	199
100503073	3039	3
76867	3757	532
100503095	2833	0
12829	7808	4
12828	8609	3
75734	1866	767
66261	1503	0
100044526	654	19
15463	3137	3811
80721	2974	2
71386	992	0
20297	802	249
71227	1670	1
77629	6512	0
98496	2667	2
227325	3632	0
100628595	77	0
14897	9632	4530
66153	900	56
71781	2349	1
100503433	891	1
381287	1760	0
621875	1334	1
100040135	1348	5
665378	1621	4
620078	1971	6
100040213	891	3
100039794	1073	33
665338	891	2
109032	1971	62
434484	2417	191
100503502	852	1
100503045	659	0
20684	2158	35
319997	1936	12
12283	3800	3625
64294	2024	2387
71141	1148	2
227326	2550	21
70060	1602	0
72792	3331	118
70247	3256	3499
15559	2072	2
78795	5258	86
100861644	653	1
227327	2595	15
383538	483	0
17975	8257	16425
100303740	116	12
80828	68	0
319336	1266	12
14767	1218	0
71863	1721	0
19231	1192	16222
18582	1092	52
26895	2231	159
18159	1042	5
208718	3171	461
11650	2113	0
76768	2337	0
11648	1680	2
13599	2698	4
69453	1999	2
11447	2910	0
11449	1921	1
26987	4928	1837
98363	1805	59
227331	5743	966
100040591	1349	7
73234	462	0
53972	3384	90
319977	1676	0
620454	1602	228
23956	2018	25
16331	4938	3
77040	3180	504
100217415	248	1
20215	1718	7
100503175	947	0
227333	5694	1786
227334	5316	218
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	5
94284	3302	7
394433	3208	0
22236	3206	0
15504	1017	1
394436	3229	0
100040766	7526	3
381280	8439	89
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	0
100503197	2622	0
320982	3967	320
78650	476	0
73475	603	0
98402	3673	3513
77331	591	0
347722	9581	1543
74403	3611	0
14472	2126	1
208372	1404	0
74918	3210	0
12778	2579	177
108679	1843	1022
433332	1207	0
12835	10841	1046
171531	4484	969
623503	261	4
19329	1950	702
16978	5743	4225
329207	3851	3
51801	3022	316
67921	1363	951
665783	892	302
50880	2207	770
227357	5442	26
100503326	684	0
70788	3020	1
227358	2815	78
67444	1368	535
67086	547	0
55927	1335	339
18627	5837	3589
74019	3500	110
65247	6072	52
13345	1312	0
208727	3960	187
67273	1220	1824
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	690
260301	704	0
14733	3552	557
100504295	543	0
387167	66	0
241158	3243	9
67446	1491	108
108657	3039	1429
100037260	1689	2
23830	2877	94
64095	4396	128
208760	1088	0
16560	8257	14
11611	1517	2
71874	2362	265
381284	7348	2
208777	4474	89
69821	3315	234
269224	5119	209
66385	3653	507
404545	3217	2
110611	6238	23905
18000	3335	3310
227377	3912	256
59041	3254	2926
51800	1432	15
67026	2160	443
66615	2964	754
21915	1310	467
66262	4539	459
98314	3058	133
381334	2846	9
100041596	1185	4
666009	570	5
619597	4059	0
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	232
20452	5677	6
75381	761	0
100504401	921	313
73454	356	0
75159	583	0
227394	2394	11
329217	3849	90
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	608
227399	5565	899
252876	2041	67
18484	4103	1010
78603	1178	8
69030	1687	0
70866	2328	0
100504494	800	116
241175	5120	3
100504525	886	0
23836	3722	0
320311	8529	1
100504568	1284	0
27392	6777	542
227446	5406	1305
100042023	231	483
21934	5022	478
635504	465	11
227449	6661	859
626049	545	0
98432	6104	1130
12043	7749	106
320761	1243	4
70750	5582	871
20479	3272	2341
20724	2565	1167
71869	1735	1
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	2
66957	1699	13
116872	1887	0
18788	2047	0
241197	3490	0
20725	3289	84
241201	3353	0
227485	3054	15
319901	5763	309
636808	3915	0
634762	729	0
22099	3040	885
67949	1894	1151
76707	7899	1029
68204	597	2
81879	9270	621
14633	6708	0
16324	4255	744
100502628	748	0
64143	2277	1582
226351	2830	357
226352	7746	631
19258	4707	303
66343	3301	9
226356	2511	0
319229	1924	1
170706	1017	88
13167	745	10916
73103	1089	31
68428	3177	993
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	275
70829	7256	356
15564	2019	0
66942	2249	255
100502702	453	0
269109	4630	8
74117	2746	4407
74150	2597	1504
71111	2690	9
72585	2047	0
210356	7593	54
107895	3104	75
667090	484	981
72160	2517	0
266645	2303	0
100502745	464	2
72949	3514	1167
22625	3936	1
226407	4251	1526
226409	4154	111
226412	4812	1316
387147	70	0
67812	4093	3545
226413	6166	0
17219	2901	774
226414	2509	1150
12767	1814	71
210417	6253	0
100042740	613	193
13137	1324	362
13136	2527	1749
22789	2034	0
12269	1883	0
12270	754	10
18640	9621	3587
226418	3843	1097
212439	2909	881
64435	1911	29
100502856	1065	27
18703	3849	13102
69169	1491	1
93672	1116	356
58181	824	2
329244	1023	1
16153	1306	4
17164	2567	3768
226419	2072	1005
16865	2290	846
54354	3405	349
56489	3203	130
14270	8040	527
108900	2105	9
26361	4148	0
13034	2120	202
226421	2523	1954
320718	3640	666
212933	3540	128
98396	4660	2998
226422	1189	127
98415	6096	959
212980	3426	1434
13714	3671	775
213006	4853	230
18557	3046	1146
723818	97	0
213409	958	0
213417	4269	54
74137	3132	858
68875	3410	30
213452	6385	355
213464	3632	442
74626	1742	28
21367	9535	4
269116	10379	154
100038653	1879	0
16980	3346	9
17248	3490	674
240752	7929	486
108954	5588	2286
240753	7457	1851
100502933	3112	20
68338	1842	12
280287	496	5
19701	1423	0
214253	2279	25
20668	3531	253
20643	492	352
70579	4395	5215
667118	5007	2301
240754	2371	6
381290	8292	32
269120	2074	0
116847	3602	66
100502984	884	0
14264	2859	39
100502999	532	8
12227	3083	6087
667414	432	8
71884	1711	14
12654	1689	122
53311	1829	3
11539	5786	49
17928	1480	0
68507	6067	22
57439	3169	2666
240755	1770	0
72017	1626	864
72674	2024	2194
100861791	590	0
240756	3196	243
98710	1960	391
100503055	641	2
71001	1457	0
75605	6300	3835
20980	3386	0
329251	6185	107
67196	1079	18
329252	3623	620
13924	6089	884
100038590	915	2
320139	3264	2
68724	1702	1568
171469	2253	0
13710	2000	3315
215615	2301	1495
21854	917	512
93689	3942	128
77552	1190	70
226432	6236	1001
215690	12767	47
13007	1770	5312
27280	1467	77
21952	1114	0
16763	2992	691
21956	1194	10
18772	4486	153
226438	8996	0
66241	1750	571
12292	6260	0
329253	508	0
16565	9119	90
76422	2922	3
67313	3013	222
100042513	584	0
383563	1960	0
67886	7823	1502
320054	2097	2
67997	2228	102
381293	8770	65
71084	1846	0
226442	5275	764
100503460	489	11
100503474	1199	0
667686	385	40
26424	3857	0
320138	3023	0
735252	87	0
723890	80	0
19264	5664	7
338375	1887	0
59125	3366	1939
545363	1930	0
16876	5750	0
69549	571	67
75546	410	0
329260	8314	595
170788	4702	0
71209	1111	0
226470	8362	645
12316	9866	72
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	1
12628	4365	1
240776	3957	0
75910	551	0
226472	591	0
214498	2678	942
26878	4578	1
69367	3730	179
20822	8721	192
56207	1851	615
19735	3009	183
100861894	494	0
246709	1497	0
50778	1330	6
624910	459	0
64214	1859	0
215378	3172	5
100043240	3910	28
791353	1179	0
100503781	490	0
18783	2846	239
320019	1098	0
19225	4150	165
100043257	532	2288
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	646
108989	7550	2803
96875	4278	3
545370	18316	5
402734	2640	0
73176	1674	0
117198	5037	7164
66875	3668	334
98685	2665	199
19821	3028	886
100503012	373	454
63913	3939	133
66967	6604	2926
69399	9754	2099
66637	1133	53
269132	4056	26
19731	3887	41
100861876	505	0
71281	1566	0
67771	1897	4599
100503084	519	0
17970	2596	97
226517	6069	2442
226518	4523	0
16782	5164	2467
226519	7622	1684
626058	2827	0
71836	2045	2
13211	4613	5923
74091	1403	98
67792	5804	660
329271	3337	9
19734	2335	8997
24014	4758	3336
240816	3640	0
240817	1654	2
433365	2527	0
240819	1415	0
14645	2782	7177
100861882	573	0
207678	1877	1
78112	613	0
12290	12697	4
15939	3270	11998
15064	2509	112
58244	2459	1310
207792	4611	18
100503411	2791	0
19775	7651	991
433367	1751	2
72482	1942	547
16872	1853	0
100861926	688	0
104009	3361	4913
74081	13307	878
208263	4439	1944
240832	8112	3951
329274	3687	0
214575	3443	5
170484	3108	0
77352	3297	2
20652	4785	22
11352	10714	1589
30935	3268	258
100503836	636	0
215015	4238	701
78255	7133	44
72713	2190	0
73435	898	3
226525	10046	392
69953	1194	97
226527	1289	127
89867	4651	1120
100504090	420	13
240843	4101	0
11899	7224	1
735253	109	0
23850	8585	0
72025	2475	0
26374	5056	238
100217414	118	0
21960	5395	1
67647	5391	1474
75255	887	11
329278	5812	1
64659	1970	516
12301	2115	788
29809	9489	303
100316784	109	0
620246	1086	2
620750	465	1
381305	11011	2185
11905	2162	11
240869	3883	95
14455	2554	2477
100628588	91	0
100217446	65	29
226539	3581	191
70454	4327	67
226541	4037	109
73844	3723	0
100502590	954	0
11758	2334	2797
22164	1609	1
240873	2064	6
14103	1935	1
226551	6308	1836
75368	1164	0
67292	3301	175
103967	7523	103
72753	919	0
474332	7928	0
723821	110	0
387210	110	0
71449	2791	166
53330	2532	152
17926	2080	4
100038657	741	0
226562	10444	6240
226564	1787	1
14261	2326	14
55990	3336	359
226565	1870	0
14262	2010	8
78258	2956	0
18933	7448	7
98376	2509	123
240879	1053	0
16579	3907	234
240880	4069	286
381306	2912	35
69962	1457	17
20339	2912	57
20343	2321	1
20344	3438	281
100503816	1241	4
14067	7406	136
116914	3546	873
74895	1896	99
66352	4035	545
171567	3011	288
11931	2422	3702
56429	1636	17
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	2951
226591	4395	783
240888	1943	3
74106	3306	1690
70456	854	1974
271639	5209	20
68481	2356	2554
100503268	612	1
226594	2670	5
100503283	1514	0
433375	2125	693
12503	4604	0
18986	13123	369
240892	4025	1
59290	2293	7
98558	1546	3
100039795	8260	17
100503318	2514	4
27878	2145	478
71592	7372	733
226601	1744	0
226604	3012	19
240894	3065	6
100503962	936	0
226610	4986	3
80914	1338	1044
68944	4474	748
100862084	376	0
56752	2833	2387
66447	635	206
240899	1137	0
100503977	287	0
20183	2363	0
110648	3338	0
18514	9027	1528
66977	2405	73
19737	1809	10
100862094	1412	13
19736	2941	9
78465	1440	18
15490	4574	1000
67303	1135	1
18214	8290	21
107652	2283	3233
16589	2024	180
545378	399	0
622708	1691	3
26904	1433	4
665574	3833	1319
76925	713	16
70729	3684	440
320078	3095	10
226641	7463	2327
80915	1374	146
435653	1284	0
98752	1727	0
14130	1547	0
246256	1250	0
14131	1353	2
75472	1034	4
66052	1179	1642
17528	1993	7
66425	1575	2
12355	1414	0
641376	2920	235
11807	521	0
14127	658	6
226646	1606	3372
240913	3673	246
57370	1998	1318
19044	1821	417
30941	2185	211
66155	964	965
100862110	308	0
100504072	1662	4
21945	2733	427
27045	1374	274
18637	622	513
68874	1555	34
71740	3504	897
226652	4488	19
22278	1822	263
226654	551	2
16456	2482	5807
56009	1273	36
16429	1140	0
18106	3758	0
17085	2449	0
75345	3977	0
12506	1142	0
100041098	195	390
27218	2688	0
12523	6253	1
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	78
18071	2487	2
59287	2855	2049
12847	4629	5573
100504176	730	0
19298	3131	788
98193	3743	1718
18611	2477	633
12372	1874	2
27222	3485	0
98660	6227	1
140559	2234	1572
16524	3270	2
16513	5407	1
67556	7569	919
100862199	620	0
98365	1145	0
93842	4249	107
21346	1382	761
71870	1822	7
71319	941	4
240916	1879	8
74748	2040	1
677296	1914	0
68440	1417	39
100040320	811	2
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	68
94332	4159	5
383619	2541	3
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	6
15951	2296	6
100504287	1468	3
666028	634	1
100040462	1908	6
381308	1651	8
15950	3793	11
26388	1796	27
226695	1613	10
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	0
24012	2487	4
14194	1632	1368
98256	2498	0
13603	1721	146
12663	6117	348
75820	3817	0
26909	5506	52
319455	3894	0
545389	6930	191
723921	99	0
76816	2619	71
15365	1510	54
23797	4735	219
30928	5106	638
75589	698	0
69428	749	21
11566	2553	2758
631584	2790	51
545391	1663	7
78825	4214	1483
791357	1199	13
75164	651	0
666295	875	4410
320110	427	5
66359	448	249
51810	3670	12284
68226	2539	19
269152	7406	173
69726	3769	276
15278	2448	132
226744	4545	819
109232	1922	414
226747	8831	2934
100503705	1428	0
226751	8656	1061
67426	4076	908
19165	2084	183
277333	3581	6
320404	5101	1315
381310	6557	15
11545	3827	1440
72568	3377	295
27217	2294	0
170760	3471	1939
100504581	591	0
15078	1076	396
208768	3189	2022
100504598	177	4
320202	2462	0
100862334	599	0
69051	1599	198
13590	1604	4
208795	3239	1767
13849	1665	1180
619326	1898	0
67459	3060	444
98417	3268	718
226757	7047	7305
329307	2505	2
72978	2727	0
403180	1819	0
240960	13996	4
98386	3552	607
433384	1343	0
13800	4288	352
27058	1388	752
625823	921	0
13244	2005	1527
67330	686	0
67948	4913	997
209456	4370	2956
12334	3185	1597
170725	3705	29
433386	2055	0
96935	2035	354
53791	3199	312
68897	5030	59
71678	3456	508
108909	3293	261
338366	6678	3629
21339	2386	459
78772	2736	3542
73363	967	8
63953	2712	75
73590	778	0
74971	1722	0
15284	2149	0
66112	2161	0
67247	1883	1730
100316821	82	0
226777	2853	3123
226778	4565	16
98732	6988	1834
100217449	113	3
381314	3540	1502
387189	67	0
387211	112	1
23827	2182	738
107508	4850	3970
319562	3406	0
100039138	2761	0
226781	5836	1
114668	709	0
226791	1577	308
21808	4725	2634
67223	1213	657
110957	3212	42
74717	1645	2
69308	823	0
67769	4565	425
100862400	1119	37
26381	5580	94
320272	2212	0
22283	15891	0
226823	3703	1542
16526	3959	8
100042424	516	359
100039307	642	0
108000	11130	116
19250	10746	986
226830	1605	1242
19130	4139	173
100504619	832	1
320119	3995	264
52477	3349	573
226841	4190	11
226844	4087	3112
100125339	1649	3
75558	428	0
68972	1258	74
381318	2973	20
381319	712	4
619288	2234	38
11910	1977	18381
100504360	568	38
100861628	406	0
66208	658	92
66950	4204	163
226849	3082	555
100504379	2421	1
76843	4202	330
77065	3252	1047
226856	7246	7436
18005	3197	268
98736	4362	29
22782	5230	852
74023	3720	7
22033	2102	10
100628582	81	0
100042625	720	583
214742	1597	143
100038712	2612	9
16510	7143	266
226861	2835	121
320952	2041	1
73455	404	0
214791	3401	1376
100503471	624	81
329324	1731	1
215193	5548	420
54139	4125	1684
319266	3834	138
215243	2121	7
15483	1446	8
14373	843	0
100503531	873	0
16780	4055	4401
215303	2453	12
387201	68	0
74942	578	0
18845	11036	26
100628615	64	0
12490	2621	23
320400	2491	1
320977	5195	14
723963	81	0
387224	88	0
17221	1213	5
12946	1662	902
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	3
70337	1540	2
213783	7415	158
270685	4332	62
83397	6247	1265
381990	3227	713
66084	1849	92
73419	2290	140
100504234	2151	3
13982	4319	168
64009	18115	33
68632	2777	1
22353	1527	0
67141	1807	30
108853	2621	61
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	39
215748	3448	1696
77777	1819	96
237253	3403	34
18537	1917	892
320642	1253	11
69912	1290	90
407824	2188	24
16798	7215	2558
23924	1775	732
215751	1557	616
100503695	916	8
67418	2896	888
237256	4093	20
100628581	94	0
68652	4278	3166
338362	4284	28
70097	7183	2319
791352	3151	0
320825	2495	166
620417	2980	0
78808	9074	340
215772	5218	2
67844	2054	132
382450	3785	1
14816	6990	0
78056	444	0
268281	9293	155
71865	5114	1497
13853	1079	9
22288	12382	1220
320273	1182	12
74732	2396	104
66125	734	489
22634	5260	69
100862331	414	0
75122	1053	0
353258	1769	848
215789	8913	206
66848	3954	1222
56535	2405	274
66757	1453	110
66253	1054	279
15273	9768	1565
100504211	3928	3
215798	6505	315
100039571	514	214
66201	1325	486
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1951
378431	4457	0
380629	3667	1250
73112	810	643
19707	2618	931
100045792	2900	0
215814	1166	47
215819	7638	2905
56016	1910	81
215821	8216	80
237300	2355	0
73968	2928	0
64058	1901	837
21929	4595	5228
100504265	6220	0
94222	2066	0
15979	2099	1385
237310	2468	0
237313	2088	0
76157	2629	2
18634	1894	261
26408	5393	321
17761	3895	2514
73811	629	6
621697	592	2138
72567	5454	2512
71804	2307	233
29863	4127	21
52906	5094	31
100038717	3304	0
100504283	1667	0
17863	3777	41
56422	4893	1743
73990	1016	12
237320	2243	7
76924	485	0
67692	1061	0
432436	2206	3
20393	4158	15556
114671	1771	0
319887	2292	0
379043	1274	0
667281	952	5
606736	4515	1
56554	1271	0
100038752	4548	0
353169	3762	10
237336	2875	284
100504411	1274	0
100038582	2198	0
21412	1239	1
14051	4099	0
20042	518	220
100529074	105	15
100529075	68	25
76306	2837	208
26464	1811	2
22361	2416	0
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	780
100862153	747	0
59012	3083	45
14219	2403	12383
18605	3224	210
209558	2815	940
70208	4946	417
11846	1477	61
432442	3123	66
13822	4464	559
100504474	674	0
73803	865	0
215866	1543	886
77220	4115	3
100040851	1193	0
268288	3554	2
237339	3411	155
667572	1206	0
73910	3616	448
16773	9713	37
100040961	485	42
19272	6177	4061
210757	3981	0
100504516	4347	0
114676	1545	191
67719	1319	0
67412	3948	1
212448	5644	0
52665	3180	179
68031	4404	455
72780	2397	0
100504540	2648	0
66311	1512	33
73681	2359	111
100504586	3440	119
66847	696	257
211329	5338	593
15214	2532	6
69692	718	502
21987	1267	126
100041294	710	326
268291	2860	179
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	2
72580	2364	142
414093	7840	2
66521	1082	202
692132	1185	0
270711	3714	0
103511	1786	5
215900	1082	9
212898	4225	283
22110	2696	918
72480	3900	32
319638	2716	330
12813	3130	1
14302	4805	259
100041585	3201	2221
319415	3098	0
15182	2004	1147
17118	4186	981
215919	1054	0
16775	6046	584
66337	730	7
71924	2929	28
327743	1418	2
14360	3692	19
100504626	1313	0
103213	2867	549
327744	1664	23
19714	10666	972
100504659	947	3
213332	781	40
75299	2400	2
72045	2285	6
100041085	1782	43
215928	5981	8
215929	2679	2
72472	6556	47
67239	1890	123
67371	1020	360
19850	104	0
11702	3206	682
78334	5807	494
70840	2243	0
70503	3000	256
327747	1529	23
71713	3366	459
83767	2550	78
100504721	508	21
140741	1092	0
103199	3263	535
633979	5640	3
268294	2831	119
171580	3563	13
20598	1602	771
73075	1070	26
53599	2830	7820
75973	2749	15
70538	617	1
629461	2137	6
100628609	55	0
103268	2392	43
140742	3339	176
213402	4865	4
624784	2896	552
56484	2889	3160
215951	2513	254
666540	1120	0
54198	1377	4080
21907	3233	0
14628	3009	357
140740	6032	3739
268297	4745	155
109205	4980	2
74530	1859	0
71365	2031	137
