EntrezID	Length	MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1
21915	1310	587
66262	4539	1171
98314	3058	88
381334	2846	14
100041596	1185	2
666009	570	4
619597	4059	1
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	297
20452	5677	31
75381	761	0
100504401	921	489
73454	356	0
75159	583	0
227394	2394	0
329217	3849	0
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	482
227399	5565	771
252876	2041	79
18484	4103	2727
78603	1178	4
69030	1687	1
70866	2328	0
100504494	800	120
241175	5120	0
100504525	886	0
23836	3722	1
320311	8529	75
100504568	1284	0
27392	6777	895
227446	5406	726
100042023	231	298
21934	5022	1155
635504	465	6
227449	6661	2018
626049	545	1
98432	6104	1307
12043	7749	553
320761	1243	0
70750	5582	514
20479	3272	1636
20724	2565	2221
71869	1735	3
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	10
116872	1887	0
18788	2047	5
241197	3490	33
20725	3289	54
241201	3353	0
227485	3054	5
319901	5763	1007
636808	3915	0
634762	729	0
22099	3040	929
67949	1894	1757
76707	7899	1968
68204	597	16
81879	9270	171
14633	6708	266
16324	4255	173
100502628	748	0
64143	2277	1124
226351	2830	627
226352	7746	280
19258	4707	624
66343	3301	20
226356	2511	7
319229	1924	3
170706	1017	187
13167	745	2845
73103	1089	35
68428	3177	211
226359	2000	2
17167	1985	1
13798	2554	0
98452	1580	0
72999	2524	665
70829	7256	491
15564	2019	1
66942	2249	374
100502702	453	0
269109	4630	0
74117	2746	5897
74150	2597	1397
71111	2690	2
72585	2047	2
210356	7593	496
107895	3104	330
667090	484	946
72160	2517	2
266645	2303	3
100502745	464	6
72949	3514	890
22625	3936	0
226407	4251	1256
226409	4154	216
226412	4812	1482
387147	70	0
67812	4093	4215
226413	6166	48
17219	2901	918
226414	2509	1301
12767	1814	275
210417	6253	2
100042740	613	209
13137	1324	26
13136	2527	101
22789	2034	0
12269	1883	0
12270	754	3
18640	9621	1418
226418	3843	1170
212439	2909	73
64435	1911	3
100502856	1065	0
18703	3849	955
69169	1491	2
93672	1116	482
58181	824	0
329244	1023	29
16153	1306	32
17164	2567	10227
226419	2072	301
16865	2290	803
54354	3405	572
56489	3203	504
14270	8040	821
108900	2105	25
26361	4148	1
13034	2120	13
226421	2523	169
320718	3640	68
212933	3540	771
98396	4660	7301
226422	1189	126
98415	6096	1570
212980	3426	307
13714	3671	1271
213006	4853	318
18557	3046	993
723818	97	0
213409	958	2
213417	4269	34
74137	3132	1568
68875	3410	292
213452	6385	974
213464	3632	271
74626	1742	27
21367	9535	341
269116	10379	83
100038653	1879	0
16980	3346	141
17248	3490	772
240752	7929	459
108954	5588	4757
240753	7457	409
100502933	3112	1
68338	1842	1
280287	496	3
19701	1423	9
214253	2279	38
20668	3531	589
20643	492	396
70579	4395	7530
667118	5007	3134
240754	2371	30
381290	8292	1668
269120	2074	325
116847	3602	2680
100502984	884	9
14264	2859	27529
100502999	532	11
12227	3083	17228
667414	432	4
71884	1711	0
12654	1689	4786
53311	1829	991
11539	5786	237
17928	1480	0
68507	6067	100
57439	3169	1756
240755	1770	0
72017	1626	489
72674	2024	2036
100861791	590	0
240756	3196	276
98710	1960	315
100503055	641	2
71001	1457	1
75605	6300	3088
20980	3386	4
329251	6185	802
67196	1079	41
329252	3623	3894
13924	6089	265
100038590	915	0
320139	3264	7
68724	1702	1003
171469	2253	0
13710	2000	1050
215615	2301	738
21854	917	627
93689	3942	4520
77552	1190	344
226432	6236	2126
215690	12767	683
13007	1770	65123
27280	1467	3107
21952	1114	8
16763	2992	329
21956	1194	12
18772	4486	6304
226438	8996	0
66241	1750	754
12292	6260	0
329253	508	0
16565	9119	538
76422	2922	42
67313	3013	1632
100042513	584	0
383563	1960	5
67886	7823	3436
320054	2097	7
67997	2228	191
381293	8770	109
71084	1846	0
226442	5275	3444
100503460	489	12
100503474	1199	6
667686	385	97
26424	3857	8
320138	3023	0
735252	87	0
723890	80	0
19264	5664	24
338375	1887	0
59125	3366	2079
545363	1930	0
16876	5750	0
69549	571	30
75546	410	0
329260	8314	390
170788	4702	0
71209	1111	0
226470	8362	1017
12316	9866	210
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	1
545366	1602	0
12628	4365	24
240776	3957	1
75910	551	0
226472	591	0
214498	2678	1261
26878	4578	6
69367	3730	363
20822	8721	522
56207	1851	529
19735	3009	5564
100861894	494	0
246709	1497	1
50778	1330	64
624910	459	0
64214	1859	2
215378	3172	230
100043240	3910	12
791353	1179	0
100503781	490	0
18783	2846	257
320019	1098	0
19225	4150	1193
100043257	532	3547
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	787
108989	7550	3640
96875	4278	8
545370	18316	1434
402734	2640	0
73176	1674	0
117198	5037	7502
66875	3668	288
98685	2665	183
19821	3028	1511
100503012	373	386
63913	3939	16834
66967	6604	2377
69399	9754	5778
66637	1133	237
269132	4056	3276
19731	3887	817
100861876	505	13
71281	1566	0
67771	1897	6344
100503084	519	5
17970	2596	16
226517	6069	2215
226518	4523	6
16782	5164	29638
226519	7622	24126
626058	2827	2
71836	2045	3
13211	4613	9158
74091	1403	37
67792	5804	42
329271	3337	6
19734	2335	1276
24014	4758	139
240816	3640	5
240817	1654	0
433365	2527	0
240819	1415	0
14645	2782	3362
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	1
15939	3270	7321
15064	2509	394
58244	2459	1819
207792	4611	439
100503411	2791	1
19775	7651	1958
433367	1751	9
72482	1942	877
16872	1853	1
100861926	688	0
104009	3361	1398
74081	13307	903
208263	4439	2704
240832	8112	8175
329274	3687	0
214575	3443	0
170484	3108	166
77352	3297	24
20652	4785	1045
11352	10714	4683
30935	3268	577
100503836	636	0
215015	4238	1926
78255	7133	1307
72713	2190	18
73435	898	0
226525	10046	496
69953	1194	187
226527	1289	38
89867	4651	95
100504090	420	25
240843	4101	3
11899	7224	2
735253	109	0
23850	8585	5
72025	2475	0
26374	5056	394
100217414	118	1
21960	5395	6
67647	5391	6164
75255	887	76
329278	5812	105
64659	1970	476
12301	2115	1685
29809	9489	1901
100316784	109	0
620246	1086	2
620750	465	0
381305	11011	2285
11905	2162	5
240869	3883	136
14455	2554	4487
100628588	91	0
100217446	65	36
226539	3581	176
70454	4327	401
226541	4037	401
73844	3723	1
100502590	954	0
11758	2334	2514
22164	1609	7
240873	2064	6
14103	1935	3
226551	6308	7545
75368	1164	0
67292	3301	122
103967	7523	59
72753	919	0
474332	7928	9
723821	110	0
387210	110	0
71449	2791	268
53330	2532	218
17926	2080	6
100038657	741	2
226562	10444	7500
226564	1787	4
14261	2326	211
55990	3336	1395
226565	1870	0
14262	2010	0
78258	2956	0
18933	7448	202
98376	2509	208
240879	1053	0
16579	3907	648
240880	4069	280
381306	2912	96
69962	1457	21
20339	2912	291
20343	2321	0
20344	3438	1587
100503816	1241	8
14067	7406	6
116914	3546	818
74895	1896	30
66352	4035	497
171567	3011	376
11931	2422	354
56429	1636	72
433374	1588	0
16963	502	1
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1391
226591	4395	833
240888	1943	228
74106	3306	1070
70456	854	743
271639	5209	5
68481	2356	1414
100503268	612	0
226594	2670	286
100503283	1514	2
433375	2125	795
12503	4604	2
18986	13123	587
240892	4025	0
59290	2293	5
98558	1546	0
100039795	8260	106
100503318	2514	12
27878	2145	560
71592	7372	1749
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	1
226610	4986	38
80914	1338	1919
68944	4474	1232
100862084	376	0
56752	2833	1677
66447	635	389
240899	1137	0
100503977	287	2
20183	2363	0
110648	3338	7
18514	9027	4246
66977	2405	158
19737	1809	191
100862094	1412	157
19736	2941	124
78465	1440	3
15490	4574	596
67303	1135	5
18214	8290	1012
107652	2283	1819
16589	2024	147
545378	399	0
622708	1691	2
26904	1433	0
665574	3833	426
76925	713	3
70729	3684	127
320078	3095	47
226641	7463	3241
80915	1374	232
435653	1284	0
98752	1727	0
14130	1547	6
246256	1250	0
14131	1353	4
75472	1034	8
66052	1179	2996
17528	1993	55
66425	1575	113
12355	1414	6
641376	2920	502
11807	521	0
14127	658	9
226646	1606	3163
240913	3673	2261
57370	1998	589
19044	1821	409
30941	2185	461
66155	964	313
100862110	308	0
100504072	1662	1
21945	2733	618
27045	1374	316
18637	622	682
68874	1555	68
71740	3504	58
226652	4488	2
22278	1822	204
226654	551	4
16456	2482	4433
56009	1273	38
16429	1140	0
18106	3758	0
17085	2449	1
75345	3977	5
12506	1142	3
100041098	195	446
27218	2688	0
12523	6253	2
100038548	2574	0
100862186	671	0
30925	2443	2
93840	2260	189
18071	2487	0
59287	2855	1462
12847	4629	5082
100504176	730	0
19298	3131	1217
98193	3743	2132
18611	2477	696
12372	1874	12
27222	3485	3
98660	6227	78
140559	2234	600
16524	3270	0
16513	5407	1
67556	7569	822
100862199	620	0
98365	1145	1
93842	4249	239
21346	1382	3195
71870	1822	6
71319	941	5
240916	1879	50
74748	2040	2
677296	1914	0
68440	1417	34
100040320	811	4
12944	1698	1
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	357
94332	4159	27
383619	2541	6
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	14
15951	2296	25
100504287	1468	13
666028	634	0
100040462	1908	14
381308	1651	26
15950	3793	26
26388	1796	25
226695	1613	22
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	1
23893	3745	6
24012	2487	9
14194	1632	2207
98256	2498	0
13603	1721	39
12663	6117	634
75820	3817	0
26909	5506	31
319455	3894	2
545389	6930	644
723921	99	0
76816	2619	124
15365	1510	29
23797	4735	584
30928	5106	769
75589	698	0
69428	749	2
11566	2553	2650
631584	2790	1
545391	1663	3
78825	4214	845
791357	1199	26
75164	651	1
666295	875	6246
320110	427	18
66359	448	297
51810	3670	24314
68226	2539	35
269152	7406	87
69726	3769	191
15278	2448	143
226744	4545	1525
109232	1922	474
226747	8831	4216
100503705	1428	0
226751	8656	2918
67426	4076	399
19165	2084	205
277333	3581	45
320404	5101	3966
381310	6557	234
11545	3827	2244
72568	3377	193
27217	2294	0
170760	3471	1691
100504581	591	0
15078	1076	794
208768	3189	3513
100504598	177	4
320202	2462	3
100862334	599	0
69051	1599	242
13590	1604	8
208795	3239	2157
13849	1665	2776
619326	1898	1
67459	3060	474
98417	3268	898
226757	7047	7051
329307	2505	1
72978	2727	96
403180	1819	1
240960	13996	8
98386	3552	1591
433384	1343	0
13800	4288	797
27058	1388	518
625823	921	0
13244	2005	4109
67330	686	0
67948	4913	1428
209456	4370	5107
12334	3185	4507
170725	3705	0
433386	2055	0
96935	2035	26
53791	3199	31
68897	5030	337
71678	3456	665
108909	3293	612
338366	6678	2615
21339	2386	394
78772	2736	197
73363	967	8
63953	2712	369
73590	778	0
74971	1722	0
15284	2149	29
66112	2161	12
67247	1883	1019
100316821	82	0
226777	2853	717
226778	4565	2162
98732	6988	1332
100217449	113	0
381314	3540	1467
387189	67	1
387211	112	0
23827	2182	566
107508	4850	3552
319562	3406	0
100039138	2761	1
226781	5836	0
114668	709	0
226791	1577	101
21808	4725	1264
67223	1213	877
110957	3212	112
74717	1645	2
69308	823	1
67769	4565	418
100862400	1119	44
26381	5580	60
320272	2212	0
22283	15891	0
226823	3703	1734
16526	3959	324
100042424	516	621
100039307	642	1
108000	11130	191
19250	10746	7957
226830	1605	1766
19130	4139	21
100504619	832	0
320119	3995	401
52477	3349	702
226841	4190	489
226844	4087	2796
100125339	1649	6
75558	428	1
68972	1258	139
381318	2973	45
381319	712	36
619288	2234	47
11910	1977	15151
100504360	568	27
100861628	406	0
66208	658	356
66950	4204	213
226849	3082	729
100504379	2421	0
76843	4202	466
77065	3252	864
226856	7246	6487
18005	3197	173
98736	4362	39
22782	5230	716
74023	3720	3
22033	2102	478
100628582	81	2
100042625	720	827
214742	1597	363
100038712	2612	26
16510	7143	3354
226861	2835	192
320952	2041	3
73455	404	0
214791	3401	1423
100503471	624	452
329324	1731	0
215193	5548	510
54139	4125	2705
319266	3834	316
215243	2121	5
15483	1446	26
14373	843	0
100503531	873	0
16780	4055	12692
215303	2453	41
387201	68	1
74942	578	0
18845	11036	941
100628615	64	0
12490	2621	488
320400	2491	2
320977	5195	9
723963	81	0
387224	88	0
17221	1213	11
12946	1662	769
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	1
76142	2524	2
70337	1540	0
213783	7415	474
270685	4332	196
83397	6247	2615
381990	3227	1439
66084	1849	139
73419	2290	38
100504234	2151	4
13982	4319	79
64009	18115	1029
68632	2777	22
22353	1527	0
67141	1807	47
108853	2621	97
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	5
215748	3448	2786
77777	1819	52
237253	3403	22
18537	1917	1210
320642	1253	6
69912	1290	108
407824	2188	51
16798	7215	3796
23924	1775	1384
215751	1557	1526
100503695	916	8
67418	2896	1746
237256	4093	26
100628581	94	0
68652	4278	4327
338362	4284	467
70097	7183	2465
791352	3151	0
320825	2495	165
620417	2980	0
78808	9074	909
215772	5218	1
67844	2054	112
382450	3785	1
14816	6990	0
78056	444	0
268281	9293	247
71865	5114	3805
13853	1079	25
22288	12382	6510
320273	1182	19
74732	2396	1027
66125	734	535
22634	5260	819
100862331	414	0
75122	1053	0
353258	1769	1220
215789	8913	909
66848	3954	670
56535	2405	321
66757	1453	100
66253	1054	388
15273	9768	4058
100504211	3928	14
215798	6505	1319
100039571	514	179
66201	1325	399
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1665
378431	4457	15
380629	3667	1714
73112	810	711
19707	2618	1226
100045792	2900	1
215814	1166	36
215819	7638	5107
56016	1910	261
215821	8216	5
237300	2355	0
73968	2928	0
64058	1901	18264
21929	4595	3757
100504265	6220	0
94222	2066	0
15979	2099	704
237310	2468	0
237313	2088	70
76157	2629	21
18634	1894	267
26408	5393	574
17761	3895	1572
73811	629	2
621697	592	1842
72567	5454	3731
71804	2307	444
29863	4127	125
52906	5094	240
100038717	3304	0
100504283	1667	0
17863	3777	36
56422	4893	2000
73990	1016	2
237320	2243	4
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	43838
114671	1771	0
319887	2292	0
379043	1274	1
667281	952	1
606736	4515	0
56554	1271	0
100038752	4548	0
353169	3762	112
237336	2875	393
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	1
20042	518	330
100529074	105	24
100529075	68	73
76306	2837	298
26464	1811	0
22361	2416	49
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	2074
100862153	747	0
59012	3083	5151
14219	2403	81859
18605	3224	2143
209558	2815	61
70208	4946	479
11846	1477	14
432442	3123	450
13822	4464	3142
100504474	674	0
73803	865	0
215866	1543	0
77220	4115	808
100040851	1193	1
268288	3554	0
237339	3411	458
667572	1206	1
73910	3616	310
16773	9713	173
100040961	485	59
19272	6177	2356
210757	3981	0
100504516	4347	0
114676	1545	117
67719	1319	0
67412	3948	2
212448	5644	2
52665	3180	86
68031	4404	613
72780	2397	0
100504540	2648	0
66311	1512	35
73681	2359	205
100504586	3440	120
66847	696	95
211329	5338	572
15214	2532	20
69692	718	185
21987	1267	147
100041294	710	129
268291	2860	580
432450	3745	22
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	6
72580	2364	131
414093	7840	16
66521	1082	219
692132	1185	0
270711	3714	0
103511	1786	83
215900	1082	6
212898	4225	1246
22110	2696	1456
72480	3900	287
319638	2716	315
12813	3130	3
14302	4805	238
100041585	3201	5124
319415	3098	1
15182	2004	2107
17118	4186	3101
215919	1054	0
16775	6046	1506
66337	730	57
71924	2929	28
327743	1418	7
14360	3692	1028
100504626	1313	9
103213	2867	644
327744	1664	85
19714	10666	1741
100504659	947	0
213332	781	43
75299	2400	7
72045	2285	6
100041085	1782	7
215928	5981	2
215929	2679	3
72472	6556	239
67239	1890	353
67371	1020	361
19850	104	0
11702	3206	1471
78334	5807	577
70840	2243	0
70503	3000	124
327747	1529	24
71713	3366	761
83767	2550	84
100504721	508	15
140741	1092	0
103199	3263	363
633979	5640	2
268294	2831	141
171580	3563	480
20598	1602	647
73075	1070	13
53599	2830	8974
75973	2749	13
70538	617	0
629461	2137	3
100628609	55	0
103268	2392	87
140742	3339	467
213402	4865	10
624784	2896	587
56484	2889	1535
