EntrezID	Length	MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1
98404	3457	149
14200	1563	14
666642	647	345
17974	2775	365
100861934	1421	1
78896	888	0
67883	1263	180
100503192	585	465
22019	4649	1482
433294	1086	3
75623	1265	477
72050	2324	214
246229	3571	97
22592	4010	155
100861960	766	0
403183	3181	0
70676	2976	524
75066	906	1
12825	5564	696
12832	6615	48
73674	2612	257
433297	641	635
53945	3380	114
100042453	717	2
212225	3483	0
227058	12318	3
100101919	12384	1
227059	4961	438
442837	542	0
56363	3339	0
442821	2552	0
20324	3055	72
109019	2838	1410
100045066	3051	29
17912	5042	155
20849	2981	2
100042634	432	0
20846	5356	783
14660	7488	677
17936	5088	1275
227094	3394	23
98682	5591	1963
16329	1776	113
227095	1704	458
67080	834	81
17700	2682	0
69397	627	0
227099	3032	59
227102	1846	246
72085	2283	60
70396	2362	403
627872	12272	0
98267	3278	348
329152	11336	50
78016	3807	0
98488	3005	135
241062	10579	69
329154	6140	13
81898	6192	6437
67876	1733	2122
15510	2332	2874
15528	768	470
19070	2826	491
74013	3677	109
212679	2882	158
75388	1258	1
227120	6555	878
626009	1369	61
329159	1906	0
71066	1408	0
212712	5286	14
329160	3728	2
407809	3304	2
75323	2052	6
73467	3008	63
68736	1442	47
68115	1325	177
67198	4045	12
51960	2733	16
68549	5416	111
11761	4382	19
71724	4360	118
71872	4973	1
213043	4776	12
66882	2833	2089
12747	3088	1941
70225	1630	96
65102	2105	132
18393	3371	320
100504455	2126	1
213056	8695	332
66495	532	489
100504501	936	32
108812	1579	0
12633	7814	644
12370	2777	398
70827	6240	939
227154	2318	98
73463	2131	0
381259	1972	28
227157	3087	0
74018	7038	393
271697	1477	0
14369	4809	115
381260	3595	0
22218	1215	1012
55989	1976	2774
100217459	53	2
100217421	63	3
12168	3507	172
100504533	314	14
72750	5532	590
70375	3650	7
57750	3376	95
241066	2604	27
100504573	431	382
269198	12108	317
77951	1501	333
329165	5974	42
77300	9117	817
100043027	207	790
100042533	791	6
12487	4317	9
100504618	845	0
12477	1931	0
54167	3254	0
77341	892	0
72823	8392	93
18187	8122	46
74992	895	0
227195	13529	611
100380944	1802	3
100504668	1301	7
227197	2927	1540
55949	1933	6171
100217464	113	8
241070	1606	1
73884	12621	2
23792	6879	1
241073	2427	3
76668	1711	0
75619	3205	278
74426	1756	0
433315	1432	0
93691	1344	65
12912	8421	332
67099	2666	56
69941	713	67
227210	2927	97
14367	6914	638
241075	8562	87
70861	1353	0
667276	1020	13
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	0
15926	2438	192
18711	11255	576
213527	2414	3
12969	622	0
17756	5520	174
100038569	1663	0
329178	13533	7
66646	2630	809
68691	4760	136
11363	1892	390
100862127	515	2
17901	1111	0
14768	4461	256
227231	4704	1
13869	4257	94
100502712	2069	0
22779	9424	404
66722	2270	0
320460	4655	0
12021	5448	82
74591	8323	0
108147	2611	459
14268	8312	58
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	0
381269	2493	14
111175	1186	225
271711	2815	0
22596	2556	416
381270	4187	0
54380	6715	204
319695	4573	0
19981	588	87
16008	1330	23
16011	5854	8875
21958	427	0
69449	571	0
723792	1560	221
78718	551	16
109198	1801	0
21961	9966	812
435626	2336	13
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	1652
227289	990	0
227290	1820	2252
56695	3501	178
69660	2309	2685
241112	2101	1
18173	2304	1
227292	2776	536
387219	85	1
22349	3117	2
319651	7196	370
58184	3266	395
18802	3121	10
77264	7472	185
66821	1829	164
57751	1475	252
269209	5235	17
67534	4253	366
104086	1890	0
241113	2832	0
22420	2068	2
22409	1962	9
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	1
16147	2444	0
75570	860	26
22626	2059	13
69171	2738	632
227298	2557	861
68818	1299	292
74104	2934	463
245860	3764	1279
52231	2764	175
74577	3451	40
20872	2885	402
22145	2053	3699
381272	767	3
56812	3203	708
19275	3535	5
19711	710	0
13437	1946	738
13346	2150	10
100503248	676	0
11790	11933	39
69080	1528	820
100862164	449	0
241118	2650	0
74241	3235	747
319998	2185	71
98733	5770	18
16322	1463	17
71728	4458	267
20536	4441	88
100862333	771	0
620079	2188	0
13838	6328	27
18505	3868	1
100039210	1208	0
433323	3998	2
23874	2132	792
68393	1206	3
74205	3950	684
195434	3981	141
57814	2463	2
20254	2485	0
100862182	832	1
252903	2876	127
69368	4714	409
100038695	1791	1
69163	1424	229
100862198	480	0
20720	2055	30
241128	2862	0
26554	2764	1596
72208	394	0
210293	7303	5
241134	4919	0
16367	9163	760
100503073	3039	10
76867	3757	394
100503095	2833	0
12829	7808	1
12828	8609	0
75734	1866	535
66261	1503	0
100044526	654	27
15463	3137	1240
80721	2974	0
71386	992	0
20297	802	161
71227	1670	1
77629	6512	0
98496	2667	0
227325	3632	0
100628595	77	0
14897	9632	2389
66153	900	53
71781	2349	0
100503433	891	0
381287	1760	0
621875	1334	0
100040135	1348	1
665378	1621	3
620078	1971	1
100040213	891	0
100039794	1073	6
665338	891	0
109032	1971	25
434484	2417	38
100503502	852	0
100503045	659	0
20684	2158	10
319997	1936	5
12283	3800	1777
64294	2024	1396
71141	1148	0
227326	2550	2
70060	1602	0
72792	3331	92
70247	3256	1814
15559	2072	0
78795	5258	42
100861644	653	0
227327	2595	4
383538	483	0
17975	8257	5762
100303740	116	7
80828	68	0
319336	1266	8
14767	1218	0
71863	1721	0
19231	1192	7171
18582	1092	48
26895	2231	169
18159	1042	10
208718	3171	178
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	0
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	896
98363	1805	154
227331	5743	1148
100040591	1349	11
73234	462	0
53972	3384	139
319977	1676	0
620454	1602	116
23956	2018	51
16331	4938	6
77040	3180	312
100217415	248	0
20215	1718	1
100503175	947	2
227333	5694	869
227334	5316	237
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	2
94284	3302	2
394433	3208	0
22236	3206	0
15504	1017	2
394436	3229	0
100040766	7526	0
381280	8439	56
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	0
100503197	2622	0
320982	3967	95
78650	476	0
73475	603	3
98402	3673	3023
77331	591	0
347722	9581	1515
74403	3611	2
14472	2126	0
208372	1404	0
74918	3210	0
12778	2579	896
108679	1843	499
433332	1207	0
12835	10841	655
171531	4484	931
623503	261	1
19329	1950	212
16978	5743	854
329207	3851	0
51801	3022	263
67921	1363	669
665783	892	215
50880	2207	794
227357	5442	13
100503326	684	0
70788	3020	2
227358	2815	47
67444	1368	371
67086	547	2
55927	1335	202
18627	5837	913
74019	3500	67
65247	6072	27
13345	1312	0
208727	3960	137
67273	1220	1352
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	580
260301	704	0
14733	3552	278
100504295	543	0
387167	66	0
241158	3243	5
67446	1491	92
108657	3039	1186
100037260	1689	0
23830	2877	101
64095	4396	13
208760	1088	0
16560	8257	22
11611	1517	1
71874	2362	1
381284	7348	2
208777	4474	70
69821	3315	141
269224	5119	156
66385	3653	423
404545	3217	0
110611	6238	18743
18000	3335	1686
227377	3912	242
59041	3254	2238
51800	1432	14
67026	2160	189
66615	2964	419
21915	1310	420
66262	4539	239
98314	3058	97
381334	2846	1
100041596	1185	1
666009	570	2
619597	4059	0
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	224
20452	5677	10
75381	761	0
100504401	921	193
73454	356	0
75159	583	0
227394	2394	64
329217	3849	236
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	317
227399	5565	418
252876	2041	63
18484	4103	366
78603	1178	1
69030	1687	1
70866	2328	0
100504494	800	61
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	5
100504568	1284	0
27392	6777	402
227446	5406	928
100042023	231	342
21934	5022	795
635504	465	1
227449	6661	403
626049	545	0
98432	6104	601
12043	7749	17
320761	1243	0
70750	5582	323
20479	3272	1169
20724	2565	732
71869	1735	0
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	2
66957	1699	13
116872	1887	0
18788	2047	0
241197	3490	0
20725	3289	12
241201	3353	0
227485	3054	35
319901	5763	148
636808	3915	0
634762	729	0
22099	3040	868
67949	1894	475
76707	7899	484
68204	597	4
81879	9270	876
14633	6708	0
16324	4255	267
100502628	748	0
64143	2277	460
226351	2830	164
226352	7746	300
19258	4707	177
66343	3301	27
226356	2511	0
319229	1924	0
170706	1017	26
13167	745	5542
73103	1089	10
68428	3177	1317
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	305
70829	7256	283
15564	2019	0
66942	2249	185
100502702	453	0
269109	4630	3
74117	2746	1762
74150	2597	1158
71111	2690	4
72585	2047	0
210356	7593	38
107895	3104	133
667090	484	483
72160	2517	0
266645	2303	0
100502745	464	1
72949	3514	650
22625	3936	0
226407	4251	1341
226409	4154	175
226412	4812	750
387147	70	0
67812	4093	1754
226413	6166	0
17219	2901	1294
226414	2509	872
12767	1814	17
210417	6253	0
100042740	613	70
13137	1324	219
13136	2527	882
22789	2034	0
12269	1883	0
12270	754	4
18640	9621	1821
226418	3843	543
212439	2909	325
64435	1911	136
100502856	1065	91
18703	3849	28548
69169	1491	0
93672	1116	15
58181	824	0
329244	1023	0
16153	1306	2
17164	2567	1174
226419	2072	329
16865	2290	652
54354	3405	39
56489	3203	235
14270	8040	229
108900	2105	13
26361	4148	0
13034	2120	255
226421	2523	1040
320718	3640	207
212933	3540	145
98396	4660	4135
226422	1189	45
98415	6096	986
212980	3426	600
13714	3671	264
213006	4853	882
18557	3046	829
723818	97	0
213409	958	0
213417	4269	6
74137	3132	163
68875	3410	42
213452	6385	313
213464	3632	353
74626	1742	15
21367	9535	1
269116	10379	62
100038653	1879	0
16980	3346	1
17248	3490	430
240752	7929	587
108954	5588	2329
240753	7457	1108
100502933	3112	8
68338	1842	0
280287	496	0
19701	1423	0
214253	2279	5
20668	3531	162
20643	492	176
70579	4395	2240
667118	5007	1053
240754	2371	0
381290	8292	20
269120	2074	3
116847	3602	31
100502984	884	0
14264	2859	8
100502999	532	3
12227	3083	7395
667414	432	1
71884	1711	7
12654	1689	94
53311	1829	3
11539	5786	19
17928	1480	0
68507	6067	26
57439	3169	1500
240755	1770	0
72017	1626	698
72674	2024	1466
100861791	590	0
240756	3196	247
98710	1960	177
100503055	641	1
71001	1457	0
75605	6300	668
20980	3386	2
329251	6185	79
67196	1079	38
329252	3623	26
13924	6089	103
100038590	915	4
320139	3264	4
68724	1702	447
171469	2253	2
13710	2000	1739
215615	2301	544
21854	917	410
93689	3942	27
77552	1190	110
226432	6236	1033
215690	12767	30
13007	1770	1076
27280	1467	20
21952	1114	0
16763	2992	235
21956	1194	4
18772	4486	26
226438	8996	0
66241	1750	369
12292	6260	0
329253	508	0
16565	9119	202
76422	2922	12
67313	3013	129
100042513	584	0
383563	1960	0
67886	7823	516
320054	2097	1
67997	2228	59
381293	8770	149
71084	1846	0
226442	5275	213
100503460	489	3
100503474	1199	0
667686	385	13
26424	3857	0
320138	3023	0
735252	87	0
723890	80	0
19264	5664	9
338375	1887	0
59125	3366	2379
545363	1930	0
16876	5750	0
69549	571	34
75546	410	0
329260	8314	723
170788	4702	0
71209	1111	2
226470	8362	736
12316	9866	193
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	0
12628	4365	1
240776	3957	0
75910	551	0
226472	591	0
214498	2678	653
26878	4578	13
69367	3730	183
20822	8721	161
56207	1851	854
19735	3009	225
100861894	494	0
246709	1497	0
50778	1330	16
624910	459	0
64214	1859	0
215378	3172	0
100043240	3910	15
791353	1179	0
100503781	490	0
18783	2846	222
320019	1098	0
19225	4150	112
100043257	532	1362
100043261	345	1
20028	1247	0
75584	610	0
226499	3242	1178
108989	7550	1786
96875	4278	2
545370	18316	9
402734	2640	0
73176	1674	0
117198	5037	4491
66875	3668	199
98685	2665	136
19821	3028	333
100503012	373	484
63913	3939	112
66967	6604	2514
69399	9754	1366
66637	1133	81
269132	4056	10
19731	3887	27
100861876	505	0
71281	1566	0
67771	1897	1478
100503084	519	0
17970	2596	10
226517	6069	984
226518	4523	2
16782	5164	979
226519	7622	949
626058	2827	0
71836	2045	1
13211	4613	2687
74091	1403	4
67792	5804	58
329271	3337	3
19734	2335	2085
24014	4758	550
240816	3640	0
240817	1654	0
433365	2527	0
240819	1415	0
14645	2782	3509
100861882	573	0
207678	1877	9
78112	613	0
12290	12697	0
15939	3270	5041
15064	2509	61
58244	2459	512
207792	4611	7
100503411	2791	0
19775	7651	815
433367	1751	3
72482	1942	343
16872	1853	0
100861926	688	0
104009	3361	14940
74081	13307	761
208263	4439	775
240832	8112	2589
329274	3687	0
214575	3443	5
170484	3108	1
77352	3297	2
20652	4785	60
11352	10714	761
30935	3268	1579
100503836	636	0
215015	4238	782
78255	7133	21
72713	2190	0
73435	898	0
226525	10046	207
69953	1194	76
226527	1289	83
89867	4651	1836
100504090	420	17
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	1
72025	2475	0
26374	5056	184
100217414	118	1
21960	5395	102
67647	5391	235
75255	887	2
329278	5812	0
64659	1970	493
12301	2115	462
29809	9489	565
100316784	109	0
620246	1086	0
620750	465	1
381305	11011	1000
11905	2162	1
240869	3883	28
14455	2554	864
100628588	91	0
100217446	65	6
226539	3581	249
70454	4327	55
226541	4037	102
73844	3723	0
100502590	954	0
11758	2334	2111
22164	1609	0
240873	2064	3
14103	1935	1
226551	6308	875
75368	1164	0
67292	3301	236
103967	7523	65
72753	919	0
474332	7928	2
723821	110	0
387210	110	0
71449	2791	133
53330	2532	287
17926	2080	4
100038657	741	0
226562	10444	2959
226564	1787	1
14261	2326	7
55990	3336	646
226565	1870	3
14262	2010	28
78258	2956	0
18933	7448	8
98376	2509	72
240879	1053	0
16579	3907	93
240880	4069	357
381306	2912	90
69962	1457	17
20339	2912	24
20343	2321	0
20344	3438	103
100503816	1241	9
14067	7406	310
116914	3546	376
74895	1896	50
66352	4035	460
171567	3011	157
11931	2422	1120
56429	1636	23
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1937
226591	4395	347
240888	1943	3
74106	3306	1319
70456	854	2899
271639	5209	22
68481	2356	1014
100503268	612	2
226594	2670	0
100503283	1514	0
433375	2125	848
12503	4604	1
18986	13123	179
240892	4025	0
59290	2293	17
98558	1546	4
100039795	8260	1
100503318	2514	2
27878	2145	165
71592	7372	448
226601	1744	0
226604	3012	18
240894	3065	15
100503962	936	0
226610	4986	0
80914	1338	867
68944	4474	599
100862084	376	0
56752	2833	1714
66447	635	217
240899	1137	0
100503977	287	0
20183	2363	0
110648	3338	0
18514	9027	490
66977	2405	200
19737	1809	13
100862094	1412	4
19736	2941	6
78465	1440	3
15490	4574	934
67303	1135	3
18214	8290	12
107652	2283	2501
16589	2024	167
545378	399	0
622708	1691	2
26904	1433	1
665574	3833	278
76925	713	0
70729	3684	137
320078	3095	12
226641	7463	1738
80915	1374	78
435653	1284	0
98752	1727	0
14130	1547	0
246256	1250	0
14131	1353	1
75472	1034	4
66052	1179	1296
17528	1993	9
66425	1575	2
12355	1414	0
641376	2920	263
11807	521	0
14127	658	5
226646	1606	2408
240913	3673	191
57370	1998	894
19044	1821	294
30941	2185	135
66155	964	876
100862110	308	0
100504072	1662	4
21945	2733	232
27045	1374	184
18637	622	210
68874	1555	14
71740	3504	264
226652	4488	1
22278	1822	198
226654	551	3
16456	2482	2384
56009	1273	20
16429	1140	1
18106	3758	1
17085	2449	1
75345	3977	0
12506	1142	0
100041098	195	352
27218	2688	4
12523	6253	1
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	27
18071	2487	1
59287	2855	1361
12847	4629	4811
100504176	730	0
19298	3131	656
98193	3743	986
18611	2477	331
12372	1874	1
27222	3485	0
98660	6227	5
140559	2234	919
16524	3270	0
16513	5407	0
67556	7569	404
100862199	620	0
98365	1145	0
93842	4249	64
21346	1382	246
71870	1822	11
71319	941	2
240916	1879	1
74748	2040	0
677296	1914	0
68440	1417	19
100040320	811	1
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	26
94332	4159	2
383619	2541	5
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	1
15951	2296	4
100504287	1468	0
666028	634	1
100040462	1908	6
381308	1651	3
15950	3793	7
26388	1796	17
226695	1613	10
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	0
24012	2487	12
14194	1632	1224
98256	2498	0
13603	1721	86
12663	6117	185
75820	3817	0
26909	5506	115
319455	3894	0
545389	6930	73
723921	99	0
76816	2619	57
15365	1510	8
23797	4735	110
30928	5106	532
75589	698	0
69428	749	0
11566	2553	683
631584	2790	43
545391	1663	4
78825	4214	627
791357	1199	6
75164	651	0
666295	875	2861
320110	427	2
66359	448	170
51810	3670	5427
68226	2539	19
269152	7406	31
69726	3769	101
15278	2448	87
226744	4545	364
109232	1922	190
226747	8831	1285
100503705	1428	0
226751	8656	497
67426	4076	1106
19165	2084	155
277333	3581	10
320404	5101	541
381310	6557	1
11545	3827	1184
72568	3377	308
27217	2294	0
170760	3471	897
100504581	591	1
15078	1076	199
208768	3189	1500
100504598	177	3
320202	2462	1
100862334	599	0
69051	1599	799
13590	1604	4
208795	3239	1550
13849	1665	205
619326	1898	0
67459	3060	337
98417	3268	287
226757	7047	2400
329307	2505	0
72978	2727	12
403180	1819	0
240960	13996	1
98386	3552	596
433384	1343	0
13800	4288	304
27058	1388	578
625823	921	0
13244	2005	1302
67330	686	0
67948	4913	615
209456	4370	1163
12334	3185	862
170725	3705	25
433386	2055	0
96935	2035	91
53791	3199	209
68897	5030	31
71678	3456	290
108909	3293	138
338366	6678	3785
21339	2386	263
78772	2736	4623
73363	967	3
63953	2712	66
73590	778	0
74971	1722	0
15284	2149	1
66112	2161	0
67247	1883	1194
100316821	82	0
226777	2853	723
226778	4565	5
98732	6988	1343
100217449	113	0
381314	3540	1050
387189	67	0
387211	112	1
23827	2182	1033
107508	4850	3480
319562	3406	0
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	248
21808	4725	330
67223	1213	330
110957	3212	19
74717	1645	3
69308	823	0
67769	4565	277
100862400	1119	15
26381	5580	221
320272	2212	0
22283	15891	1
226823	3703	648
16526	3959	8
100042424	516	142
100039307	642	0
108000	11130	282
19250	10746	160
226830	1605	636
19130	4139	246
100504619	832	0
320119	3995	207
52477	3349	426
226841	4190	2
226844	4087	1148
100125339	1649	1
75558	428	0
68972	1258	38
381318	2973	83
381319	712	2
619288	2234	17
11910	1977	10454
100504360	568	11
100861628	406	0
66208	658	70
66950	4204	190
226849	3082	264
100504379	2421	0
76843	4202	495
77065	3252	581
226856	7246	4799
18005	3197	886
98736	4362	2
22782	5230	492
74023	3720	2
22033	2102	11
100628582	81	0
100042625	720	423
214742	1597	71
100038712	2612	7
16510	7143	425
226861	2835	40
320952	2041	0
73455	404	0
214791	3401	146
100503471	624	8
329324	1731	5
215193	5548	154
54139	4125	638
319266	3834	80
215243	2121	3
15483	1446	23
14373	843	0
100503531	873	0
16780	4055	1919
215303	2453	5
387201	68	0
74942	578	0
18845	11036	55
100628615	64	0
12490	2621	29
320400	2491	1
320977	5195	19
723963	81	0
387224	88	0
17221	1213	5
12946	1662	665
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	2
70337	1540	0
213783	7415	23
270685	4332	21
83397	6247	661
381990	3227	248
66084	1849	66
73419	2290	144
100504234	2151	1
13982	4319	433
64009	18115	66
68632	2777	1
22353	1527	0
67141	1807	47
108853	2621	47
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	51
215748	3448	353
77777	1819	297
237253	3403	44
18537	1917	565
320642	1253	5
69912	1290	98
407824	2188	25
16798	7215	1443
23924	1775	287
215751	1557	307
100503695	916	4
67418	2896	496
237256	4093	69
100628581	94	0
68652	4278	2420
338362	4284	9
70097	7183	843
791352	3151	0
320825	2495	229
620417	2980	0
78808	9074	351
215772	5218	0
67844	2054	23
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	180
71865	5114	716
13853	1079	4
22288	12382	1078
320273	1182	4
74732	2396	24
66125	734	339
22634	5260	126
100862331	414	0
75122	1053	0
353258	1769	573
215789	8913	59
66848	3954	1202
56535	2405	242
66757	1453	35
66253	1054	343
15273	9768	327
100504211	3928	1
215798	6505	30
100039571	514	77
66201	1325	325
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1141
378431	4457	0
380629	3667	402
73112	810	444
19707	2618	423
100045792	2900	0
215814	1166	40
215819	7638	496
56016	1910	31
215821	8216	242
237300	2355	1
73968	2928	0
64058	1901	533
21929	4595	5236
100504265	6220	0
94222	2066	0
15979	2099	1017
237310	2468	0
237313	2088	2
76157	2629	6
18634	1894	231
26408	5393	284
17761	3895	1694
73811	629	2
621697	592	1081
72567	5454	1818
71804	2307	114
29863	4127	13
52906	5094	36
100038717	3304	0
100504283	1667	0
17863	3777	29
56422	4893	1180
73990	1016	8
237320	2243	2
76924	485	0
67692	1061	0
432436	2206	8
20393	4158	7739
114671	1771	0
319887	2292	1
379043	1274	0
667281	952	2
606736	4515	0
56554	1271	0
100038752	4548	0
353169	3762	23
237336	2875	134
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	0
20042	518	73
100529074	105	3
100529075	68	7
76306	2837	128
26464	1811	0
22361	2416	0
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	507
100862153	747	0
59012	3083	19
14219	2403	42
18605	3224	73
209558	2815	802
70208	4946	280
11846	1477	212
432442	3123	42
13822	4464	329
100504474	674	0
73803	865	0
215866	1543	7
77220	4115	1
100040851	1193	0
268288	3554	0
237339	3411	103
667572	1206	0
73910	3616	274
16773	9713	32
100040961	485	22
19272	6177	1570
210757	3981	1
100504516	4347	0
114676	1545	130
67719	1319	62
67412	3948	1
212448	5644	1
52665	3180	480
68031	4404	243
72780	2397	0
100504540	2648	0
66311	1512	80
73681	2359	90
100504586	3440	109
66847	696	237
211329	5338	100
15214	2532	1
69692	718	485
21987	1267	211
100041294	710	154
268291	2860	51
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	3
72580	2364	95
414093	7840	0
66521	1082	171
692132	1185	5
270711	3714	11
103511	1786	13
215900	1082	1
212898	4225	145
22110	2696	797
72480	3900	74
319638	2716	258
12813	3130	0
14302	4805	376
100041585	3201	962
319415	3098	0
15182	2004	815
17118	4186	832
215919	1054	0
16775	6046	96
66337	730	3
71924	2929	50
327743	1418	1
14360	3692	31
100504626	1313	0
103213	2867	257
327744	1664	8
19714	10666	801
100504659	947	1
213332	781	27
75299	2400	5
72045	2285	3
100041085	1782	93
215928	5981	11
215929	2679	1
72472	6556	42
67239	1890	70
67371	1020	221
19850	104	0
11702	3206	284
78334	5807	130
70840	2243	0
70503	3000	241
327747	1529	14
71713	3366	359
83767	2550	53
100504721	508	23
140741	1092	0
103199	3263	832
633979	5640	25
268294	2831	102
171580	3563	5
20598	1602	414
73075	1070	13
53599	2830	7176
75973	2749	12
70538	617	0
629461	2137	7
100628609	55	0
103268	2392	59
140742	3339	99
213402	4865	1
624784	2896	301
56484	2889	1253
215951	2513	226
666540	1120	0
54198	1377	4268
21907	3233	0
14628	3009	488
140740	6032	3627
268297	4745	114
109205	4980	1
74530	1859	0
71365	2031	90
331623	6049	127
67851	898	98
100862325	514	0
12484	1816	11537
414125	1833	0
69443	1060	6
76563	1970	157
170728	2981	314
11630	7416	1185
70365	1522	0
11793	2352	478
