EntrezID	Length	MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1
93690	3860	0
73122	5538	760
98404	3457	206
14200	1563	174
666642	647	836
17974	2775	558
100861934	1421	12
78896	888	23
67883	1263	127
100503192	585	760
22019	4649	3076
433294	1086	1
75623	1265	450
72050	2324	354
246229	3571	109
22592	4010	276
100861960	766	0
403183	3181	0
70676	2976	185
75066	906	3
12825	5564	723
12832	6615	79
73674	2612	585
433297	641	1363
53945	3380	48
100042453	717	7
212225	3483	0
227058	12318	3
100101919	12384	0
227059	4961	495
442837	542	0
56363	3339	1
442821	2552	0
20324	3055	276
109019	2838	2145
100045066	3051	15
17912	5042	635
20849	2981	1
100042634	432	3
20846	5356	1049
14660	7488	1947
17936	5088	3715
227094	3394	42
98682	5591	3865
16329	1776	213
227095	1704	483
67080	834	5
17700	2682	0
69397	627	0
227099	3032	64
227102	1846	266
72085	2283	89
70396	2362	735
627872	12272	2
98267	3278	292
329152	11336	5
78016	3807	2
98488	3005	138
241062	10579	90
329154	6140	29
81898	6192	12618
67876	1733	4556
15510	2332	5409
15528	768	1018
19070	2826	898
74013	3677	22
212679	2882	251
75388	1258	0
227120	6555	96
626009	1369	76
329159	1906	0
71066	1408	0
212712	5286	15
329160	3728	4
407809	3304	0
75323	2052	5
73467	3008	90
68736	1442	106
68115	1325	411
67198	4045	19
51960	2733	58
68549	5416	70
11761	4382	7
71724	4360	19
71872	4973	15
213043	4776	20
66882	2833	5580
12747	3088	3033
70225	1630	241
65102	2105	260
18393	3371	447
100504455	2126	1
213056	8695	318
66495	532	579
100504501	936	51
108812	1579	1
12633	7814	1444
12370	2777	553
70827	6240	2198
227154	2318	162
73463	2131	0
381259	1972	100
227157	3087	5
74018	7038	588
271697	1477	0
14369	4809	345
381260	3595	12
22218	1215	2046
55989	1976	3822
100217459	53	0
100217421	63	0
12168	3507	458
100504533	314	26
72750	5532	1039
70375	3650	1
57750	3376	274
241066	2604	33
100504573	431	849
269198	12108	418
77951	1501	414
329165	5974	223
77300	9117	1089
100043027	207	606
100042533	791	14
12487	4317	0
100504618	845	0
12477	1931	0
54167	3254	1
77341	892	0
72823	8392	644
18187	8122	399
74992	895	1
227195	13529	1360
100380944	1802	21
100504668	1301	4
227197	2927	1386
55949	1933	20303
100217464	113	19
241070	1606	0
73884	12621	15
23792	6879	0
241073	2427	1
76668	1711	2
75619	3205	457
74426	1756	0
433315	1432	0
93691	1344	385
12912	8421	783
67099	2666	63
69941	713	56
227210	2927	223
14367	6914	2365
241075	8562	107
70861	1353	0
667276	1020	15
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	0
15926	2438	336
18711	11255	362
213527	2414	1
12969	622	0
17756	5520	787
100038569	1663	0
329178	13533	12
66646	2630	893
68691	4760	231
11363	1892	2506
100862127	515	6
17901	1111	0
14768	4461	449
227231	4704	1
13869	4257	207
100502712	2069	0
22779	9424	177
66722	2270	0
320460	4655	0
12021	5448	62
74591	8323	0
108147	2611	906
14268	8312	112
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	2
381269	2493	50
111175	1186	237
271711	2815	0
22596	2556	418
381270	4187	1
54380	6715	268
319695	4573	0
19981	588	203
16008	1330	51
16011	5854	21269
21958	427	0
69449	571	0
723792	1560	114
78718	551	8
109198	1801	1
21961	9966	237
435626	2336	13
100862357	817	0
12765	3043	1
227288	1125	0
100316687	67	0
76709	1597	3942
227289	990	0
227290	1820	4336
56695	3501	372
69660	2309	5080
241112	2101	0
18173	2304	4
227292	2776	902
387219	85	1
22349	3117	3
319651	7196	857
58184	3266	659
18802	3121	6
77264	7472	575
66821	1829	338
57751	1475	417
269209	5235	47
67534	4253	878
104086	1890	8
241113	2832	0
22420	2068	3
22409	1962	4
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	1
75570	860	72
22626	2059	20
69171	2738	1364
227298	2557	1298
68818	1299	437
74104	2934	515
245860	3764	1278
52231	2764	302
74577	3451	85
20872	2885	610
22145	2053	3203
381272	767	0
56812	3203	1309
19275	3535	14
19711	710	1
13437	1946	1179
13346	2150	7
100503248	676	0
11790	11933	34
69080	1528	982
100862164	449	0
241118	2650	1
74241	3235	1438
319998	2185	57
98733	5770	107
16322	1463	27
71728	4458	490
20536	4441	150
100862333	771	0
620079	2188	0
13838	6328	188
18505	3868	0
100039210	1208	0
433323	3998	3
23874	2132	837
68393	1206	0
74205	3950	2762
195434	3981	481
57814	2463	12
20254	2485	0
100862182	832	1
252903	2876	150
69368	4714	527
100038695	1791	0
69163	1424	259
100862198	480	0
20720	2055	46
241128	2862	0
26554	2764	3619
72208	394	0
210293	7303	94
241134	4919	0
16367	9163	182
100503073	3039	1
76867	3757	531
100503095	2833	2
12829	7808	1
12828	8609	1
75734	1866	816
66261	1503	0
100044526	654	37
15463	3137	4191
80721	2974	0
71386	992	0
20297	802	310
71227	1670	3
77629	6512	0
98496	2667	0
227325	3632	0
100628595	77	0
14897	9632	4114
66153	900	75
71781	2349	0
100503433	891	1
381287	1760	3
621875	1334	4
100040135	1348	2
665378	1621	3
620078	1971	3
100040213	891	7
100039794	1073	27
665338	891	2
109032	1971	66
434484	2417	155
100503502	852	0
100503045	659	0
20684	2158	21
319997	1936	26
12283	3800	4059
64294	2024	2704
71141	1148	2
227326	2550	85
70060	1602	0
72792	3331	215
70247	3256	4142
15559	2072	2
78795	5258	102
100861644	653	0
227327	2595	26
383538	483	0
17975	8257	21395
100303740	116	21
80828	68	0
319336	1266	17
14767	1218	1
71863	1721	0
19231	1192	20028
18582	1092	62
26895	2231	209
18159	1042	6
208718	3171	555
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	2
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	1942
98363	1805	37
227331	5743	1010
100040591	1349	11
73234	462	1
53972	3384	105
319977	1676	1
620454	1602	277
23956	2018	31
16331	4938	12
77040	3180	659
100217415	248	2
20215	1718	6
100503175	947	1
227333	5694	1794
227334	5316	215
394430	3242	0
394434	3216	0
394432	3294	1
394435	2293	3
94284	3302	4
394433	3208	0
22236	3206	0
15504	1017	4
394436	3229	0
100040766	7526	2
381280	8439	113
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	0
100503197	2622	0
320982	3967	318
78650	476	0
73475	603	0
98402	3673	3445
77331	591	0
347722	9581	1834
74403	3611	2
14472	2126	1
208372	1404	0
74918	3210	0
12778	2579	229
108679	1843	1201
433332	1207	0
12835	10841	528
171531	4484	685
623503	261	3
19329	1950	633
16978	5743	4137
329207	3851	0
51801	3022	255
67921	1363	992
665783	892	337
50880	2207	872
227357	5442	22
100503326	684	0
70788	3020	1
227358	2815	84
67444	1368	644
67086	547	0
55927	1335	375
18627	5837	3180
74019	3500	111
65247	6072	51
13345	1312	0
208727	3960	221
67273	1220	2111
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	673
260301	704	0
14733	3552	662
100504295	543	0
387167	66	0
241158	3243	4
67446	1491	161
108657	3039	1651
100037260	1689	1
23830	2877	112
64095	4396	217
208760	1088	1
16560	8257	15
11611	1517	4
71874	2362	225
381284	7348	0
208777	4474	73
69821	3315	207
269224	5119	275
66385	3653	640
404545	3217	1
110611	6238	27296
18000	3335	3429
227377	3912	344
59041	3254	2955
51800	1432	17
67026	2160	509
66615	2964	833
21915	1310	672
66262	4539	563
98314	3058	140
381334	2846	7
100041596	1185	1
666009	570	6
619597	4059	0
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	193
20452	5677	5
75381	761	0
100504401	921	305
73454	356	0
75159	583	0
227394	2394	19
329217	3849	48
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	708
227399	5565	968
252876	2041	96
18484	4103	1060
78603	1178	6
69030	1687	0
70866	2328	0
100504494	800	133
241175	5120	1
100504525	886	0
23836	3722	0
320311	8529	3
100504568	1284	0
27392	6777	546
227446	5406	1199
100042023	231	608
21934	5022	422
635504	465	12
227449	6661	951
626049	545	2
98432	6104	1096
12043	7749	91
320761	1243	1
70750	5582	761
20479	3272	2289
20724	2565	670
71869	1735	0
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	2
66957	1699	10
116872	1887	0
18788	2047	0
241197	3490	0
20725	3289	69
241201	3353	0
227485	3054	13
319901	5763	309
636808	3915	0
634762	729	0
22099	3040	1191
67949	1894	1190
76707	7899	891
68204	597	6
81879	9270	663
14633	6708	2
16324	4255	884
100502628	748	0
64143	2277	1564
226351	2830	342
226352	7746	522
19258	4707	348
66343	3301	10
226356	2511	0
319229	1924	1
170706	1017	113
13167	745	11050
73103	1089	23
68428	3177	815
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	219
70829	7256	369
15564	2019	0
66942	2249	306
100502702	453	0
269109	4630	0
74117	2746	4543
74150	2597	1513
71111	2690	13
72585	2047	0
210356	7593	18
107895	3104	82
667090	484	1223
72160	2517	0
266645	2303	1
100502745	464	1
72949	3514	1193
22625	3936	2
226407	4251	1514
226409	4154	172
226412	4812	1582
387147	70	0
67812	4093	3644
226413	6166	1
17219	2901	2023
226414	2509	1599
12767	1814	117
210417	6253	0
100042740	613	210
13137	1324	302
13136	2527	1480
22789	2034	0
12269	1883	0
12270	754	8
18640	9621	3457
226418	3843	835
212439	2909	746
64435	1911	32
100502856	1065	32
18703	3849	17003
69169	1491	1
93672	1116	478
58181	824	0
329244	1023	3
16153	1306	4
17164	2567	3985
226419	2072	1150
16865	2290	937
54354	3405	338
56489	3203	185
14270	8040	454
108900	2105	18
26361	4148	1
13034	2120	295
226421	2523	1958
320718	3640	645
212933	3540	106
98396	4660	3403
226422	1189	124
98415	6096	1482
212980	3426	1483
13714	3671	876
213006	4853	280
18557	3046	1225
723818	97	0
213409	958	0
213417	4269	120
74137	3132	657
68875	3410	34
213452	6385	329
213464	3632	558
74626	1742	26
21367	9535	1
269116	10379	74
100038653	1879	0
16980	3346	1
17248	3490	687
240752	7929	434
108954	5588	2839
240753	7457	1754
100502933	3112	10
68338	1842	10
280287	496	12
19701	1423	3
214253	2279	38
20668	3531	440
20643	492	432
70579	4395	5431
667118	5007	2392
240754	2371	2
381290	8292	32
269120	2074	0
116847	3602	51
100502984	884	0
14264	2859	60
100502999	532	1
12227	3083	5874
667414	432	15
71884	1711	12
12654	1689	140
53311	1829	8
11539	5786	66
17928	1480	0
68507	6067	34
57439	3169	3024
240755	1770	0
72017	1626	1030
72674	2024	2373
100861791	590	0
240756	3196	305
98710	1960	410
100503055	641	2
71001	1457	0
75605	6300	3884
20980	3386	0
329251	6185	158
67196	1079	23
329252	3623	1165
13924	6089	1421
100038590	915	2
320139	3264	13
68724	1702	1403
171469	2253	0
13710	2000	2447
215615	2301	1623
21854	917	542
93689	3942	54
77552	1190	54
226432	6236	1324
215690	12767	76
13007	1770	4140
27280	1467	92
21952	1114	0
16763	2992	643
21956	1194	12
18772	4486	112
226438	8996	0
66241	1750	575
12292	6260	0
329253	508	0
16565	9119	52
76422	2922	3
67313	3013	161
100042513	584	0
383563	1960	0
67886	7823	1715
320054	2097	9
67997	2228	105
381293	8770	100
71084	1846	0
226442	5275	820
100503460	489	9
100503474	1199	0
667686	385	65
26424	3857	1
320138	3023	0
735252	87	0
723890	80	0
19264	5664	9
338375	1887	0
59125	3366	1781
545363	1930	0
16876	5750	0
69549	571	70
75546	410	0
329260	8314	607
170788	4702	0
71209	1111	0
226470	8362	786
12316	9866	150
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	1
545366	1602	0
12628	4365	4
240776	3957	0
75910	551	0
226472	591	0
214498	2678	983
26878	4578	3
69367	3730	222
20822	8721	184
56207	1851	899
19735	3009	211
100861894	494	0
246709	1497	0
50778	1330	14
624910	459	0
64214	1859	0
215378	3172	0
100043240	3910	34
791353	1179	0
100503781	490	0
18783	2846	304
320019	1098	0
19225	4150	129
100043257	532	2717
100043261	345	1
20028	1247	0
75584	610	0
226499	3242	700
108989	7550	3144
96875	4278	12
545370	18316	7
402734	2640	0
73176	1674	0
117198	5037	9114
66875	3668	321
98685	2665	229
19821	3028	939
100503012	373	456
63913	3939	141
66967	6604	3329
69399	9754	2630
66637	1133	72
269132	4056	18
19731	3887	65
100861876	505	2
71281	1566	0
67771	1897	4194
100503084	519	0
17970	2596	99
226517	6069	2819
226518	4523	5
16782	5164	1709
226519	7622	1998
626058	2827	0
71836	2045	5
13211	4613	7052
74091	1403	74
67792	5804	680
329271	3337	8
19734	2335	5196
24014	4758	2409
240816	3640	0
240817	1654	0
433365	2527	0
240819	1415	0
14645	2782	6205
100861882	573	0
207678	1877	1
78112	613	0
12290	12697	2
15939	3270	10830
15064	2509	101
58244	2459	1847
207792	4611	19
100503411	2791	0
19775	7651	1082
433367	1751	3
72482	1942	633
16872	1853	0
100861926	688	1
104009	3361	4970
74081	13307	1076
208263	4439	2201
240832	8112	4332
329274	3687	0
214575	3443	0
170484	3108	1
77352	3297	2
20652	4785	35
11352	10714	1657
30935	3268	189
100503836	636	0
215015	4238	825
78255	7133	27
72713	2190	0
73435	898	0
226525	10046	402
69953	1194	138
226527	1289	138
89867	4651	1278
100504090	420	14
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	0
72025	2475	0
26374	5056	328
100217414	118	0
21960	5395	0
67647	5391	1275
75255	887	20
329278	5812	9
64659	1970	644
12301	2115	981
29809	9489	333
100316784	109	0
620246	1086	3
620750	465	0
381305	11011	2372
11905	2162	4
240869	3883	76
14455	2554	2853
100628588	91	0
100217446	65	29
226539	3581	184
70454	4327	110
226541	4037	115
73844	3723	0
100502590	954	0
11758	2334	3014
22164	1609	0
240873	2064	4
14103	1935	1
226551	6308	2136
75368	1164	0
67292	3301	169
103967	7523	59
72753	919	2
474332	7928	0
723821	110	0
387210	110	0
71449	2791	204
53330	2532	159
17926	2080	3
100038657	741	1
226562	10444	6664
226564	1787	1
14261	2326	11
55990	3336	195
226565	1870	0
14262	2010	8
78258	2956	0
18933	7448	6
98376	2509	118
240879	1053	0
16579	3907	222
240880	4069	320
381306	2912	83
69962	1457	27
20339	2912	70
20343	2321	2
20344	3438	360
100503816	1241	1
14067	7406	86
116914	3546	976
74895	1896	106
66352	4035	641
171567	3011	340
11931	2422	3865
56429	1636	24
433374	1588	0
16963	502	1
69476	357	0
75857	998	0
83993	2662	0
108735	5526	3094
226591	4395	892
240888	1943	1
74106	3306	1294
70456	854	1565
271639	5209	14
68481	2356	2227
100503268	612	0
226594	2670	6
100503283	1514	0
433375	2125	887
12503	4604	2
18986	13123	437
240892	4025	2
59290	2293	11
98558	1546	0
100039795	8260	22
100503318	2514	2
27878	2145	603
71592	7372	900
226601	1744	0
226604	3012	3
240894	3065	1
100503962	936	0
226610	4986	4
80914	1338	1152
68944	4474	871
100862084	376	0
56752	2833	2295
66447	635	226
240899	1137	0
100503977	287	0
20183	2363	0
110648	3338	1
18514	9027	1478
66977	2405	111
19737	1809	18
100862094	1412	22
19736	2941	13
78465	1440	11
15490	4574	875
67303	1135	2
18214	8290	26
107652	2283	3406
16589	2024	224
545378	399	1
622708	1691	1
26904	1433	6
665574	3833	1386
76925	713	8
70729	3684	453
320078	3095	25
226641	7463	2641
80915	1374	144
435653	1284	0
98752	1727	1
14130	1547	0
246256	1250	0
14131	1353	4
75472	1034	11
66052	1179	1703
17528	1993	12
66425	1575	2
12355	1414	0
641376	2920	300
11807	521	0
14127	658	0
226646	1606	3697
240913	3673	238
57370	1998	1406
19044	1821	390
30941	2185	246
66155	964	977
100862110	308	0
100504072	1662	1
21945	2733	468
27045	1374	242
18637	622	500
68874	1555	32
71740	3504	851
226652	4488	12
22278	1822	316
226654	551	3
16456	2482	5771
56009	1273	52
16429	1140	1
18106	3758	4
17085	2449	0
75345	3977	0
12506	1142	1
100041098	195	445
27218	2688	1
12523	6253	2
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	94
18071	2487	0
59287	2855	2087
12847	4629	6443
100504176	730	0
19298	3131	773
98193	3743	1835
18611	2477	690
12372	1874	6
27222	3485	0
98660	6227	2
140559	2234	1774
16524	3270	3
16513	5407	0
67556	7569	995
100862199	620	0
98365	1145	0
93842	4249	107
21346	1382	497
71870	1822	10
71319	941	5
240916	1879	6
74748	2040	3
677296	1914	0
68440	1417	36
100040320	811	0
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	76
94332	4159	9
383619	2541	2
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	5
15951	2296	6
100504287	1468	0
666028	634	0
100040462	1908	4
381308	1651	5
15950	3793	7
26388	1796	17
226695	1613	10
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	3
24012	2487	0
14194	1632	1605
98256	2498	1
13603	1721	174
12663	6117	504
75820	3817	0
26909	5506	136
319455	3894	0
545389	6930	122
723921	99	0
76816	2619	86
15365	1510	77
23797	4735	152
30928	5106	787
75589	698	0
69428	749	22
11566	2553	2812
631584	2790	34
545391	1663	2
78825	4214	1903
791357	1199	13
75164	651	0
666295	875	4553
320110	427	7
66359	448	251
51810	3670	14218
68226	2539	20
269152	7406	137
69726	3769	272
15278	2448	176
226744	4545	574
109232	1922	452
226747	8831	3106
100503705	1428	0
226751	8656	1079
67426	4076	679
19165	2084	175
277333	3581	8
320404	5101	1178
381310	6557	26
11545	3827	2058
72568	3377	375
27217	2294	0
170760	3471	2018
100504581	591	0
15078	1076	518
208768	3189	2038
100504598	177	3
320202	2462	1
100862334	599	0
69051	1599	288
13590	1604	2
208795	3239	2074
13849	1665	1092
619326	1898	0
67459	3060	571
98417	3268	824
226757	7047	7024
329307	2505	4
72978	2727	0
403180	1819	0
240960	13996	7
98386	3552	803
433384	1343	0
13800	4288	470
27058	1388	840
625823	921	0
13244	2005	1312
67330	686	0
67948	4913	1118
209456	4370	2888
12334	3185	1341
170725	3705	33
433386	2055	0
96935	2035	365
53791	3199	266
68897	5030	61
71678	3456	530
108909	3293	320
338366	6678	4155
21339	2386	447
78772	2736	3542
73363	967	6
63953	2712	97
73590	778	0
74971	1722	0
15284	2149	2
66112	2161	0
67247	1883	2228
100316821	82	0
226777	2853	4774
226778	4565	32
98732	6988	1878
100217449	113	0
381314	3540	1761
387189	67	2
387211	112	0
23827	2182	905
107508	4850	5591
319562	3406	0
100039138	2761	0
226781	5836	1
114668	709	0
226791	1577	357
21808	4725	2795
67223	1213	821
110957	3212	58
74717	1645	3
69308	823	0
67769	4565	473
100862400	1119	50
26381	5580	146
320272	2212	0
22283	15891	1
226823	3703	1572
16526	3959	3
100042424	516	382
100039307	642	0
108000	11130	238
19250	10746	682
226830	1605	1496
19130	4139	179
100504619	832	0
320119	3995	248
52477	3349	613
226841	4190	5
226844	4087	2935
100125339	1649	3
75558	428	1
68972	1258	56
381318	2973	53
381319	712	5
619288	2234	34
11910	1977	15535
100504360	568	39
100861628	406	0
66208	658	85
66950	4204	178
226849	3082	613
100504379	2421	0
76843	4202	786
77065	3252	1301
226856	7246	6771
18005	3197	444
98736	4362	33
22782	5230	1000
74023	3720	2
22033	2102	14
100628582	81	0
100042625	720	512
214742	1597	136
100038712	2612	12
16510	7143	301
226861	2835	151
320952	2041	4
73455	404	3
214791	3401	1947
100503471	624	89
329324	1731	0
215193	5548	380
54139	4125	1572
319266	3834	118
215243	2121	3
15483	1446	13
14373	843	0
100503531	873	0
16780	4055	3598
215303	2453	15
387201	68	0
74942	578	0
18845	11036	31
100628615	64	0
12490	2621	31
320400	2491	2
320977	5195	8
723963	81	0
387224	88	0
17221	1213	10
12946	1662	866
12902	6207	1
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	4
70337	1540	1
213783	7415	150
270685	4332	122
83397	6247	1124
381990	3227	769
66084	1849	105
73419	2290	136
100504234	2151	3
13982	4319	195
64009	18115	19
68632	2777	3
22353	1527	0
67141	1807	46
108853	2621	59
56533	8191	0
100041224	522	1
18390	2639	0
320495	8240	46
215748	3448	1954
77777	1819	168
237253	3403	25
18537	1917	999
320642	1253	12
69912	1290	149
407824	2188	39
16798	7215	3124
23924	1775	778
215751	1557	663
100503695	916	11
67418	2896	1007
237256	4093	11
100628581	94	0
68652	4278	3507
338362	4284	14
70097	7183	2017
791352	3151	0
320825	2495	102
620417	2980	0
78808	9074	387
215772	5218	0
67844	2054	127
382450	3785	2
14816	6990	0
78056	444	0
268281	9293	154
71865	5114	1674
13853	1079	6
22288	12382	1147
320273	1182	14
74732	2396	91
66125	734	585
22634	5260	116
100862331	414	0
75122	1053	0
353258	1769	990
215789	8913	166
66848	3954	1127
56535	2405	356
66757	1453	87
66253	1054	393
15273	9768	1875
100504211	3928	6
215798	6505	315
100039571	514	241
66201	1325	561
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	2135
378431	4457	2
380629	3667	1289
73112	810	789
19707	2618	1013
100045792	2900	0
215814	1166	35
215819	7638	3101
56016	1910	87
215821	8216	87
237300	2355	0
73968	2928	1
64058	1901	838
21929	4595	3567
100504265	6220	0
94222	2066	0
15979	2099	1495
237310	2468	0
237313	2088	0
76157	2629	1
18634	1894	286
26408	5393	344
17761	3895	2154
73811	629	3
621697	592	2215
72567	5454	2982
71804	2307	238
29863	4127	5
52906	5094	23
100038717	3304	0
100504283	1667	0
17863	3777	92
56422	4893	2297
73990	1016	11
237320	2243	1
76924	485	0
67692	1061	1
432436	2206	5
20393	4158	13438
114671	1771	0
319887	2292	1
379043	1274	0
667281	952	5
606736	4515	2
56554	1271	0
100038752	4548	0
353169	3762	13
237336	2875	312
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	0
20042	518	234
100529074	105	17
100529075	68	35
76306	2837	175
26464	1811	0
22361	2416	0
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	780
100862153	747	0
59012	3083	22
14219	2403	8595
18605	3224	238
209558	2815	946
70208	4946	472
11846	1477	87
432442	3123	57
13822	4464	614
100504474	674	0
73803	865	0
215866	1543	4
77220	4115	3
100040851	1193	0
268288	3554	0
237339	3411	106
667572	1206	0
73910	3616	521
16773	9713	54
100040961	485	46
19272	6177	4581
210757	3981	0
100504516	4347	0
114676	1545	201
67719	1319	2
67412	3948	1
212448	5644	0
52665	3180	190
68031	4404	544
72780	2397	0
100504540	2648	0
66311	1512	52
73681	2359	172
100504586	3440	106
66847	696	243
211329	5338	967
15214	2532	4
69692	718	543
21987	1267	145
100041294	710	333
268291	2860	199
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	2
72580	2364	131
414093	7840	3
66521	1082	245
692132	1185	0
270711	3714	0
103511	1786	7
215900	1082	12
212898	4225	316
22110	2696	1135
72480	3900	32
319638	2716	309
12813	3130	0
14302	4805	352
100041585	3201	2697
319415	3098	0
15182	2004	1357
17118	4186	1004
215919	1054	0
16775	6046	770
66337	730	2
71924	2929	58
327743	1418	2
14360	3692	38
100504626	1313	0
103213	2867	572
327744	1664	16
19714	10666	1216
100504659	947	1
213332	781	47
75299	2400	7
72045	2285	7
100041085	1782	33
215928	5981	4
215929	2679	1
72472	6556	64
67239	1890	143
67371	1020	412
19850	104	0
11702	3206	802
78334	5807	488
70840	2243	0
70503	3000	174
327747	1529	47
71713	3366	559
83767	2550	90
100504721	508	26
140741	1092	0
103199	3263	496
633979	5640	0
268294	2831	127
171580	3563	30
20598	1602	720
73075	1070	22
53599	2830	8753
75973	2749	17
70538	617	0
629461	2137	4
100628609	55	0
103268	2392	59
140742	3339	195
213402	4865	4
624784	2896	667
56484	2889	3513
215951	2513	193
666540	1120	0
54198	1377	4179
21907	3233	0
14628	3009	391
140740	6032	3929
268297	4745	106
109205	4980	4
