EntrezID	Length	MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
98404	3457	150
14200	1563	21
666642	647	376
17974	2775	352
100861934	1421	3
78896	888	2
67883	1263	186
100503192	585	466
22019	4649	1331
433294	1086	0
75623	1265	393
72050	2324	177
246229	3571	79
22592	4010	178
100861960	766	0
403183	3181	0
70676	2976	616
75066	906	1
12825	5564	763
12832	6615	59
73674	2612	293
433297	641	664
53945	3380	133
100042453	717	2
212225	3483	0
227058	12318	8
100101919	12384	0
227059	4961	455
442837	542	0
56363	3339	1
442821	2552	0
20324	3055	65
109019	2838	1433
100045066	3051	26
17912	5042	169
20849	2981	2
100042634	432	0
20846	5356	726
14660	7488	718
17936	5088	1112
227094	3394	15
98682	5591	1970
16329	1776	80
227095	1704	454
67080	834	62
17700	2682	0
69397	627	0
227099	3032	53
227102	1846	228
72085	2283	62
70396	2362	481
627872	12272	0
98267	3278	359
329152	11336	40
78016	3807	0
98488	3005	147
241062	10579	77
329154	6140	18
81898	6192	6220
67876	1733	1818
15510	2332	3158
15528	768	448
19070	2826	455
74013	3677	105
212679	2882	141
75388	1258	1
227120	6555	837
626009	1369	56
329159	1906	0
71066	1408	0
212712	5286	11
329160	3728	1
407809	3304	3
75323	2052	5
73467	3008	71
68736	1442	65
68115	1325	180
67198	4045	17
51960	2733	49
68549	5416	89
11761	4382	20
71724	4360	143
71872	4973	2
213043	4776	5
66882	2833	2021
12747	3088	2384
70225	1630	86
65102	2105	155
18393	3371	314
100504455	2126	1
213056	8695	303
66495	532	479
100504501	936	31
108812	1579	2
12633	7814	524
12370	2777	359
70827	6240	931
227154	2318	131
73463	2131	0
381259	1972	27
227157	3087	1
74018	7038	404
271697	1477	0
14369	4809	110
381260	3595	4
22218	1215	890
55989	1976	2552
100217459	53	8
100217421	63	0
12168	3507	222
100504533	314	15
72750	5532	437
70375	3650	7
57750	3376	122
241066	2604	53
100504573	431	323
269198	12108	289
77951	1501	337
329165	5974	45
77300	9117	700
100043027	207	745
100042533	791	7
12487	4317	13
100504618	845	0
12477	1931	0
54167	3254	0
77341	892	0
72823	8392	69
18187	8122	41
74992	895	1
227195	13529	522
100380944	1802	10
100504668	1301	0
227197	2927	1549
55949	1933	6073
100217464	113	11
241070	1606	0
73884	12621	2
23792	6879	0
241073	2427	1
76668	1711	1
75619	3205	313
74426	1756	3
433315	1432	0
93691	1344	75
12912	8421	363
67099	2666	74
69941	713	65
227210	2927	78
14367	6914	584
241075	8562	63
70861	1353	0
667276	1020	8
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	0
15926	2438	220
18711	11255	660
213527	2414	0
12969	622	0
17756	5520	194
100038569	1663	1
329178	13533	3
66646	2630	958
68691	4760	135
11363	1892	323
100862127	515	2
17901	1111	0
14768	4461	225
227231	4704	0
13869	4257	51
100502712	2069	0
22779	9424	459
66722	2270	0
320460	4655	0
12021	5448	55
74591	8323	0
108147	2611	544
14268	8312	83
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	3
381269	2493	12
111175	1186	200
271711	2815	0
22596	2556	380
381270	4187	0
54380	6715	218
319695	4573	0
19981	588	96
16008	1330	25
16011	5854	9295
21958	427	0
69449	571	0
723792	1560	219
78718	551	19
109198	1801	0
21961	9966	785
435626	2336	6
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	1525
227289	990	1
227290	1820	2076
56695	3501	180
69660	2309	2790
241112	2101	1
18173	2304	0
227292	2776	496
387219	85	0
22349	3117	3
319651	7196	348
58184	3266	457
18802	3121	7
77264	7472	183
66821	1829	177
57751	1475	205
269209	5235	19
67534	4253	402
104086	1890	4
241113	2832	0
22420	2068	2
22409	1962	0
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	0
75570	860	37
22626	2059	11
69171	2738	592
227298	2557	815
68818	1299	288
74104	2934	462
245860	3764	1320
52231	2764	200
74577	3451	19
20872	2885	432
22145	2053	4144
381272	767	1
56812	3203	614
19275	3535	3
19711	710	1
13437	1946	695
13346	2150	10
100503248	676	0
11790	11933	46
69080	1528	773
100862164	449	0
241118	2650	0
74241	3235	750
319998	2185	81
98733	5770	18
16322	1463	11
71728	4458	265
20536	4441	100
100862333	771	0
620079	2188	0
13838	6328	34
18505	3868	0
100039210	1208	0
433323	3998	5
23874	2132	779
68393	1206	17
74205	3950	677
195434	3981	167
57814	2463	5
20254	2485	0
100862182	832	0
252903	2876	102
69368	4714	387
100038695	1791	0
69163	1424	264
100862198	480	0
20720	2055	12
241128	2862	0
26554	2764	1611
72208	394	0
210293	7303	1
241134	4919	0
16367	9163	1106
100503073	3039	16
76867	3757	390
100503095	2833	0
12829	7808	3
12828	8609	0
75734	1866	563
66261	1503	0
100044526	654	16
15463	3137	1183
80721	2974	0
71386	992	0
20297	802	178
71227	1670	0
77629	6512	0
98496	2667	0
227325	3632	0
100628595	77	0
14897	9632	2349
66153	900	51
71781	2349	0
100503433	891	1
381287	1760	1
621875	1334	0
100040135	1348	1
665378	1621	3
620078	1971	1
100040213	891	0
100039794	1073	9
665338	891	0
109032	1971	19
434484	2417	37
100503502	852	0
100503045	659	0
20684	2158	4
319997	1936	10
12283	3800	1819
64294	2024	1352
71141	1148	0
227326	2550	1
70060	1602	0
72792	3331	112
70247	3256	1888
15559	2072	2
78795	5258	27
100861644	653	0
227327	2595	5
383538	483	0
17975	8257	5990
100303740	116	5
80828	68	0
319336	1266	8
14767	1218	0
71863	1721	0
19231	1192	6950
18582	1092	38
26895	2231	141
18159	1042	8
208718	3171	167
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	0
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	839
98363	1805	166
227331	5743	1430
100040591	1349	11
73234	462	1
53972	3384	115
319977	1676	0
620454	1602	131
23956	2018	41
16331	4938	12
77040	3180	406
100217415	248	0
20215	1718	0
100503175	947	1
227333	5694	837
227334	5316	254
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	3
94284	3302	3
394433	3208	0
22236	3206	0
15504	1017	0
394436	3229	0
100040766	7526	0
381280	8439	60
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	0
100503197	2622	0
320982	3967	93
78650	476	1
73475	603	0
98402	3673	2528
77331	591	0
347722	9581	1507
74403	3611	0
14472	2126	1
208372	1404	0
74918	3210	0
12778	2579	1160
108679	1843	534
433332	1207	0
12835	10841	339
171531	4484	1102
623503	261	1
19329	1950	234
16978	5743	856
329207	3851	0
51801	3022	232
67921	1363	633
665783	892	230
50880	2207	925
227357	5442	9
100503326	684	0
70788	3020	0
227358	2815	35
67444	1368	376
67086	547	1
55927	1335	217
18627	5837	906
74019	3500	78
65247	6072	36
13345	1312	0
208727	3960	102
67273	1220	1389
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	557
260301	704	0
14733	3552	298
100504295	543	0
387167	66	0
241158	3243	2
67446	1491	66
108657	3039	1166
100037260	1689	0
23830	2877	121
64095	4396	10
208760	1088	0
16560	8257	23
11611	1517	1
71874	2362	0
381284	7348	1
208777	4474	86
69821	3315	155
269224	5119	140
66385	3653	469
404545	3217	2
110611	6238	18615
18000	3335	1775
227377	3912	256
59041	3254	2709
51800	1432	14
67026	2160	180
66615	2964	422
21915	1310	436
66262	4539	260
98314	3058	102
381334	2846	0
100041596	1185	0
666009	570	7
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	234
20452	5677	6
75381	761	0
100504401	921	195
73454	356	0
75159	583	0
227394	2394	57
329217	3849	277
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	318
227399	5565	460
252876	2041	58
18484	4103	315
78603	1178	2
69030	1687	0
70866	2328	0
100504494	800	62
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	3
100504568	1284	0
27392	6777	428
227446	5406	1140
100042023	231	343
21934	5022	950
635504	465	11
227449	6661	466
626049	545	0
98432	6104	505
12043	7749	17
320761	1243	0
70750	5582	338
20479	3272	1164
20724	2565	728
71869	1735	1
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	6
116872	1887	0
18788	2047	0
241197	3490	0
20725	3289	13
241201	3353	0
227485	3054	26
319901	5763	181
636808	3915	0
634762	729	0
22099	3040	902
67949	1894	483
76707	7899	492
68204	597	14
81879	9270	750
14633	6708	0
16324	4255	343
100502628	748	0
64143	2277	492
226351	2830	156
226352	7746	268
19258	4707	206
66343	3301	19
226356	2511	0
319229	1924	0
170706	1017	21
13167	745	5421
73103	1089	13
68428	3177	1419
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	301
70829	7256	288
15564	2019	0
66942	2249	165
100502702	453	0
269109	4630	4
74117	2746	1888
74150	2597	962
71111	2690	7
72585	2047	0
210356	7593	32
107895	3104	102
667090	484	459
72160	2517	1
266645	2303	1
100502745	464	3
72949	3514	685
22625	3936	1
226407	4251	1254
226409	4154	138
226412	4812	781
387147	70	0
67812	4093	1611
226413	6166	1
17219	2901	1318
226414	2509	876
12767	1814	23
210417	6253	0
100042740	613	80
13137	1324	200
13136	2527	967
22789	2034	0
12269	1883	0
12270	754	3
18640	9621	1848
226418	3843	497
212439	2909	303
64435	1911	118
100502856	1065	74
18703	3849	30048
69169	1491	1
93672	1116	7
58181	824	0
329244	1023	1
16153	1306	6
17164	2567	1036
226419	2072	297
16865	2290	592
54354	3405	62
56489	3203	262
14270	8040	200
108900	2105	9
26361	4148	0
13034	2120	260
226421	2523	1100
320718	3640	173
212933	3540	166
98396	4660	5445
226422	1189	49
98415	6096	997
212980	3426	643
13714	3671	249
213006	4853	968
18557	3046	885
723818	97	0
213409	958	0
213417	4269	10
74137	3132	130
68875	3410	29
213452	6385	304
213464	3632	385
74626	1742	21
21367	9535	2
269116	10379	64
100038653	1879	0
16980	3346	6
17248	3490	480
240752	7929	694
108954	5588	2063
240753	7457	1377
100502933	3112	11
68338	1842	0
280287	496	1
19701	1423	0
214253	2279	4
20668	3531	174
20643	492	161
70579	4395	1946
667118	5007	912
240754	2371	0
381290	8292	17
269120	2074	1
116847	3602	49
100502984	884	0
14264	2859	17
100502999	532	4
12227	3083	9040
667414	432	4
71884	1711	5
12654	1689	76
53311	1829	5
11539	5786	6
17928	1480	0
68507	6067	27
57439	3169	1641
240755	1770	0
72017	1626	774
72674	2024	1425
100861791	590	0
240756	3196	222
98710	1960	264
100503055	641	1
71001	1457	0
75605	6300	637
20980	3386	1
329251	6185	76
67196	1079	19
329252	3623	31
13924	6089	88
100038590	915	4
320139	3264	3
68724	1702	401
171469	2253	0
13710	2000	1444
215615	2301	535
21854	917	450
93689	3942	35
77552	1190	63
226432	6236	1026
215690	12767	59
13007	1770	1035
27280	1467	14
21952	1114	0
16763	2992	248
21956	1194	2
18772	4486	22
226438	8996	0
66241	1750	360
12292	6260	0
329253	508	0
16565	9119	183
76422	2922	8
67313	3013	175
100042513	584	0
383563	1960	1
67886	7823	580
320054	2097	2
67997	2228	45
381293	8770	107
71084	1846	0
226442	5275	219
100503460	489	9
100503474	1199	0
667686	385	19
26424	3857	1
320138	3023	0
735252	87	0
723890	80	0
19264	5664	11
338375	1887	0
59125	3366	2265
545363	1930	0
16876	5750	0
69549	571	39
75546	410	0
329260	8314	719
170788	4702	0
71209	1111	0
226470	8362	746
12316	9866	119
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	0
12628	4365	3
240776	3957	0
75910	551	0
226472	591	0
214498	2678	614
26878	4578	16
69367	3730	203
20822	8721	156
56207	1851	829
19735	3009	269
100861894	494	0
246709	1497	0
50778	1330	13
624910	459	0
64214	1859	0
215378	3172	1
100043240	3910	13
791353	1179	0
100503781	490	0
18783	2846	279
320019	1098	0
19225	4150	92
100043257	532	1394
100043261	345	1
20028	1247	0
75584	610	0
226499	3242	1246
108989	7550	1845
96875	4278	2
545370	18316	13
402734	2640	0
73176	1674	0
117198	5037	4689
66875	3668	177
98685	2665	167
19821	3028	368
100503012	373	450
63913	3939	111
66967	6604	2395
69399	9754	1267
66637	1133	41
269132	4056	9
19731	3887	19
100861876	505	0
71281	1566	0
67771	1897	1528
100503084	519	3
17970	2596	6
226517	6069	947
226518	4523	0
16782	5164	892
226519	7622	982
626058	2827	1
71836	2045	0
13211	4613	2723
74091	1403	8
67792	5804	69
329271	3337	2
19734	2335	2424
24014	4758	525
240816	3640	0
240817	1654	1
433365	2527	0
240819	1415	0
14645	2782	3148
100861882	573	0
207678	1877	21
78112	613	0
12290	12697	1
15939	3270	4928
15064	2509	55
58244	2459	589
207792	4611	11
100503411	2791	0
19775	7651	716
433367	1751	0
72482	1942	304
16872	1853	0
100861926	688	1
104009	3361	15869
74081	13307	778
208263	4439	761
240832	8112	2476
329274	3687	0
214575	3443	0
170484	3108	0
77352	3297	0
20652	4785	50
11352	10714	641
30935	3268	1567
100503836	636	0
215015	4238	689
78255	7133	28
72713	2190	2
73435	898	2
226525	10046	208
69953	1194	69
226527	1289	67
89867	4651	1698
100504090	420	15
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	0
72025	2475	0
26374	5056	188
100217414	118	0
21960	5395	102
67647	5391	206
75255	887	6
329278	5812	0
64659	1970	485
12301	2115	488
29809	9489	591
100316784	109	0
620246	1086	1
620750	465	0
381305	11011	948
11905	2162	2
240869	3883	45
14455	2554	1134
100628588	91	0
100217446	65	10
226539	3581	184
70454	4327	51
226541	4037	121
73844	3723	0
100502590	954	0
11758	2334	1913
22164	1609	0
240873	2064	1
14103	1935	3
226551	6308	774
75368	1164	0
67292	3301	215
103967	7523	65
72753	919	1
474332	7928	6
723821	110	0
387210	110	0
71449	2791	125
53330	2532	333
17926	2080	3
100038657	741	0
226562	10444	3112
226564	1787	0
14261	2326	4
55990	3336	668
226565	1870	2
14262	2010	19
78258	2956	0
18933	7448	2
98376	2509	86
240879	1053	0
16579	3907	89
240880	4069	410
381306	2912	79
69962	1457	33
20339	2912	18
20343	2321	0
20344	3438	56
100503816	1241	16
14067	7406	397
116914	3546	291
74895	1896	36
66352	4035	497
171567	3011	149
11931	2422	916
56429	1636	24
433374	1588	0
16963	502	1
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1909
226591	4395	391
240888	1943	2
74106	3306	1347
70456	854	2958
271639	5209	12
68481	2356	1016
100503268	612	4
226594	2670	2
100503283	1514	0
433375	2125	803
12503	4604	1
18986	13123	147
240892	4025	6
59290	2293	17
98558	1546	0
100039795	8260	1
100503318	2514	4
27878	2145	200
71592	7372	447
226601	1744	0
226604	3012	21
240894	3065	6
100503962	936	0
226610	4986	1
80914	1338	1013
68944	4474	580
100862084	376	0
56752	2833	1808
66447	635	206
240899	1137	0
100503977	287	0
20183	2363	1
110648	3338	0
18514	9027	453
66977	2405	180
19737	1809	8
100862094	1412	8
19736	2941	6
78465	1440	4
15490	4574	895
67303	1135	2
18214	8290	19
107652	2283	2269
16589	2024	122
545378	399	0
622708	1691	0
26904	1433	0
665574	3833	240
76925	713	4
70729	3684	103
320078	3095	10
226641	7463	1493
80915	1374	83
435653	1284	0
98752	1727	0
14130	1547	1
246256	1250	0
14131	1353	3
75472	1034	4
66052	1179	1274
17528	1993	9
66425	1575	2
12355	1414	0
641376	2920	299
11807	521	0
14127	658	2
226646	1606	2314
240913	3673	94
57370	1998	845
19044	1821	296
30941	2185	135
66155	964	882
100862110	308	0
100504072	1662	6
21945	2733	199
27045	1374	197
18637	622	221
68874	1555	5
71740	3504	204
226652	4488	3
22278	1822	193
226654	551	3
16456	2482	2147
56009	1273	16
16429	1140	4
18106	3758	3
17085	2449	0
75345	3977	1
12506	1142	2
100041098	195	322
27218	2688	6
12523	6253	0
100038548	2574	0
100862186	671	0
30925	2443	1
93840	2260	43
18071	2487	0
59287	2855	1468
12847	4629	5035
100504176	730	0
19298	3131	660
98193	3743	975
18611	2477	330
12372	1874	2
27222	3485	0
98660	6227	3
140559	2234	935
16524	3270	0
16513	5407	0
67556	7569	421
100862199	620	0
98365	1145	1
93842	4249	77
21346	1382	194
71870	1822	10
71319	941	2
240916	1879	2
74748	2040	0
677296	1914	0
68440	1417	30
100040320	811	2
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	15
94332	4159	1
383619	2541	0
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	1
100033459	2987	1
100504251	716	0
226691	3484	8
15951	2296	4
100504287	1468	0
666028	634	0
100040462	1908	3
381308	1651	5
15950	3793	5
26388	1796	3
226695	1613	8
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	1
24012	2487	21
14194	1632	1232
98256	2498	0
13603	1721	79
12663	6117	171
75820	3817	0
26909	5506	141
319455	3894	1
545389	6930	64
723921	99	0
76816	2619	36
15365	1510	2
23797	4735	97
30928	5106	629
75589	698	0
69428	749	1
11566	2553	649
631584	2790	27
545391	1663	2
78825	4214	532
791357	1199	6
75164	651	0
666295	875	2871
320110	427	0
66359	448	161
51810	3670	5664
68226	2539	18
269152	7406	60
69726	3769	86
15278	2448	70
226744	4545	328
109232	1922	188
226747	8831	1338
100503705	1428	0
226751	8656	477
67426	4076	1211
19165	2084	160
277333	3581	19
320404	5101	457
381310	6557	1
11545	3827	1300
72568	3377	302
27217	2294	0
170760	3471	851
100504581	591	0
15078	1076	237
208768	3189	1492
100504598	177	1
320202	2462	2
100862334	599	0
69051	1599	778
13590	1604	11
208795	3239	1752
13849	1665	122
619326	1898	0
67459	3060	321
98417	3268	305
226757	7047	2264
329307	2505	2
72978	2727	14
403180	1819	1
240960	13996	6
98386	3552	592
433384	1343	0
13800	4288	287
27058	1388	727
625823	921	0
13244	2005	1200
67330	686	0
67948	4913	693
209456	4370	1449
12334	3185	960
170725	3705	24
433386	2055	0
96935	2035	88
53791	3199	237
68897	5030	33
71678	3456	311
108909	3293	165
338366	6678	3875
21339	2386	271
78772	2736	5315
73363	967	2
63953	2712	83
73590	778	0
74971	1722	0
15284	2149	1
66112	2161	0
67247	1883	1216
100316821	82	0
226777	2853	701
226778	4565	1
98732	6988	1345
100217449	113	0
381314	3540	963
387189	67	2
387211	112	0
23827	2182	1007
107508	4850	3468
319562	3406	0
100039138	2761	0
226781	5836	2
114668	709	0
226791	1577	269
21808	4725	371
67223	1213	307
110957	3212	27
74717	1645	0
69308	823	0
67769	4565	297
100862400	1119	16
26381	5580	170
320272	2212	0
22283	15891	1
226823	3703	656
16526	3959	8
100042424	516	156
100039307	642	0
108000	11130	180
19250	10746	105
226830	1605	749
19130	4139	221
100504619	832	0
320119	3995	258
52477	3349	386
226841	4190	4
226844	4087	1039
100125339	1649	0
75558	428	0
68972	1258	38
381318	2973	74
381319	712	2
619288	2234	25
11910	1977	9555
100504360	568	16
100861628	406	0
66208	658	86
66950	4204	213
226849	3082	295
100504379	2421	0
76843	4202	455
77065	3252	514
226856	7246	4362
18005	3197	528
98736	4362	6
22782	5230	351
74023	3720	1
22033	2102	14
100628582	81	0
100042625	720	443
214742	1597	136
100038712	2612	5
16510	7143	381
226861	2835	36
320952	2041	0
73455	404	0
214791	3401	142
100503471	624	12
329324	1731	3
215193	5548	194
54139	4125	572
319266	3834	86
215243	2121	1
15483	1446	36
14373	843	0
100503531	873	0
16780	4055	2199
215303	2453	5
387201	68	0
74942	578	0
18845	11036	61
100628615	64	0
12490	2621	27
320400	2491	1
320977	5195	17
723963	81	0
387224	88	0
17221	1213	4
12946	1662	664
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	1
70337	1540	0
213783	7415	30
270685	4332	37
83397	6247	616
381990	3227	238
66084	1849	72
73419	2290	174
100504234	2151	1
13982	4319	475
64009	18115	106
68632	2777	2
22353	1527	0
67141	1807	52
108853	2621	46
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	55
215748	3448	294
77777	1819	238
237253	3403	30
18537	1917	492
320642	1253	3
69912	1290	121
407824	2188	20
16798	7215	1325
23924	1775	295
215751	1557	345
100503695	916	6
67418	2896	512
237256	4093	77
100628581	94	0
68652	4278	2358
338362	4284	5
70097	7183	576
791352	3151	0
320825	2495	196
620417	2980	1
78808	9074	304
215772	5218	0
67844	2054	25
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	218
71865	5114	513
13853	1079	9
22288	12382	1099
320273	1182	3
74732	2396	15
66125	734	335
22634	5260	146
100862331	414	0
75122	1053	0
353258	1769	505
215789	8913	60
66848	3954	1195
56535	2405	272
66757	1453	32
66253	1054	316
15273	9768	269
100504211	3928	2
215798	6505	24
100039571	514	72
66201	1325	338
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	1
17684	1969	1387
378431	4457	0
380629	3667	299
73112	810	454
19707	2618	371
100045792	2900	0
215814	1166	30
215819	7638	400
56016	1910	31
215821	8216	229
237300	2355	0
73968	2928	0
64058	1901	559
21929	4595	4294
100504265	6220	0
94222	2066	0
15979	2099	996
237310	2468	2
237313	2088	0
76157	2629	3
18634	1894	237
26408	5393	293
17761	3895	1785
73811	629	1
621697	592	1085
72567	5454	1759
71804	2307	86
29863	4127	25
52906	5094	22
100038717	3304	0
100504283	1667	0
17863	3777	14
56422	4893	1294
73990	1016	7
237320	2243	4
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	10665
114671	1771	0
319887	2292	1
379043	1274	0
667281	952	2
606736	4515	0
56554	1271	0
100038752	4548	1
353169	3762	29
237336	2875	120
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	0
20042	518	87
100529074	105	8
100529075	68	7
76306	2837	175
26464	1811	0
22361	2416	0
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	522
100862153	747	0
59012	3083	12
14219	2403	61
18605	3224	88
209558	2815	838
70208	4946	293
11846	1477	209
432442	3123	61
13822	4464	379
100504474	674	0
73803	865	0
215866	1543	12
77220	4115	3
100040851	1193	0
268288	3554	2
237339	3411	131
667572	1206	0
73910	3616	201
16773	9713	45
100040961	485	27
19272	6177	1559
210757	3981	0
100504516	4347	0
114676	1545	133
67719	1319	91
67412	3948	0
212448	5644	0
52665	3180	560
68031	4404	271
72780	2397	1
100504540	2648	0
66311	1512	49
73681	2359	90
100504586	3440	105
66847	696	249
211329	5338	113
15214	2532	6
69692	718	525
21987	1267	209
100041294	710	144
268291	2860	58
432450	3745	0
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	0
72580	2364	116
414093	7840	1
66521	1082	161
692132	1185	0
270711	3714	1
103511	1786	9
215900	1082	2
212898	4225	116
22110	2696	819
72480	3900	67
319638	2716	265
12813	3130	0
14302	4805	328
100041585	3201	969
319415	3098	0
15182	2004	848
17118	4186	781
215919	1054	0
16775	6046	107
66337	730	0
71924	2929	51
327743	1418	3
14360	3692	11
100504626	1313	0
103213	2867	251
327744	1664	9
19714	10666	709
100504659	947	2
213332	781	13
75299	2400	3
72045	2285	4
100041085	1782	85
215928	5981	11
215929	2679	0
72472	6556	31
67239	1890	73
67371	1020	226
19850	104	0
11702	3206	290
78334	5807	136
70840	2243	0
70503	3000	278
327747	1529	15
71713	3366	319
83767	2550	59
100504721	508	25
140741	1092	0
103199	3263	908
633979	5640	24
268294	2831	104
171580	3563	7
20598	1602	403
73075	1070	17
53599	2830	7347
75973	2749	8
70538	617	1
629461	2137	2
100628609	55	0
103268	2392	56
140742	3339	93
213402	4865	3
624784	2896	286
56484	2889	806
215951	2513	230
666540	1120	0
54198	1377	4634
21907	3233	0
14628	3009	418
140740	6032	4027
268297	4745	105
109205	4980	4
74530	1859	0
71365	2031	105
331623	6049	131
67851	898	116
100862325	514	0
12484	1816	11307
414125	1833	1
69443	1060	0
76563	1970	159
170728	2981	326
11630	7416	1086
70365	1522	0
11793	2352	538
