EntrezID	Length	MCL1-DH_BC2CTUACXX_CAGATC_L002_R1
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	4
15926	2438	579
18711	11255	534
213527	2414	0
12969	622	0
17756	5520	3524
100038569	1663	0
329178	13533	50
66646	2630	518
68691	4760	2609
11363	1892	2311
100862127	515	10
17901	1111	3
14768	4461	1010
227231	4704	0
13869	4257	9
100502712	2069	0
22779	9424	493
66722	2270	0
320460	4655	0
12021	5448	145
74591	8323	104
108147	2611	1034
14268	8312	1532
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	3
381269	2493	660
111175	1186	218
271711	2815	9
22596	2556	1178
381270	4187	29
54380	6715	576
319695	4573	0
19981	588	224
16008	1330	3737
16011	5854	97798
21958	427	0
69449	571	0
723792	1560	83
78718	551	5
109198	1801	4
21961	9966	5599
435626	2336	94
100862357	817	0
12765	3043	1
227288	1125	0
100316687	67	0
76709	1597	4480
227289	990	1
227290	1820	4114
56695	3501	533
69660	2309	3179
241112	2101	7
18173	2304	34
227292	2776	1054
387219	85	3
22349	3117	29
319651	7196	2023
58184	3266	697
18802	3121	97
77264	7472	1448
66821	1829	223
57751	1475	686
269209	5235	149
67534	4253	739
104086	1890	157
241113	2832	9
22420	2068	651
22409	1962	2086
12570	2704	6
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	16
75570	860	61
22626	2059	102
69171	2738	625
227298	2557	765
68818	1299	178
74104	2934	303
245860	3764	832
52231	2764	182
74577	3451	257
20872	2885	599
22145	2053	6876
381272	767	4
56812	3203	1043
19275	3535	31
19711	710	1
13437	1946	680
13346	2150	281
100503248	676	0
11790	11933	1272
69080	1528	689
100862164	449	0
241118	2650	52
74241	3235	2371
319998	2185	277
98733	5770	1313
16322	1463	81
71728	4458	383
20536	4441	967
100862333	771	0
620079	2188	0
13838	6328	2777
18505	3868	0
100039210	1208	0
433323	3998	10
23874	2132	780
68393	1206	2
74205	3950	3153
195434	3981	858
57814	2463	369
20254	2485	0
100862182	832	0
252903	2876	85
69368	4714	459
100038695	1791	0
69163	1424	138
100862198	480	1
20720	2055	358
241128	2862	0
26554	2764	4387
72208	394	0
210293	7303	135
241134	4919	0
16367	9163	951
100503073	3039	1
76867	3757	978
100503095	2833	0
12829	7808	36
12828	8609	92
75734	1866	899
66261	1503	0
100044526	654	29
15463	3137	1710
80721	2974	32
71386	992	1
20297	802	0
71227	1670	0
77629	6512	0
98496	2667	38
227325	3632	0
100628595	77	0
14897	9632	5488
66153	900	6
71781	2349	1
100503433	891	0
381287	1760	2
621875	1334	2
100040135	1348	2
665378	1621	10
620078	1971	4
100040213	891	0
100039794	1073	62
665338	891	0
109032	1971	150
434484	2417	225
100503502	852	0
100503045	659	0
20684	2158	210
319997	1936	5
12283	3800	3082
64294	2024	5797
71141	1148	2
227326	2550	4
70060	1602	3
72792	3331	71
70247	3256	2909
15559	2072	14
78795	5258	344
100861644	653	0
227327	2595	37
383538	483	0
17975	8257	31402
100303740	116	34
80828	68	0
319336	1266	31
14767	1218	1
71863	1721	0
19231	1192	25551
18582	1092	208
26895	2231	152
18159	1042	118
208718	3171	323
11650	2113	2
76768	2337	0
11648	1680	3
13599	2698	30
69453	1999	3
11447	2910	0
11449	1921	0
26987	4928	1464
98363	1805	109
227331	5743	855
100040591	1349	32
73234	462	14
53972	3384	27
319977	1676	1
620454	1602	309
23956	2018	3
16331	4938	43
77040	3180	564
100217415	248	0
20215	1718	16
100503175	947	0
227333	5694	1392
227334	5316	342
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	490
94284	3302	367
394433	3208	0
22236	3206	0
15504	1017	9
394436	3229	4
100040766	7526	1
381280	8439	103
78605	3662	0
171382	3844	0
75396	870	1
14659	1957	35
100503197	2622	11
320982	3967	3900
78650	476	0
73475	603	0
98402	3673	1202
77331	591	0
347722	9581	687
74403	3611	0
14472	2126	1
208372	1404	0
74918	3210	0
12778	2579	4089
108679	1843	1708
433332	1207	0
12835	10841	1771
171531	4484	103
623503	261	0
19329	1950	57
16978	5743	2341
329207	3851	10
51801	3022	293
67921	1363	728
665783	892	264
50880	2207	186
227357	5442	20
100503326	684	0
70788	3020	14
227358	2815	37
67444	1368	686
67086	547	0
55927	1335	149
18627	5837	1844
74019	3500	117
65247	6072	221
13345	1312	12
208727	3960	1146
67273	1220	999
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	625
260301	704	2
14733	3552	2088
100504295	543	1
387167	66	1
241158	3243	5
67446	1491	120
108657	3039	829
100037260	1689	2
23830	2877	177
64095	4396	50
208760	1088	2
16560	8257	1008
11611	1517	2
71874	2362	182
381284	7348	3
208777	4474	586
69821	3315	488
269224	5119	231
66385	3653	554
404545	3217	0
110611	6238	24531
18000	3335	4595
227377	3912	217
59041	3254	2024
51800	1432	533
67026	2160	444
66615	2964	1058
21915	1310	600
66262	4539	1176
98314	3058	65
381334	2846	21
100041596	1185	2
666009	570	6
619597	4059	2
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	274
20452	5677	37
75381	761	0
100504401	921	429
73454	356	0
75159	583	0
227394	2394	3
329217	3849	0
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	409
227399	5565	982
252876	2041	68
18484	4103	2609
78603	1178	5
69030	1687	6
70866	2328	0
100504494	800	139
241175	5120	0
100504525	886	0
23836	3722	1
320311	8529	157
100504568	1284	0
27392	6777	1136
227446	5406	885
100042023	231	245
21934	5022	601
635504	465	7
227449	6661	1700
626049	545	0
98432	6104	1173
12043	7749	882
320761	1243	0
70750	5582	800
20479	3272	1517
20724	2565	5417
71869	1735	0
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	3
66957	1699	1213
116872	1887	1
18788	2047	7
241197	3490	389
20725	3289	62
241201	3353	0
227485	3054	22
319901	5763	885
636808	3915	0
634762	729	0
22099	3040	786
67949	1894	1560
76707	7899	2267
68204	597	15
81879	9270	324
14633	6708	74
16324	4255	420
100502628	748	0
64143	2277	1072
226351	2830	897
226352	7746	369
19258	4707	594
66343	3301	15
226356	2511	2
319229	1924	2
170706	1017	44
13167	745	1619
73103	1089	45
68428	3177	246
226359	2000	0
17167	1985	0
13798	2554	4
98452	1580	0
72999	2524	896
70829	7256	495
15564	2019	0
66942	2249	375
100502702	453	0
269109	4630	0
74117	2746	3876
74150	2597	1777
71111	2690	1
72585	2047	1
210356	7593	157
107895	3104	280
667090	484	957
72160	2517	2
266645	2303	0
100502745	464	8
72949	3514	811
22625	3936	0
226407	4251	1370
226409	4154	257
226412	4812	1439
387147	70	0
67812	4093	3219
226413	6166	5
17219	2901	1291
226414	2509	1015
12767	1814	536
210417	6253	12
100042740	613	232
13137	1324	37
13136	2527	216
22789	2034	0
12269	1883	0
12270	754	3
18640	9621	1039
226418	3843	1114
212439	2909	48
64435	1911	0
100502856	1065	0
18703	3849	14
69169	1491	8
93672	1116	863
58181	824	0
329244	1023	38
16153	1306	15
17164	2567	8774
226419	2072	375
16865	2290	692
54354	3405	535
56489	3203	726
14270	8040	972
108900	2105	45
26361	4148	0
13034	2120	4
226421	2523	162
320718	3640	177
212933	3540	401
98396	4660	6959
226422	1189	67
98415	6096	1526
212980	3426	249
13714	3671	1195
213006	4853	273
18557	3046	409
723818	97	0
213409	958	2
213417	4269	11
74137	3132	697
68875	3410	389
213452	6385	1044
213464	3632	338
74626	1742	41
21367	9535	2620
269116	10379	41
100038653	1879	0
16980	3346	278
17248	3490	860
240752	7929	388
108954	5588	4272
240753	7457	445
100502933	3112	0
68338	1842	1
280287	496	0
19701	1423	6
214253	2279	53
20668	3531	751
20643	492	431
70579	4395	7126
667118	5007	2394
240754	2371	40
381290	8292	1171
269120	2074	147
116847	3602	11759
100502984	884	0
14264	2859	3097
100502999	532	7
12227	3083	27763
667414	432	6
71884	1711	1
12654	1689	11580
53311	1829	1281
11539	5786	187
17928	1480	0
68507	6067	109
57439	3169	1709
240755	1770	0
72017	1626	481
72674	2024	2112
100861791	590	0
240756	3196	362
98710	1960	454
100503055	641	2
71001	1457	0
75605	6300	3329
20980	3386	4
329251	6185	369
67196	1079	34
329252	3623	3081
13924	6089	188
100038590	915	0
320139	3264	1
68724	1702	933
171469	2253	12
13710	2000	1489
215615	2301	1128
21854	917	474
93689	3942	2678
77552	1190	179
226432	6236	1929
215690	12767	799
13007	1770	34423
27280	1467	2056
21952	1114	4
16763	2992	446
21956	1194	20
18772	4486	7697
226438	8996	2
66241	1750	829
12292	6260	1
329253	508	0
16565	9119	134
76422	2922	30
67313	3013	1828
100042513	584	0
383563	1960	4
67886	7823	2905
320054	2097	5
67997	2228	162
381293	8770	101
71084	1846	0
226442	5275	1210
100503460	489	8
100503474	1199	2
667686	385	79
26424	3857	22
320138	3023	0
735252	87	0
723890	80	0
19264	5664	15
338375	1887	0
59125	3366	1957
545363	1930	0
16876	5750	0
69549	571	39
75546	410	0
329260	8314	527
170788	4702	0
71209	1111	0
226470	8362	925
12316	9866	283
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	6
545366	1602	7
12628	4365	126
240776	3957	7
75910	551	0
226472	591	0
214498	2678	1084
26878	4578	2
69367	3730	247
20822	8721	594
56207	1851	461
19735	3009	3265
100861894	494	0
246709	1497	0
50778	1330	11
624910	459	0
64214	1859	2
215378	3172	268
100043240	3910	23
791353	1179	0
100503781	490	0
18783	2846	484
320019	1098	0
19225	4150	1677
100043257	532	3717
100043261	345	1
20028	1247	0
75584	610	0
226499	3242	767
108989	7550	3740
96875	4278	8
545370	18316	3888
402734	2640	0
73176	1674	0
117198	5037	7886
66875	3668	482
98685	2665	233
19821	3028	1812
100503012	373	249
63913	3939	7962
66967	6604	1995
69399	9754	3303
66637	1133	192
269132	4056	1573
19731	3887	1742
100861876	505	15
71281	1566	0
67771	1897	2718
100503084	519	0
17970	2596	11
226517	6069	2031
226518	4523	10
16782	5164	24365
226519	7622	16172
626058	2827	10
71836	2045	2
13211	4613	8540
74091	1403	54
67792	5804	9
329271	3337	1
19734	2335	1491
24014	4758	77
240816	3640	5
240817	1654	0
433365	2527	0
240819	1415	0
14645	2782	2610
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	8
15939	3270	7015
15064	2509	470
58244	2459	1437
207792	4611	539
100503411	2791	0
19775	7651	1752
433367	1751	16
72482	1942	806
16872	1853	2
100861926	688	0
104009	3361	1128
74081	13307	1216
208263	4439	3075
240832	8112	5716
329274	3687	1
214575	3443	0
170484	3108	13
77352	3297	8
20652	4785	962
11352	10714	4723
30935	3268	468
100503836	636	0
215015	4238	1816
78255	7133	1594
72713	2190	20
73435	898	4
226525	10046	837
69953	1194	321
226527	1289	39
89867	4651	82
100504090	420	51
240843	4101	6
11899	7224	19
735253	109	0
23850	8585	117
72025	2475	0
26374	5056	424
100217414	118	1
21960	5395	6
67647	5391	4293
75255	887	35
329278	5812	42
64659	1970	382
12301	2115	1366
29809	9489	1739
100316784	109	0
620246	1086	6
620750	465	1
381305	11011	2978
11905	2162	3
240869	3883	131
14455	2554	4175
100628588	91	0
100217446	65	23
226539	3581	186
70454	4327	220
226541	4037	271
73844	3723	8
100502590	954	0
11758	2334	2622
22164	1609	3
240873	2064	4
14103	1935	5
226551	6308	4841
75368	1164	3
67292	3301	120
103967	7523	169
72753	919	2
474332	7928	8
723821	110	0
387210	110	0
71449	2791	338
53330	2532	233
17926	2080	16
100038657	741	0
226562	10444	7950
226564	1787	2
14261	2326	274
55990	3336	1158
226565	1870	0
14262	2010	0
78258	2956	0
18933	7448	497
98376	2509	179
240879	1053	0
16579	3907	672
240880	4069	289
381306	2912	107
69962	1457	35
20339	2912	1865
20343	2321	0
20344	3438	7407
100503816	1241	88
14067	7406	15
116914	3546	993
74895	1896	119
66352	4035	570
171567	3011	374
11931	2422	329
56429	1636	165
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1740
226591	4395	899
240888	1943	239
74106	3306	1082
70456	854	606
271639	5209	1
68481	2356	1620
100503268	612	0
226594	2670	209
100503283	1514	0
433375	2125	767
12503	4604	2
18986	13123	505
240892	4025	0
59290	2293	8
98558	1546	0
100039795	8260	265
100503318	2514	17
27878	2145	560
71592	7372	1636
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	7
226610	4986	138
80914	1338	962
68944	4474	885
100862084	376	0
56752	2833	1308
66447	635	292
240899	1137	0
100503977	287	3
20183	2363	6
110648	3338	0
18514	9027	4768
66977	2405	143
19737	1809	291
100862094	1412	204
19736	2941	383
78465	1440	1
15490	4574	441
67303	1135	0
18214	8290	492
107652	2283	3465
16589	2024	265
545378	399	2
622708	1691	0
26904	1433	0
665574	3833	348
76925	713	3
70729	3684	97
320078	3095	99
226641	7463	2172
80915	1374	176
435653	1284	1
98752	1727	1
14130	1547	5
246256	1250	0
14131	1353	7
75472	1034	17
66052	1179	1754
17528	1993	247
66425	1575	150
12355	1414	3
641376	2920	349
11807	521	2
14127	658	6
226646	1606	2193
240913	3673	5212
57370	1998	696
19044	1821	591
30941	2185	407
66155	964	304
100862110	308	0
100504072	1662	7
21945	2733	604
27045	1374	291
18637	622	641
68874	1555	41
71740	3504	64
226652	4488	6
22278	1822	213
226654	551	6
16456	2482	6287
56009	1273	35
16429	1140	0
18106	3758	2
17085	2449	3
75345	3977	0
12506	1142	1
100041098	195	469
27218	2688	1
12523	6253	4
100038548	2574	0
100862186	671	0
30925	2443	1
93840	2260	160
18071	2487	4
59287	2855	1679
12847	4629	5605
100504176	730	0
19298	3131	998
98193	3743	1925
18611	2477	615
12372	1874	29
27222	3485	4
98660	6227	224
140559	2234	915
16524	3270	0
16513	5407	3
67556	7569	655
100862199	620	0
98365	1145	2
93842	4249	589
21346	1382	7608
71870	1822	10
71319	941	2
240916	1879	14
74748	2040	0
677296	1914	0
68440	1417	18
100040320	811	1
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	1813
94332	4159	171
383619	2541	12
240921	2951	1
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	18
15951	2296	42
100504287	1468	47
666028	634	0
100040462	1908	35
381308	1651	13
15950	3793	142
26388	1796	64
226695	1613	19
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	11
23893	3745	15
24012	2487	4
14194	1632	1267
98256	2498	0
13603	1721	49
12663	6117	705
75820	3817	0
26909	5506	57
319455	3894	7
545389	6930	621
723921	99	0
76816	2619	217
15365	1510	25
23797	4735	1149
30928	5106	658
75589	698	0
69428	749	0
11566	2553	2134
631584	2790	7
545391	1663	0
78825	4214	718
791357	1199	27
75164	651	0
666295	875	7069
320110	427	33
66359	448	363
51810	3670	18239
68226	2539	38
269152	7406	288
69726	3769	228
15278	2448	190
226744	4545	1900
109232	1922	345
226747	8831	3800
100503705	1428	0
226751	8656	2721
67426	4076	353
19165	2084	225
277333	3581	12
320404	5101	1598
381310	6557	59
11545	3827	1733
72568	3377	188
27217	2294	0
170760	3471	2088
100504581	591	0
15078	1076	553
208768	3189	3330
100504598	177	2
320202	2462	2
100862334	599	0
69051	1599	236
13590	1604	2
208795	3239	1276
13849	1665	3003
619326	1898	1
67459	3060	455
98417	3268	906
226757	7047	6038
329307	2505	5
72978	2727	6
403180	1819	0
240960	13996	8
98386	3552	1566
433384	1343	0
13800	4288	552
27058	1388	493
625823	921	0
13244	2005	2769
67330	686	0
67948	4913	1662
209456	4370	5185
12334	3185	3324
170725	3705	0
433386	2055	0
96935	2035	20
53791	3199	61
68897	5030	303
71678	3456	761
108909	3293	563
338366	6678	2781
21339	2386	400
78772	2736	71
73363	967	6
63953	2712	322
73590	778	0
74971	1722	0
15284	2149	56
66112	2161	14
67247	1883	860
100316821	82	0
226777	2853	739
226778	4565	1274
98732	6988	1229
100217449	113	0
381314	3540	1425
387189	67	0
387211	112	2
23827	2182	446
107508	4850	3260
319562	3406	1
100039138	2761	0
226781	5836	0
114668	709	0
226791	1577	137
21808	4725	579
67223	1213	700
110957	3212	116
74717	1645	6
69308	823	5
67769	4565	353
100862400	1119	29
26381	5580	17
320272	2212	0
22283	15891	0
226823	3703	1412
16526	3959	199
100042424	516	534
100039307	642	1
108000	11130	223
19250	10746	10261
226830	1605	1584
19130	4139	29
100504619	832	0
320119	3995	504
52477	3349	811
226841	4190	469
226844	4087	2789
100125339	1649	3
75558	428	0
68972	1258	150
381318	2973	64
381319	712	18
619288	2234	104
11910	1977	38942
100504360	568	22
100861628	406	0
66208	658	258
66950	4204	296
226849	3082	757
100504379	2421	0
76843	4202	757
77065	3252	945
226856	7246	6224
18005	3197	234
98736	4362	57
22782	5230	1627
74023	3720	1
22033	2102	414
100628582	81	1
100042625	720	511
214742	1597	369
100038712	2612	21
16510	7143	2240
226861	2835	263
320952	2041	2
73455	404	0
214791	3401	661
100503471	624	340
329324	1731	0
215193	5548	399
54139	4125	3120
319266	3834	310
215243	2121	0
15483	1446	11
14373	843	0
100503531	873	0
16780	4055	16252
215303	2453	52
387201	68	2
74942	578	0
18845	11036	479
100628615	64	0
12490	2621	886
320400	2491	3
320977	5195	35
723963	81	0
387224	88	0
17221	1213	13
12946	1662	686
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	3
70337	1540	1
213783	7415	558
270685	4332	243
83397	6247	7427
381990	3227	1514
66084	1849	115
73419	2290	37
100504234	2151	12
13982	4319	126
64009	18115	1554
68632	2777	134
22353	1527	3
67141	1807	96
108853	2621	114
56533	8191	2
100041224	522	0
18390	2639	0
320495	8240	0
215748	3448	2338
77777	1819	33
237253	3403	23
18537	1917	983
320642	1253	3
69912	1290	156
407824	2188	72
16798	7215	3940
23924	1775	1520
215751	1557	1204
100503695	916	12
67418	2896	1588
237256	4093	8
100628581	94	0
68652	4278	3633
338362	4284	299
70097	7183	3728
791352	3151	0
320825	2495	273
620417	2980	0
78808	9074	1174
215772	5218	5
67844	2054	73
382450	3785	0
14816	6990	0
78056	444	0
268281	9293	345
71865	5114	4706
13853	1079	25
22288	12382	7403
320273	1182	21
74732	2396	777
66125	734	406
22634	5260	928
100862331	414	0
75122	1053	0
353258	1769	1169
215789	8913	1110
66848	3954	632
56535	2405	314
66757	1453	127
66253	1054	275
15273	9768	2529
100504211	3928	11
215798	6505	1157
100039571	514	244
66201	1325	402
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1129
378431	4457	14
380629	3667	1632
73112	810	570
19707	2618	1072
100045792	2900	2
215814	1166	66
215819	7638	4743
56016	1910	261
215821	8216	5
237300	2355	0
73968	2928	0
64058	1901	8269
21929	4595	1445
100504265	6220	0
94222	2066	0
15979	2099	751
237310	2468	0
237313	2088	73
76157	2629	15
18634	1894	304
26408	5393	863
17761	3895	1813
73811	629	1
621697	592	2462
72567	5454	4516
71804	2307	366
29863	4127	194
52906	5094	289
100038717	3304	0
100504283	1667	0
17863	3777	51
56422	4893	1675
73990	1016	4
237320	2243	4
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	33783
114671	1771	0
319887	2292	0
379043	1274	8
667281	952	1
606736	4515	1
56554	1271	1
100038752	4548	0
353169	3762	90
237336	2875	570
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	0
20042	518	330
100529074	105	31
100529075	68	33
76306	2837	234
26464	1811	0
22361	2416	116
111174	999	1
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	1343
100862153	747	0
59012	3083	4438
14219	2403	13668
18605	3224	1586
209558	2815	157
70208	4946	587
11846	1477	40
432442	3123	343
13822	4464	3862
100504474	674	1
73803	865	0
215866	1543	0
77220	4115	942
100040851	1193	2
268288	3554	4
237339	3411	495
667572	1206	0
73910	3616	371
16773	9713	93
100040961	485	44
19272	6177	3464
210757	3981	0
100504516	4347	0
114676	1545	70
67719	1319	0
67412	3948	0
212448	5644	2
52665	3180	103
68031	4404	564
72780	2397	2
100504540	2648	0
66311	1512	59
73681	2359	159
100504586	3440	94
66847	696	88
211329	5338	512
15214	2532	51
69692	718	223
21987	1267	172
100041294	710	151
268291	2860	571
432450	3745	61
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	8
72580	2364	135
414093	7840	13
66521	1082	192
692132	1185	0
270711	3714	0
103511	1786	44
215900	1082	4
212898	4225	693
22110	2696	996
72480	3900	142
319638	2716	315
12813	3130	3
14302	4805	271
100041585	3201	5461
319415	3098	1
15182	2004	1982
17118	4186	2781
215919	1054	0
16775	6046	1619
66337	730	78
71924	2929	42
327743	1418	14
14360	3692	783
100504626	1313	8
103213	2867	336
327744	1664	84
19714	10666	1681
100504659	947	3
213332	781	21
75299	2400	1
72045	2285	1
100041085	1782	1
215928	5981	1
215929	2679	0
72472	6556	449
67239	1890	288
67371	1020	294
19850	104	1
11702	3206	1575
78334	5807	742
70840	2243	0
70503	3000	94
327747	1529	26
71713	3366	873
83767	2550	96
100504721	508	13
140741	1092	0
103199	3263	302
633979	5640	13
268294	2831	148
171580	3563	479
20598	1602	461
73075	1070	41
53599	2830	9306
75973	2749	12
70538	617	0
629461	2137	3
100628609	55	0
103268	2392	112
140742	3339	430
213402	4865	20
624784	2896	493
56484	2889	1386
215951	2513	122
