EntrezID	Length	MCL1-LB_BC2CTUACXX_TGACCA_L001_R1
93690	3860	0
73122	5538	692
98404	3457	271
14200	1563	467
666642	647	1091
17974	2775	4109
100861934	1421	11
78896	888	35
67883	1263	332
100503192	585	756
22019	4649	2773
433294	1086	0
75623	1265	429
72050	2324	463
246229	3571	200
22592	4010	379
100861960	766	0
403183	3181	0
70676	2976	239
75066	906	0
12825	5564	783
12832	6615	87
73674	2612	879
433297	641	2141
53945	3380	145
100042453	717	4
212225	3483	0
227058	12318	14
100101919	12384	2
227059	4961	526
442837	542	0
56363	3339	4
442821	2552	0
20324	3055	940
109019	2838	3927
100045066	3051	6
17912	5042	1750
20849	2981	27
100042634	432	0
20846	5356	879
14660	7488	4909
17936	5088	4049
227094	3394	171
98682	5591	2573
16329	1776	224
227095	1704	361
67080	834	5
17700	2682	0
69397	627	0
227099	3032	140
227102	1846	371
72085	2283	111
70396	2362	618
627872	12272	4
98267	3278	369
329152	11336	12
78016	3807	5
98488	3005	272
241062	10579	315
329154	6140	270
81898	6192	15956
67876	1733	5033
15510	2332	5944
15528	768	1189
19070	2826	1452
74013	3677	298
212679	2882	300
75388	1258	2
227120	6555	67
626009	1369	96
329159	1906	0
71066	1408	0
212712	5286	16
329160	3728	6
407809	3304	0
75323	2052	8
73467	3008	64
68736	1442	207
68115	1325	481
67198	4045	290
51960	2733	176
68549	5416	91
11761	4382	190
71724	4360	20
71872	4973	8
213043	4776	20
66882	2833	7383
12747	3088	6132
70225	1630	294
65102	2105	280
18393	3371	553
100504455	2126	2
213056	8695	374
66495	532	700
100504501	936	57
108812	1579	4
12633	7814	1315
12370	2777	805
70827	6240	2015
227154	2318	89
73463	2131	1
381259	1972	236
227157	3087	2
74018	7038	738
271697	1477	1
14369	4809	815
381260	3595	24
22218	1215	2025
55989	1976	5874
100217459	53	3
100217421	63	1
12168	3507	818
100504533	314	60
72750	5532	890
70375	3650	5
57750	3376	263
241066	2604	68
100504573	431	1190
269198	12108	692
77951	1501	464
329165	5974	477
77300	9117	1304
100043027	207	433
100042533	791	16
12487	4317	3
100504618	845	0
12477	1931	0
54167	3254	2
77341	892	0
72823	8392	379
18187	8122	245
74992	895	0
227195	13529	2039
100380944	1802	35
100504668	1301	11
227197	2927	1480
55949	1933	21272
100217464	113	36
241070	1606	4
73884	12621	75
23792	6879	2
241073	2427	1
76668	1711	0
75619	3205	584
74426	1756	4
433315	1432	2
93691	1344	411
12912	8421	1089
67099	2666	124
69941	713	30
227210	2927	423
14367	6914	1241
241075	8562	277
70861	1353	0
667276	1020	19
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	1
15926	2438	495
18711	11255	550
213527	2414	0
12969	622	0
17756	5520	2443
100038569	1663	1
329178	13533	64
66646	2630	801
68691	4760	778
11363	1892	2415
100862127	515	14
17901	1111	2
14768	4461	834
227231	4704	1
13869	4257	170
100502712	2069	0
22779	9424	354
66722	2270	0
320460	4655	0
12021	5448	97
74591	8323	0
108147	2611	1435
14268	8312	334
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	5
381269	2493	49
111175	1186	152
271711	2815	0
22596	2556	521
381270	4187	0
54380	6715	415
319695	4573	1
19981	588	289
16008	1330	21
16011	5854	53177
21958	427	0
69449	571	0
723792	1560	121
78718	551	7
109198	1801	0
21961	9966	455
435626	2336	28
100862357	817	0
12765	3043	2
227288	1125	0
100316687	67	0
76709	1597	5026
227289	990	2
227290	1820	4299
56695	3501	389
69660	2309	4610
241112	2101	0
18173	2304	7
227292	2776	1080
387219	85	1
22349	3117	6
319651	7196	1364
58184	3266	967
18802	3121	22
77264	7472	808
66821	1829	343
57751	1475	665
269209	5235	176
67534	4253	975
104086	1890	12
241113	2832	0
22420	2068	4
22409	1962	11
12570	2704	0
260298	1479	0
12958	702	0
723900	64	0
241116	5718	1
16147	2444	6
75570	860	72
22626	2059	57
69171	2738	1124
227298	2557	1696
68818	1299	481
74104	2934	348
245860	3764	1079
52231	2764	389
74577	3451	191
20872	2885	976
22145	2053	5775
381272	767	6
56812	3203	1697
19275	3535	29
19711	710	0
13437	1946	1419
13346	2150	26
100503248	676	0
11790	11933	214
69080	1528	949
100862164	449	0
241118	2650	5
74241	3235	1148
319998	2185	80
98733	5770	435
16322	1463	114
71728	4458	838
20536	4441	526
100862333	771	0
620079	2188	0
13838	6328	338
18505	3868	0
100039210	1208	0
433323	3998	5
23874	2132	1005
68393	1206	2
74205	3950	3254
195434	3981	521
57814	2463	61
20254	2485	0
100862182	832	0
252903	2876	218
69368	4714	1077
100038695	1791	0
69163	1424	308
100862198	480	0
20720	2055	50
241128	2862	1
26554	2764	3877
72208	394	0
210293	7303	22
241134	4919	0
16367	9163	1121
100503073	3039	15
76867	3757	1116
100503095	2833	6
12829	7808	10
12828	8609	5
75734	1866	927
66261	1503	2
100044526	654	28
15463	3137	2803
80721	2974	11
71386	992	0
20297	802	26
71227	1670	2
77629	6512	0
98496	2667	5
227325	3632	0
100628595	77	0
14897	9632	4650
66153	900	49
71781	2349	0
100503433	891	4
381287	1760	3
621875	1334	0
100040135	1348	3
665378	1621	13
620078	1971	3
100040213	891	5
100039794	1073	42
665338	891	1
109032	1971	108
434484	2417	207
100503502	852	1
100503045	659	0
20684	2158	100
319997	1936	17
12283	3800	4449
64294	2024	2876
71141	1148	0
227326	2550	6
70060	1602	0
72792	3331	20
70247	3256	3842
15559	2072	2
78795	5258	219
100861644	653	2
227327	2595	384
383538	483	0
17975	8257	26548
100303740	116	16
80828	68	0
319336	1266	16
14767	1218	0
71863	1721	0
19231	1192	30663
18582	1092	159
26895	2231	219
18159	1042	20
208718	3171	545
11650	2113	0
76768	2337	0
11648	1680	2
13599	2698	4
69453	1999	4
11447	2910	0
11449	1921	0
26987	4928	1489
98363	1805	38
227331	5743	1409
100040591	1349	7
73234	462	82
53972	3384	596
319977	1676	8
620454	1602	306
23956	2018	44
16331	4938	10
77040	3180	804
100217415	248	4
20215	1718	12
100503175	947	1
227333	5694	2333
227334	5316	277
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	2
94284	3302	2
394433	3208	0
22236	3206	0
15504	1017	9
394436	3229	0
100040766	7526	0
381280	8439	184
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	0
100503197	2622	2
320982	3967	772
78650	476	2
73475	603	1
98402	3673	2422
77331	591	0
347722	9581	1684
74403	3611	1
14472	2126	0
208372	1404	0
74918	3210	0
12778	2579	563
108679	1843	1595
433332	1207	0
12835	10841	6001
171531	4484	4148
623503	261	7
19329	1950	1189
16978	5743	4763
329207	3851	3
51801	3022	301
67921	1363	1073
665783	892	314
50880	2207	884
227357	5442	58
100503326	684	0
70788	3020	5
227358	2815	107
67444	1368	1040
67086	547	0
55927	1335	505
18627	5837	6736
74019	3500	235
65247	6072	190
13345	1312	2
208727	3960	528
67273	1220	1572
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	776
260301	704	2
14733	3552	1044
100504295	543	0
387167	66	0
241158	3243	7
67446	1491	180
108657	3039	1384
100037260	1689	1
23830	2877	222
64095	4396	49
208760	1088	0
16560	8257	31
11611	1517	2
71874	2362	147
381284	7348	4
208777	4474	207
69821	3315	450
269224	5119	288
66385	3653	859
404545	3217	7
110611	6238	19592
18000	3335	4340
227377	3912	323
59041	3254	3127
51800	1432	116
67026	2160	553
66615	2964	1153
21915	1310	922
66262	4539	1066
98314	3058	182
381334	2846	10
100041596	1185	2
666009	570	5
619597	4059	1
241159	4511	0
18566	1930	0
74689	1565	0
67698	2107	320
20452	5677	10
75381	761	0
100504401	921	288
73454	356	0
75159	583	0
227394	2394	2
329217	3849	9
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	1
52392	2738	851
227399	5565	1334
252876	2041	101
18484	4103	2508
78603	1178	10
69030	1687	0
70866	2328	0
100504494	800	163
241175	5120	2
100504525	886	0
23836	3722	0
320311	8529	27
100504568	1284	1
27392	6777	1139
227446	5406	1263
100042023	231	399
21934	5022	258
635504	465	12
227449	6661	934
626049	545	0
98432	6104	1680
12043	7749	841
320761	1243	0
70750	5582	717
20479	3272	2233
20724	2565	2886
71869	1735	0
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	1
66957	1699	25
116872	1887	0
18788	2047	1
241197	3490	1
20725	3289	101
241201	3353	0
227485	3054	9
319901	5763	353
636808	3915	0
634762	729	0
22099	3040	1284
67949	1894	1294
76707	7899	1496
68204	597	8
81879	9270	1567
14633	6708	46
16324	4255	4371
100502628	748	0
64143	2277	2261
226351	2830	879
226352	7746	1108
19258	4707	681
66343	3301	42
226356	2511	0
319229	1924	0
170706	1017	30
13167	745	3891
73103	1089	53
68428	3177	323
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	565
70829	7256	436
15564	2019	0
66942	2249	404
100502702	453	0
269109	4630	1
74117	2746	3669
74150	2597	1961
71111	2690	24
72585	2047	0
210356	7593	409
107895	3104	868
667090	484	1753
72160	2517	2
266645	2303	0
100502745	464	5
72949	3514	1531
22625	3936	1
226407	4251	1734
226409	4154	241
226412	4812	1731
387147	70	0
67812	4093	3716
226413	6166	2
17219	2901	2317
226414	2509	1832
12767	1814	1305
210417	6253	0
100042740	613	267
13137	1324	347
13136	2527	2008
22789	2034	0
12269	1883	0
12270	754	11
18640	9621	2280
226418	3843	759
212439	2909	759
64435	1911	8
100502856	1065	3
18703	3849	737
69169	1491	3
93672	1116	96
58181	824	1
329244	1023	2
16153	1306	4
17164	2567	5998
226419	2072	833
16865	2290	988
54354	3405	373
56489	3203	186
14270	8040	797
108900	2105	28
26361	4148	0
13034	2120	179
226421	2523	1698
320718	3640	422
212933	3540	96
98396	4660	3232
226422	1189	171
98415	6096	2147
212980	3426	1971
13714	3671	1036
213006	4853	354
18557	3046	1625
723818	97	0
213409	958	0
213417	4269	58
74137	3132	713
68875	3410	504
213452	6385	1047
213464	3632	708
74626	1742	42
21367	9535	7
269116	10379	22
100038653	1879	0
16980	3346	64
17248	3490	1005
240752	7929	587
108954	5588	3328
240753	7457	3926
100502933	3112	21
68338	1842	0
280287	496	5
19701	1423	1
214253	2279	68
20668	3531	707
20643	492	534
70579	4395	6648
667118	5007	2579
240754	2371	5
381290	8292	196
269120	2074	10
116847	3602	2049
100502984	884	0
14264	2859	10
100502999	532	11
12227	3083	20807
667414	432	5
71884	1711	20
12654	1689	2871
53311	1829	60
11539	5786	83
17928	1480	0
68507	6067	28
57439	3169	2557
240755	1770	0
72017	1626	837
72674	2024	2986
100861791	590	0
240756	3196	529
98710	1960	743
100503055	641	5
71001	1457	2
75605	6300	3893
20980	3386	3
329251	6185	214
67196	1079	66
329252	3623	1043
13924	6089	578
100038590	915	1
320139	3264	5
68724	1702	1833
171469	2253	4
13710	2000	8038
215615	2301	3199
21854	917	666
93689	3942	189
77552	1190	93
226432	6236	1704
215690	12767	416
13007	1770	10004
27280	1467	296
21952	1114	2
16763	2992	3152
21956	1194	93
18772	4486	1512
226438	8996	0
66241	1750	948
12292	6260	0
329253	508	0
16565	9119	319
76422	2922	13
67313	3013	918
100042513	584	0
383563	1960	5
67886	7823	2238
320054	2097	11
67997	2228	182
381293	8770	123
71084	1846	0
226442	5275	1016
100503460	489	11
100503474	1199	2
667686	385	86
26424	3857	4
320138	3023	0
735252	87	0
723890	80	0
19264	5664	4
338375	1887	0
59125	3366	9932
545363	1930	0
16876	5750	1
69549	571	67
75546	410	0
329260	8314	671
170788	4702	0
71209	1111	0
226470	8362	1022
12316	9866	251
14060	2378	1
50702	1732	0
624286	999	0
214403	2887	0
545366	1602	0
12628	4365	33
240776	3957	1
75910	551	0
226472	591	0
214498	2678	1224
26878	4578	0
69367	3730	308
20822	8721	553
56207	1851	823
19735	3009	1651
100861894	494	0
246709	1497	0
50778	1330	6
624910	459	0
64214	1859	0
215378	3172	0
100043240	3910	77
791353	1179	0
100503781	490	0
18783	2846	949
320019	1098	0
19225	4150	620
100043257	532	3371
100043261	345	10
20028	1247	0
75584	610	0
226499	3242	632
108989	7550	3664
96875	4278	11
545370	18316	45
402734	2640	0
73176	1674	0
117198	5037	7952
66875	3668	369
98685	2665	423
19821	3028	1477
100503012	373	469
63913	3939	111
66967	6604	2296
69399	9754	1676
66637	1133	140
269132	4056	72
19731	3887	113
100861876	505	2
71281	1566	0
67771	1897	3646
100503084	519	2
17970	2596	27
226517	6069	2926
226518	4523	42
16782	5164	4310
226519	7622	3638
626058	2827	1
71836	2045	5
13211	4613	7918
74091	1403	8
67792	5804	2
329271	3337	0
19734	2335	465
24014	4758	1200
240816	3640	3
240817	1654	0
433365	2527	0
240819	1415	1
14645	2782	15838
100861882	573	0
207678	1877	0
78112	613	0
12290	12697	1
15939	3270	16841
15064	2509	524
58244	2459	1368
207792	4611	38
100503411	2791	0
19775	7651	2013
433367	1751	2
72482	1942	1004
16872	1853	0
100861926	688	0
104009	3361	3333
74081	13307	1361
208263	4439	2746
240832	8112	4399
329274	3687	0
214575	3443	28
170484	3108	7
77352	3297	2
20652	4785	268
11352	10714	2171
30935	3268	598
100503836	636	0
215015	4238	1781
78255	7133	228
72713	2190	1
73435	898	2
226525	10046	460
69953	1194	185
226527	1289	136
89867	4651	152
100504090	420	33
240843	4101	0
11899	7224	0
735253	109	0
23850	8585	1
72025	2475	0
26374	5056	361
100217414	118	3
21960	5395	10
67647	5391	3177
75255	887	35
329278	5812	6
64659	1970	656
12301	2115	1166
29809	9489	691
100316784	109	0
620246	1086	0
620750	465	2
381305	11011	2970
11905	2162	4
240869	3883	130
14455	2554	4837
100628588	91	0
100217446	65	23
226539	3581	238
70454	4327	237
226541	4037	203
73844	3723	0
100502590	954	0
11758	2334	3653
22164	1609	2
240873	2064	10
14103	1935	0
226551	6308	2474
75368	1164	0
67292	3301	271
103967	7523	57
72753	919	1
474332	7928	2
723821	110	0
387210	110	0
71449	2791	226
53330	2532	208
17926	2080	6
100038657	741	0
226562	10444	7996
226564	1787	15
14261	2326	415
55990	3336	1193
226565	1870	0
14262	2010	75
78258	2956	0
18933	7448	32
98376	2509	257
240879	1053	0
16579	3907	453
240880	4069	554
381306	2912	123
69962	1457	50
20339	2912	422
20343	2321	1
20344	3438	1774
100503816	1241	31
14067	7406	30
116914	3546	1305
74895	1896	223
66352	4035	925
171567	3011	441
11931	2422	4659
56429	1636	99
433374	1588	2
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	2920
226591	4395	1006
240888	1943	13
74106	3306	1248
70456	854	950
271639	5209	12
68481	2356	2476
100503268	612	2
226594	2670	30
100503283	1514	0
433375	2125	704
12503	4604	1
18986	13123	494
240892	4025	2
59290	2293	3
98558	1546	1
100039795	8260	38
100503318	2514	7
27878	2145	521
71592	7372	1533
226601	1744	1
226604	3012	33
240894	3065	25
100503962	936	0
226610	4986	1
80914	1338	1098
68944	4474	876
100862084	376	0
56752	2833	1312
66447	635	532
240899	1137	0
100503977	287	3
20183	2363	0
110648	3338	2
18514	9027	2375
66977	2405	199
19737	1809	60
100862094	1412	35
19736	2941	56
78465	1440	8
15490	4574	592
67303	1135	0
18214	8290	44
107652	2283	2952
16589	2024	429
545378	399	2
622708	1691	0
26904	1433	7
665574	3833	1194
76925	713	3
70729	3684	443
320078	3095	218
226641	7463	2415
80915	1374	242
435653	1284	0
98752	1727	0
14130	1547	3
246256	1250	2
14131	1353	2
75472	1034	133
66052	1179	2021
17528	1993	27
66425	1575	8
12355	1414	1
641376	2920	411
11807	521	0
14127	658	7
226646	1606	3394
240913	3673	834
57370	1998	1423
19044	1821	668
30941	2185	418
66155	964	659
100862110	308	0
100504072	1662	3
21945	2733	702
27045	1374	474
18637	622	789
68874	1555	59
71740	3504	2425
226652	4488	26
22278	1822	303
226654	551	8
16456	2482	6201
56009	1273	39
16429	1140	3
18106	3758	0
17085	2449	0
75345	3977	0
12506	1142	0
100041098	195	573
27218	2688	1
12523	6253	1
100038548	2574	0
100862186	671	0
30925	2443	0
93840	2260	116
18071	2487	2
59287	2855	2731
12847	4629	6119
100504176	730	0
19298	3131	1243
98193	3743	2539
18611	2477	948
12372	1874	5
27222	3485	0
98660	6227	21
140559	2234	2196
16524	3270	0
16513	5407	0
67556	7569	1015
100862199	620	0
98365	1145	0
93842	4249	798
21346	1382	6828
71870	1822	95
71319	941	12
240916	1879	6
74748	2040	0
677296	1914	0
68440	1417	16
100040320	811	2
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	425
94332	4159	47
383619	2541	20
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	11
15951	2296	38
100504287	1468	14
666028	634	6
100040462	1908	18
381308	1651	17
15950	3793	43
26388	1796	462
226695	1613	9
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	3
24012	2487	0
14194	1632	1903
98256	2498	0
13603	1721	111
12663	6117	814
75820	3817	0
26909	5506	144
319455	3894	1
545389	6930	164
723921	99	0
76816	2619	185
15365	1510	84
23797	4735	732
30928	5106	901
75589	698	0
69428	749	16
11566	2553	2755
631584	2790	70
545391	1663	10
78825	4214	1443
791357	1199	21
75164	651	0
666295	875	8886
320110	427	2
66359	448	382
51810	3670	14393
68226	2539	32
269152	7406	17
69726	3769	364
15278	2448	164
226744	4545	638
109232	1922	531
226747	8831	3451
100503705	1428	0
226751	8656	1983
67426	4076	314
19165	2084	425
277333	3581	6
320404	5101	1073
381310	6557	15
11545	3827	1782
72568	3377	402
27217	2294	0
170760	3471	2455
100504581	591	0
15078	1076	547
208768	3189	2229
100504598	177	8
320202	2462	1
100862334	599	0
69051	1599	257
13590	1604	5
208795	3239	1181
13849	1665	2559
619326	1898	0
67459	3060	692
98417	3268	1029
226757	7047	6513
329307	2505	2
72978	2727	3
403180	1819	5
240960	13996	15
98386	3552	1094
433384	1343	0
13800	4288	988
27058	1388	627
625823	921	0
13244	2005	1314
67330	686	0
67948	4913	1187
209456	4370	4255
12334	3185	2817
170725	3705	519
433386	2055	0
96935	2035	177
53791	3199	282
68897	5030	60
71678	3456	817
108909	3293	449
338366	6678	2871
21339	2386	738
78772	2736	1793
73363	967	17
63953	2712	606
73590	778	0
74971	1722	0
15284	2149	5
66112	2161	0
67247	1883	1404
100316821	82	0
226777	2853	2282
226778	4565	36
98732	6988	1466
100217449	113	0
381314	3540	1802
387189	67	1
387211	112	0
23827	2182	983
107508	4850	3897
319562	3406	0
100039138	2761	0
226781	5836	1
114668	709	0
226791	1577	373
21808	4725	1099
67223	1213	706
110957	3212	60
74717	1645	1
69308	823	0
67769	4565	566
100862400	1119	43
26381	5580	376
320272	2212	0
22283	15891	1
226823	3703	1479
16526	3959	5
100042424	516	517
100039307	642	0
108000	11130	339
19250	10746	1162
226830	1605	1669
19130	4139	140
100504619	832	0
320119	3995	460
52477	3349	815
226841	4190	35
226844	4087	2821
100125339	1649	7
75558	428	2
68972	1258	128
381318	2973	79
381319	712	14
619288	2234	179
11910	1977	41185
100504360	568	70
100861628	406	3
66208	658	195
66950	4204	242
226849	3082	753
100504379	2421	1
76843	4202	862
77065	3252	1435
226856	7246	6435
18005	3197	391
98736	4362	17
22782	5230	1812
74023	3720	6
22033	2102	27
100628582	81	0
100042625	720	595
214742	1597	208
100038712	2612	8
16510	7143	2230
226861	2835	223
320952	2041	2
73455	404	1
214791	3401	1261
100503471	624	158
329324	1731	2
215193	5548	392
54139	4125	4119
319266	3834	267
215243	2121	3
15483	1446	19
14373	843	0
100503531	873	0
16780	4055	1645
215303	2453	8
387201	68	0
74942	578	0
18845	11036	123
100628615	64	0
12490	2621	192
320400	2491	4
320977	5195	27
723963	81	0
387224	88	0
17221	1213	12
12946	1662	996
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	10
70337	1540	1
213783	7415	517
270685	4332	266
83397	6247	1997
381990	3227	1066
66084	1849	139
73419	2290	138
100504234	2151	42
13982	4319	1525
64009	18115	434
68632	2777	23
22353	1527	0
67141	1807	135
108853	2621	112
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	4
215748	3448	722
77777	1819	78
237253	3403	29
18537	1917	1257
320642	1253	9
69912	1290	175
407824	2188	58
16798	7215	3761
23924	1775	1042
215751	1557	926
100503695	916	15
67418	2896	1609
237256	4093	6
100628581	94	0
68652	4278	3247
338362	4284	43
70097	7183	2672
791352	3151	2
320825	2495	1400
620417	2980	0
78808	9074	563
215772	5218	0
67844	2054	118
382450	3785	3
14816	6990	0
78056	444	0
268281	9293	293
71865	5114	1775
13853	1079	32
22288	12382	2405
320273	1182	42
74732	2396	417
66125	734	651
22634	5260	818
100862331	414	0
75122	1053	0
353258	1769	1304
215789	8913	402
66848	3954	1160
56535	2405	420
66757	1453	198
66253	1054	368
15273	9768	2266
100504211	3928	10
215798	6505	604
100039571	514	319
66201	1325	607
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	937
378431	4457	2
380629	3667	1091
73112	810	696
19707	2618	1213
100045792	2900	0
215814	1166	116
215819	7638	2582
56016	1910	352
215821	8216	130
237300	2355	0
73968	2928	0
64058	1901	1874
21929	4595	5084
100504265	6220	0
94222	2066	0
15979	2099	971
237310	2468	1
237313	2088	5
76157	2629	33
18634	1894	424
26408	5393	681
17761	3895	1803
73811	629	0
621697	592	3160
72567	5454	5098
71804	2307	171
29863	4127	246
52906	5094	121
100038717	3304	1
100504283	1667	0
17863	3777	605
56422	4893	2056
73990	1016	17
237320	2243	1
76924	485	0
67692	1061	1
432436	2206	3
20393	4158	28951
114671	1771	0
319887	2292	2
379043	1274	5
667281	952	3
606736	4515	0
56554	1271	4
100038752	4548	0
353169	3762	111
237336	2875	483
100504411	1274	0
100038582	2198	0
21412	1239	0
14051	4099	2
20042	518	283
100529074	105	19
100529075	68	21
76306	2837	224
26464	1811	0
22361	2416	0
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	774
100862153	747	0
59012	3083	11
14219	2403	2080
18605	3224	505
209558	2815	1542
70208	4946	767
11846	1477	2715
432442	3123	90
13822	4464	657
100504474	674	0
73803	865	0
215866	1543	6
77220	4115	4
100040851	1193	0
268288	3554	0
237339	3411	216
667572	1206	0
73910	3616	531
16773	9713	38
100040961	485	62
19272	6177	4744
210757	3981	0
100504516	4347	0
114676	1545	88
67719	1319	3
67412	3948	0
212448	5644	0
52665	3180	203
68031	4404	694
72780	2397	1
100504540	2648	0
66311	1512	98
73681	2359	232
100504586	3440	121
66847	696	127
211329	5338	324
15214	2532	70
69692	718	730
21987	1267	172
100041294	710	363
268291	2860	390
432450	3745	0
76757	4514	1
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	2
72580	2364	233
414093	7840	15
66521	1082	201
692132	1185	4
270711	3714	2
103511	1786	11
215900	1082	4
212898	4225	336
22110	2696	1102
72480	3900	60
319638	2716	433
12813	3130	0
14302	4805	418
100041585	3201	5179
319415	3098	0
15182	2004	1568
17118	4186	1614
215919	1054	0
16775	6046	731
66337	730	9
71924	2929	94
327743	1418	3
14360	3692	129
100504626	1313	0
103213	2867	836
327744	1664	77
19714	10666	4173
100504659	947	0
213332	781	39
75299	2400	9
72045	2285	3
100041085	1782	10
215928	5981	2
215929	2679	1
72472	6556	104
67239	1890	261
67371	1020	578
19850	104	2
11702	3206	1508
78334	5807	3961
70840	2243	0
70503	3000	170
327747	1529	64
71713	3366	727
83767	2550	62
100504721	508	23
140741	1092	0
103199	3263	332
633979	5640	0
268294	2831	245
171580	3563	133
20598	1602	718
73075	1070	60
53599	2830	42410
75973	2749	492
70538	617	15
629461	2137	115
100628609	55	0
103268	2392	133
140742	3339	394
213402	4865	9
624784	2896	730
56484	2889	2032
215951	2513	216
