EntrezID	Length	MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1
19070	2826	1152
74013	3677	110
212679	2882	216
75388	1258	0
227120	6555	962
626009	1369	107
329159	1906	0
71066	1408	0
212712	5286	8
329160	3728	2
407809	3304	0
75323	2052	9
73467	3008	70
68736	1442	197
68115	1325	259
67198	4045	1151
51960	2733	177
68549	5416	55
11761	4382	435
71724	4360	5
71872	4973	2
213043	4776	3
66882	2833	5959
12747	3088	3781
70225	1630	214
65102	2105	123
18393	3371	329
100504455	2126	4
213056	8695	155
66495	532	630
100504501	936	60
108812	1579	4
12633	7814	2479
12370	2777	333
70827	6240	3198
227154	2318	114
73463	2131	0
381259	1972	365
227157	3087	19
74018	7038	1519
271697	1477	107
14369	4809	8459
381260	3595	3
22218	1215	1466
55989	1976	15650
100217459	53	4
100217421	63	1
12168	3507	1872
100504533	314	134
72750	5532	1225
70375	3650	14
57750	3376	195
241066	2604	76
100504573	431	664
269198	12108	1157
77951	1501	231
329165	5974	843
77300	9117	1259
100043027	207	318
100042533	791	6
12487	4317	2
100504618	845	0
12477	1931	1
54167	3254	0
77341	892	0
72823	8392	323
18187	8122	1510
74992	895	4
227195	13529	1726
100380944	1802	31
100504668	1301	7
227197	2927	1561
55949	1933	8897
100217464	113	56
241070	1606	5
73884	12621	69
23792	6879	16
241073	2427	0
76668	1711	0
75619	3205	250
74426	1756	1
433315	1432	1
93691	1344	430
12912	8421	731
67099	2666	159
69941	713	23
227210	2927	705
14367	6914	1040
241075	8562	435
70861	1353	0
667276	1020	18
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	11
15926	2438	927
18711	11255	453
213527	2414	1
12969	622	0
17756	5520	3852
100038569	1663	1
329178	13533	33
66646	2630	549
68691	4760	1925
11363	1892	2341
100862127	515	5
17901	1111	0
14768	4461	1078
227231	4704	0
13869	4257	8
100502712	2069	0
22779	9424	384
66722	2270	0
320460	4655	0
12021	5448	68
74591	8323	39
108147	2611	960
14268	8312	609
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	4
381269	2493	299
111175	1186	267
271711	2815	11
22596	2556	1172
381270	4187	13
54380	6715	607
319695	4573	0
19981	588	181
16008	1330	28554
16011	5854	55364
21958	427	0
69449	571	1
723792	1560	87
78718	551	14
109198	1801	2
21961	9966	27489
435626	2336	134
100862357	817	0
12765	3043	1
227288	1125	0
100316687	67	0
76709	1597	5041
227289	990	1
227290	1820	3676
56695	3501	702
69660	2309	3734
241112	2101	12
18173	2304	32
227292	2776	1110
387219	85	1
22349	3117	27
319651	7196	1800
58184	3266	441
18802	3121	48
77264	7472	1038
66821	1829	243
57751	1475	558
269209	5235	82
67534	4253	492
104086	1890	156
241113	2832	19
22420	2068	1799
22409	1962	1163
12570	2704	3
260298	1479	0
12958	702	0
723900	64	0
241116	5718	0
16147	2444	1
75570	860	52
22626	2059	54
69171	2738	497
227298	2557	475
68818	1299	220
74104	2934	355
245860	3764	931
52231	2764	118
74577	3451	238
20872	2885	674
22145	2053	4726
381272	767	1
56812	3203	1048
19275	3535	41
19711	710	0
13437	1946	522
13346	2150	183
100503248	676	1
11790	11933	3282
69080	1528	1156
100862164	449	0
241118	2650	42
74241	3235	2032
319998	2185	249
98733	5770	1162
16322	1463	171
71728	4458	307
20536	4441	1642
100862333	771	0
620079	2188	0
13838	6328	1770
18505	3868	0
100039210	1208	0
433323	3998	9
23874	2132	784
68393	1206	4
74205	3950	1930
195434	3981	724
57814	2463	359
20254	2485	0
100862182	832	0
252903	2876	72
69368	4714	441
100038695	1791	0
69163	1424	131
100862198	480	0
20720	2055	276
241128	2862	1
26554	2764	4481
72208	394	0
210293	7303	42
241134	4919	0
16367	9163	659
100503073	3039	2
76867	3757	1483
100503095	2833	3
12829	7808	312
12828	8609	320
75734	1866	1230
66261	1503	1
100044526	654	12
15463	3137	1728
80721	2974	52
71386	992	1
20297	802	5
71227	1670	0
77629	6512	0
98496	2667	86
227325	3632	1
100628595	77	0
14897	9632	5520
66153	900	12
71781	2349	7
100503433	891	0
381287	1760	2
621875	1334	1
100040135	1348	1
665378	1621	7
620078	1971	8
100040213	891	0
100039794	1073	47
665338	891	1
109032	1971	196
434484	2417	234
100503502	852	0
100503045	659	0
20684	2158	87
319997	1936	6
12283	3800	3217
64294	2024	7862
71141	1148	4
227326	2550	2
70060	1602	0
72792	3331	30
70247	3256	3483
15559	2072	15
78795	5258	338
100861644	653	0
227327	2595	23
383538	483	0
17975	8257	24632
100303740	116	44
80828	68	0
319336	1266	19
14767	1218	0
71863	1721	0
19231	1192	22808
18582	1092	235
26895	2231	143
18159	1042	47
208718	3171	347
11650	2113	0
76768	2337	0
11648	1680	1
13599	2698	15
69453	1999	1
11447	2910	0
11449	1921	0
26987	4928	1339
98363	1805	161
227331	5743	769
100040591	1349	133
73234	462	0
53972	3384	4
319977	1676	0
620454	1602	319
23956	2018	0
16331	4938	22
77040	3180	593
100217415	248	2
20215	1718	7
100503175	947	0
227333	5694	1299
227334	5316	350
394430	3242	0
394434	3216	0
394432	3294	1
394435	2293	842
94284	3302	607
394433	3208	0
22236	3206	1
15504	1017	6
394436	3229	4
100040766	7526	12
381280	8439	71
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	26
100503197	2622	3
320982	3967	4244
78650	476	1
73475	603	0
98402	3673	2269
77331	591	0
347722	9581	903
74403	3611	1
14472	2126	2
208372	1404	0
74918	3210	2
12778	2579	8070
108679	1843	1727
433332	1207	0
12835	10841	1508
171531	4484	49
623503	261	0
19329	1950	50
16978	5743	2352
329207	3851	5
51801	3022	254
67921	1363	1015
665783	892	227
50880	2207	205
227357	5442	34
100503326	684	0
70788	3020	6
227358	2815	21
67444	1368	738
67086	547	0
55927	1335	107
18627	5837	2594
74019	3500	169
65247	6072	188
13345	1312	27
208727	3960	726
67273	1220	1306
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	781
260301	704	2
14733	3552	1658
100504295	543	0
387167	66	0
241158	3243	5
67446	1491	152
108657	3039	634
100037260	1689	3
23830	2877	117
64095	4396	14
208760	1088	0
16560	8257	325
11611	1517	0
71874	2362	36
381284	7348	4
208777	4474	547
69821	3315	515
269224	5119	202
66385	3653	608
404545	3217	2
110611	6238	19765
18000	3335	5474
227377	3912	177
59041	3254	1834
51800	1432	872
67026	2160	441
66615	2964	940
21915	1310	492
66262	4539	934
98314	3058	80
381334	2846	15
100041596	1185	3
666009	570	2
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	270
20452	5677	28
75381	761	0
100504401	921	412
73454	356	0
75159	583	0
227394	2394	1
329217	3849	2
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	456
227399	5565	588
252876	2041	64
18484	4103	2546
78603	1178	4
69030	1687	0
70866	2328	0
100504494	800	107
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	81
100504568	1284	0
27392	6777	795
227446	5406	665
100042023	231	273
21934	5022	1213
635504	465	5
227449	6661	1593
626049	545	4
98432	6104	1137
12043	7749	436
320761	1243	1
70750	5582	466
20479	3272	1530
20724	2565	3321
71869	1735	4
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	4
116872	1887	0
18788	2047	5
241197	3490	29
20725	3289	26
241201	3353	0
227485	3054	3
319901	5763	852
636808	3915	0
634762	729	0
22099	3040	821
67949	1894	1280
76707	7899	2287
68204	597	3
81879	9270	115
14633	6708	310
16324	4255	210
100502628	748	0
64143	2277	904
226351	2830	560
226352	7746	177
19258	4707	528
66343	3301	17
226356	2511	3
319229	1924	1
170706	1017	142
13167	745	2876
73103	1089	37
68428	3177	146
226359	2000	2
17167	1985	1
13798	2554	2
98452	1580	0
72999	2524	690
70829	7256	449
15564	2019	1
66942	2249	247
100502702	453	0
269109	4630	1
74117	2746	4953
74150	2597	1306
71111	2690	7
72585	2047	3
210356	7593	430
107895	3104	346
667090	484	820
72160	2517	5
266645	2303	2
100502745	464	2
72949	3514	701
22625	3936	1
226407	4251	1111
226409	4154	203
226412	4812	1295
387147	70	0
67812	4093	4288
226413	6166	63
17219	2901	598
226414	2509	1047
12767	1814	191
210417	6253	1
100042740	613	197
13137	1324	7
13136	2527	96
22789	2034	0
12269	1883	0
12270	754	2
18640	9621	1216
226418	3843	1179
212439	2909	68
64435	1911	1
100502856	1065	0
18703	3849	454
69169	1491	0
93672	1116	420
58181	824	0
329244	1023	30
16153	1306	29
17164	2567	9067
226419	2072	222
16865	2290	737
54354	3405	521
56489	3203	438
14270	8040	680
108900	2105	22
26361	4148	0
13034	2120	9
226421	2523	125
320718	3640	53
212933	3540	750
98396	4660	7084
226422	1189	163
98415	6096	1268
212980	3426	243
13714	3671	1129
213006	4853	321
18557	3046	954
723818	97	0
213409	958	0
213417	4269	15
74137	3132	1249
68875	3410	254
213452	6385	880
213464	3632	233
74626	1742	31
21367	9535	574
269116	10379	95
100038653	1879	0
16980	3346	163
17248	3490	736
240752	7929	374
108954	5588	4036
240753	7457	584
100502933	3112	0
68338	1842	0
280287	496	0
19701	1423	5
214253	2279	40
20668	3531	368
20643	492	387
70579	4395	6823
667118	5007	3006
240754	2371	52
381290	8292	1795
269120	2074	403
116847	3602	3696
100502984	884	14
14264	2859	24157
100502999	532	14
12227	3083	17394
667414	432	4
71884	1711	3
12654	1689	5395
53311	1829	1092
11539	5786	216
17928	1480	1
68507	6067	69
57439	3169	1435
240755	1770	0
72017	1626	394
72674	2024	1835
100861791	590	0
240756	3196	264
98710	1960	306
100503055	641	1
71001	1457	0
75605	6300	2194
20980	3386	10
329251	6185	957
67196	1079	35
329252	3623	2988
13924	6089	116
100038590	915	0
320139	3264	5
68724	1702	875
171469	2253	2
13710	2000	841
215615	2301	586
21854	917	545
93689	3942	5198
77552	1190	392
226432	6236	1730
215690	12767	589
13007	1770	80746
27280	1467	2855
21952	1114	4
16763	2992	319
21956	1194	11
18772	4486	7997
226438	8996	0
66241	1750	667
12292	6260	0
329253	508	0
16565	9119	570
76422	2922	44
67313	3013	2049
100042513	584	0
383563	1960	0
67886	7823	3185
320054	2097	8
67997	2228	200
381293	8770	97
71084	1846	0
226442	5275	2958
100503460	489	13
100503474	1199	12
667686	385	66
26424	3857	6
320138	3023	0
735252	87	0
723890	80	0
19264	5664	20
338375	1887	0
59125	3366	2571
545363	1930	0
16876	5750	0
69549	571	39
75546	410	0
329260	8314	357
170788	4702	0
71209	1111	0
226470	8362	967
12316	9866	133
14060	2378	0
50702	1732	0
624286	999	0
214403	2887	3
545366	1602	4
12628	4365	54
240776	3957	1
75910	551	0
226472	591	0
214498	2678	1017
26878	4578	1
69367	3730	355
20822	8721	540
56207	1851	471
19735	3009	5272
100861894	494	0
246709	1497	0
50778	1330	53
624910	459	0
64214	1859	2
215378	3172	507
100043240	3910	9
791353	1179	0
100503781	490	0
18783	2846	235
320019	1098	0
19225	4150	1162
100043257	532	2803
100043261	345	0
20028	1247	0
75584	610	0
226499	3242	786
108989	7550	3167
96875	4278	12
545370	18316	1474
402734	2640	0
73176	1674	0
117198	5037	4960
66875	3668	245
98685	2665	132
19821	3028	1415
100503012	373	391
63913	3939	19690
66967	6604	1890
69399	9754	5854
66637	1133	239
269132	4056	3875
19731	3887	884
100861876	505	14
71281	1566	0
67771	1897	5491
100503084	519	0
17970	2596	13
226517	6069	1728
226518	4523	6
16782	5164	35972
226519	7622	21166
626058	2827	0
71836	2045	1
13211	4613	7909
74091	1403	57
67792	5804	16
329271	3337	3
19734	2335	869
24014	4758	110
240816	3640	12
240817	1654	3
433365	2527	1
240819	1415	0
14645	2782	4059
100861882	573	0
207678	1877	1
78112	613	0
12290	12697	1
15939	3270	7495
15064	2509	424
58244	2459	1528
207792	4611	434
100503411	2791	1
19775	7651	1707
433367	1751	6
72482	1942	853
16872	1853	2
100861926	688	0
104009	3361	1280
74081	13307	920
208263	4439	2253
240832	8112	7043
329274	3687	1
214575	3443	0
170484	3108	163
77352	3297	13
20652	4785	891
11352	10714	4564
30935	3268	608
100503836	636	0
215015	4238	1695
78255	7133	1193
72713	2190	20
73435	898	1
226525	10046	464
69953	1194	156
226527	1289	29
89867	4651	59
100504090	420	33
240843	4101	0
11899	7224	4
735253	109	0
23850	8585	17
72025	2475	0
26374	5056	378
100217414	118	4
21960	5395	4
67647	5391	5750
75255	887	75
329278	5812	93
64659	1970	423
12301	2115	1313
29809	9489	1674
100316784	109	0
620246	1086	0
620750	465	0
381305	11011	1622
11905	2162	2
240869	3883	175
14455	2554	3804
100628588	91	0
100217446	65	49
226539	3581	192
70454	4327	378
226541	4037	412
73844	3723	5
100502590	954	0
11758	2334	2094
22164	1609	11
240873	2064	3
14103	1935	1
226551	6308	7839
75368	1164	1
67292	3301	123
103967	7523	82
72753	919	1
474332	7928	8
723821	110	0
387210	110	0
71449	2791	181
53330	2532	216
17926	2080	2
100038657	741	0
226562	10444	6977
226564	1787	6
14261	2326	189
55990	3336	1938
226565	1870	0
14262	2010	1
78258	2956	0
18933	7448	255
98376	2509	164
240879	1053	0
16579	3907	670
240880	4069	214
381306	2912	48
69962	1457	18
20339	2912	374
20343	2321	1
20344	3438	1748
100503816	1241	8
14067	7406	12
116914	3546	622
74895	1896	44
66352	4035	343
171567	3011	351
11931	2422	224
56429	1636	61
433374	1588	0
16963	502	0
69476	357	0
75857	998	0
83993	2662	0
108735	5526	1358
226591	4395	782
240888	1943	217
74106	3306	1101
70456	854	715
271639	5209	7
68481	2356	1210
100503268	612	2
226594	2670	249
100503283	1514	0
433375	2125	701
12503	4604	3
18986	13123	473
240892	4025	0
59290	2293	5
98558	1546	9
100039795	8260	79
100503318	2514	8
27878	2145	428
71592	7372	1381
226601	1744	0
226604	3012	0
240894	3065	0
100503962	936	5
226610	4986	32
80914	1338	1460
68944	4474	1351
100862084	376	0
56752	2833	1731
66447	635	459
240899	1137	0
100503977	287	1
20183	2363	1
110648	3338	1
18514	9027	4318
66977	2405	117
19737	1809	286
100862094	1412	209
19736	2941	176
78465	1440	1
15490	4574	408
67303	1135	2
18214	8290	1117
107652	2283	1805
16589	2024	145
545378	399	0
622708	1691	0
26904	1433	2
665574	3833	371
76925	713	1
70729	3684	155
320078	3095	47
226641	7463	3001
80915	1374	239
435653	1284	0
98752	1727	0
14130	1547	7
246256	1250	1
14131	1353	7
75472	1034	11
66052	1179	2880
17528	1993	81
66425	1575	144
12355	1414	2
641376	2920	441
11807	521	0
14127	658	5
226646	1606	2963
240913	3673	3793
57370	1998	514
19044	1821	404
30941	2185	365
66155	964	279
100862110	308	0
100504072	1662	5
21945	2733	564
27045	1374	329
18637	622	526
68874	1555	77
71740	3504	32
226652	4488	5
22278	1822	172
226654	551	0
16456	2482	3658
56009	1273	30
16429	1140	2
18106	3758	1
17085	2449	2
75345	3977	1
12506	1142	1
100041098	195	431
27218	2688	0
12523	6253	3
100038548	2574	0
100862186	671	0
30925	2443	3
93840	2260	141
18071	2487	0
59287	2855	1278
12847	4629	4809
100504176	730	0
19298	3131	1247
98193	3743	2124
18611	2477	629
12372	1874	9
27222	3485	5
98660	6227	88
140559	2234	530
16524	3270	0
16513	5407	1
67556	7569	650
100862199	620	0
98365	1145	3
93842	4249	116
21346	1382	3658
71870	1822	5
71319	941	9
240916	1879	29
74748	2040	1
677296	1914	0
68440	1417	34
100040320	811	2
12944	1698	0
20219	984	0
18313	1050	0
258759	933	0
258758	1063	0
258880	942	0
258881	1034	0
14125	1026	0
258645	991	0
100504232	694	0
13349	1158	405
94332	4159	33
383619	2541	1
240921	2951	0
545384	1294	0
623121	2680	0
236312	3497	0
100033459	2987	0
100504251	716	0
226691	3484	12
15951	2296	22
100504287	1468	10
666028	634	0
100040462	1908	23
381308	1651	27
15950	3793	35
26388	1796	19
226695	1613	56
258712	1004	0
258711	939	0
258713	954	0
258717	943	0
259162	948	0
404222	924	0
258716	948	0
258715	1050	0
258302	1046	0
20739	8405	0
258710	1088	0
66289	803	0
258238	930	0
258709	1010	0
258756	955	0
546747	978	0
54418	6442	0
23893	3745	8
24012	2487	2
14194	1632	1787
98256	2498	0
13603	1721	34
12663	6117	454
75820	3817	0
26909	5506	19
319455	3894	3
545389	6930	506
723921	99	0
76816	2619	138
15365	1510	17
23797	4735	917
30928	5106	659
75589	698	0
69428	749	3
11566	2553	2238
631584	2790	9
545391	1663	1
78825	4214	588
791357	1199	13
75164	651	0
666295	875	5432
320110	427	16
66359	448	265
51810	3670	19589
68226	2539	47
269152	7406	116
69726	3769	155
15278	2448	133
226744	4545	1958
109232	1922	407
226747	8831	3412
100503705	1428	0
226751	8656	3011
67426	4076	592
19165	2084	189
277333	3581	42
320404	5101	3010
381310	6557	122
11545	3827	1701
72568	3377	158
27217	2294	1
170760	3471	1574
100504581	591	0
15078	1076	696
208768	3189	2843
100504598	177	3
320202	2462	2
100862334	599	0
69051	1599	171
13590	1604	5
208795	3239	2087
13849	1665	3150
619326	1898	1
67459	3060	402
98417	3268	834
226757	7047	6248
329307	2505	4
72978	2727	45
403180	1819	0
240960	13996	6
98386	3552	1264
433384	1343	0
13800	4288	819
27058	1388	482
625823	921	0
13244	2005	3608
67330	686	0
67948	4913	1184
209456	4370	3985
12334	3185	4720
170725	3705	1
433386	2055	0
96935	2035	20
53791	3199	46
68897	5030	290
71678	3456	604
108909	3293	572
338366	6678	2166
21339	2386	334
78772	2736	129
73363	967	10
63953	2712	292
73590	778	0
74971	1722	0
15284	2149	24
66112	2161	20
67247	1883	1030
100316821	82	0
226777	2853	400
226778	4565	1899
98732	6988	1149
100217449	113	1
381314	3540	1587
387189	67	0
387211	112	1
23827	2182	425
107508	4850	2926
319562	3406	0
100039138	2761	0
226781	5836	1
114668	709	0
226791	1577	83
21808	4725	1252
67223	1213	614
110957	3212	95
74717	1645	3
69308	823	0
67769	4565	446
100862400	1119	21
26381	5580	36
320272	2212	0
22283	15891	0
226823	3703	1466
16526	3959	332
100042424	516	598
100039307	642	3
108000	11130	165
19250	10746	9671
226830	1605	1512
19130	4139	11
100504619	832	0
320119	3995	397
52477	3349	653
226841	4190	351
226844	4087	2495
100125339	1649	6
75558	428	1
68972	1258	156
381318	2973	31
381319	712	20
619288	2234	59
11910	1977	15376
100504360	568	18
100861628	406	1
66208	658	300
66950	4204	196
226849	3082	623
100504379	2421	1
76843	4202	239
77065	3252	693
226856	7246	4820
18005	3197	112
98736	4362	31
22782	5230	495
74023	3720	6
22033	2102	439
100628582	81	0
100042625	720	817
214742	1597	304
100038712	2612	32
16510	7143	3226
226861	2835	159
320952	2041	2
73455	404	1
214791	3401	1082
100503471	624	505
329324	1731	0
215193	5548	398
54139	4125	2993
319266	3834	303
215243	2121	0
15483	1446	29
14373	843	0
100503531	873	0
16780	4055	15044
215303	2453	61
387201	68	0
74942	578	0
18845	11036	717
100628615	64	0
12490	2621	330
320400	2491	1
320977	5195	5
723963	81	0
387224	88	0
17221	1213	10
12946	1662	823
12902	6207	0
215728	2801	0
619314	1938	0
670558	2817	0
76142	2524	5
70337	1540	0
213783	7415	314
270685	4332	127
83397	6247	2511
381990	3227	990
66084	1849	162
73419	2290	40
100504234	2151	4
13982	4319	139
64009	18115	1078
68632	2777	29
22353	1527	0
67141	1807	38
108853	2621	60
56533	8191	0
100041224	522	0
18390	2639	0
320495	8240	2
215748	3448	3013
77777	1819	32
237253	3403	15
18537	1917	1059
320642	1253	5
69912	1290	78
407824	2188	49
16798	7215	3575
23924	1775	994
215751	1557	1511
100503695	916	10
67418	2896	1519
237256	4093	34
100628581	94	0
68652	4278	3872
338362	4284	610
70097	7183	2731
791352	3151	0
320825	2495	149
620417	2980	0
78808	9074	914
215772	5218	2
67844	2054	129
382450	3785	1
14816	6990	0
78056	444	0
268281	9293	218
71865	5114	3606
13853	1079	27
22288	12382	6542
320273	1182	23
74732	2396	1052
66125	734	523
22634	5260	834
100862331	414	0
75122	1053	1
353258	1769	953
215789	8913	1048
66848	3954	791
56535	2405	291
66757	1453	99
66253	1054	331
15273	9768	3790
100504211	3928	14
215798	6505	1257
100039571	514	174
66201	1325	422
69412	910	0
76743	1477	0
18101	1173	0
100504235	3401	0
17684	1969	1161
378431	4457	13
380629	3667	1408
73112	810	739
19707	2618	1034
100045792	2900	2
215814	1166	40
215819	7638	4658
56016	1910	360
215821	8216	0
237300	2355	0
73968	2928	0
64058	1901	19336
21929	4595	3004
100504265	6220	0
94222	2066	0
15979	2099	613
237310	2468	0
237313	2088	68
76157	2629	31
18634	1894	253
26408	5393	608
17761	3895	1716
73811	629	0
621697	592	1762
72567	5454	3109
71804	2307	415
29863	4127	152
52906	5094	323
100038717	3304	0
100504283	1667	0
17863	3777	24
56422	4893	1611
73990	1016	6
237320	2243	2
76924	485	0
67692	1061	0
432436	2206	0
20393	4158	42030
114671	1771	0
319887	2292	0
379043	1274	1
667281	952	1
606736	4515	1
56554	1271	0
100038752	4548	0
353169	3762	148
237336	2875	339
100504411	1274	0
100038582	2198	0
21412	1239	1
14051	4099	2
20042	518	306
100529074	105	41
100529075	68	62
76306	2837	288
26464	1811	0
22361	2416	60
111174	999	0
209512	1020	0
493809	1032	0
209513	1044	0
215854	1014	0
215855	1038	0
215856	1077	0
209517	1077	0
435206	1077	0
276742	1077	0
435207	1077	0
215859	1035	0
382348	1035	0
494546	1109	0
503558	1047	0
53331	2500	2023
100862153	747	0
59012	3083	4711
14219	2403	81508
18605	3224	2280
209558	2815	46
70208	4946	432
11846	1477	17
432442	3123	450
13822	4464	2838
100504474	674	0
73803	865	0
215866	1543	27
77220	4115	833
100040851	1193	1
268288	3554	2
237339	3411	448
667572	1206	0
73910	3616	283
16773	9713	326
100040961	485	49
19272	6177	2235
210757	3981	0
100504516	4347	0
114676	1545	97
67719	1319	0
67412	3948	1
212448	5644	0
52665	3180	86
68031	4404	483
72780	2397	0
100504540	2648	0
66311	1512	45
73681	2359	141
100504586	3440	148
66847	696	103
211329	5338	469
15214	2532	21
69692	718	147
21987	1267	174
100041294	710	140
268291	2860	453
432450	3745	37
76757	4514	0
442820	1844	0
100862254	809	0
215890	2500	0
215895	882	0
57430	1096	0
212892	3650	2
72580	2364	113
414093	7840	14
66521	1082	187
692132	1185	0
270711	3714	0
103511	1786	115
215900	1082	3
212898	4225	1062
22110	2696	1135
72480	3900	259
319638	2716	322
12813	3130	8
14302	4805	197
100041585	3201	3795
319415	3098	0
15182	2004	1767
17118	4186	3375
215919	1054	0
16775	6046	928
66337	730	72
71924	2929	22
327743	1418	2
14360	3692	961
100504626	1313	9
103213	2867	603
327744	1664	85
19714	10666	1444
100504659	947	2
213332	781	25
75299	2400	6
72045	2285	17
100041085	1782	16
215928	5981	1
215929	2679	1
72472	6556	152
67239	1890	264
67371	1020	320
19850	104	4
11702	3206	1089
78334	5807	670
70840	2243	0
70503	3000	149
327747	1529	26
71713	3366	683
83767	2550	49
100504721	508	7
140741	1092	0
103199	3263	375
633979	5640	8
268294	2831	122
171580	3563	459
20598	1602	647
73075	1070	17
53599	2830	7242
75973	2749	7
70538	617	0
629461	2137	4
100628609	55	0
103268	2392	83
140742	3339	380
213402	4865	12
624784	2896	451
56484	2889	1116
215951	2513	129
666540	1120	1
